Distance_(pixels),Gray_Value
0,65226.000
1,65222.273
2,65222.492
3,65223.426
4,65223.426
5,65223.426
6,65223.418
7,65219.465
8,65213.785
9,65211.918
10,65212.750
11,65213.398
12,65214.707
13,65218.160
14,65218.816
15,65219.875
16,65213.117
17,65208.559
18,65212.102
19,65213.117
20,65213.117
21,65213.117
22,65213.117
23,65213.117
24,65213.898
25,65225.965
26,65226.000
27,65226.000
28,65226.000
29,65226.000
30,65226.000
31,65226.000
32,65226.000
33,65226.000
34,65226.000
35,65226.000
36,65226.000
37,65226.000
38,65226.000
39,65226.000
40,65226.184
41,65228.574
42,65228.582
43,65216.141
44,65217.258
45,65213.117
46,65215.074
47,65219.891
48,65225.391
49,65226.000
50,65227.352
51,65227.727
52,65217.082
53,65210.199
54,65205.602
55,65204.043
56,65207.965
57,65207.977
58,65208.285
59,65205.926
60,65201.676
61,65212.434
62,65220.984
63,65222.633
64,65226.000
65,65226.000
66,65226.000
67,65226.000
68,65226.000
69,65224.043
70,65220.852
71,65220.840
72,65220.852
73,65220.852
74,65220.840
75,65220.852
76,65221.090
77,65223.426
78,65225.559
79,65219.324
80,65213.117
81,65213.117
82,65213.117
83,65213.117
84,65213.125
85,65213.117
86,65213.117
87,65213.117
88,65213.117
89,65213.117
90,65209.898
91,65190.043
92,65182.477
93,65195.859
94,65204.266
95,65205.383
96,65216.934
97,65218.273
98,65221.535
99,65226.000
100,65226.000
101,65215.660
102,65205.391
103,65205.391
104,65203.617
105,65204.418
106,65196.641
107,65194.867
108,65185.426
109,65179.125
110,65182.508
111,65190.176
112,65202.207
113,65213.801
114,65199.199
115,65194.043
116,65175.133
117,65182.809
118,65184.492
119,65178.918
120,65175.582
121,65175.410
122,65166.441
123,65165.977
124,65170.059
125,65176.918
126,65177.625
127,65174.535
128,65171.883
129,65169.008
130,65170.617
131,65168.551
132,65167.148
133,65164.609
134,65159.434
135,65153.035
136,65144.617
137,65138.000
138,65123.176
139,65109.352
140,65124.234
141,65130.668
142,65133.059
143,65135.824
144,65135.824
145,65135.816
146,65146.852
147,65163.750
148,65179.375
149,65166.234
150,65138.609
151,65145.391
152,65166.352
153,65164.727
154,65142.543
155,65089.816
156,65079.727
157,65087.582
158,65062.332
159,64943.883
160,65001.324
161,64401.867
162,61850.000
163,57209.742
164,52501.492
165,47901.059
166,42885.426
167,37783.215
168,33020.660
169,27921.434
170,23161.066
171,19920.316
172,18819.400
173,18871.732
174,18960.842
175,19070.025
176,19055.900
177,18990.709
178,18974.824
179,18971.967
180,18913.941
181,18885.107
182,18871.783
183,18848.742
184,18863.559
185,18863.217
186,18863.258
187,18860.584
188,18827.184
189,18773.018
190,18703.143
191,18661.133
192,18676.617
193,18730.176
194,18786.393
195,18776.941
196,18775.801
197,18771.717
198,18760.699
199,18756.857
200,18735.000
201,18731.434
202,18727.842
203,18706.184
204,18709.643
205,18717.100
206,18708.559
207,18700.092
208,18694.982
209,18677.566
210,18661.232
211,18647.232
212,18669.283
213,18652.941
214,18639.191
215,18595.541
216,18562.883
217,18562.018
218,18561.975
219,18588.143
220,18608.893
221,18579.592
222,18583.959
223,18587.508
224,18627.732
225,18660.100
226,18652.584
227,18610.375
228,18580.684
229,18586.475
230,18583.150
231,18563.434
232,18557.416
233,18583.242
234,18642.316
235,18646.184
236,18603.051
237,18632.975
238,18619.176
239,18605.191
240,18603.607
241,18621.449
242,18624.600
243,18608.600
244,18592.324
245,18551.824
246,18509.900
247,18553.617
248,18563.482
249,18522.850
250,18506.342
251,18493.857
252,18526.225
253,18549.459
254,18574.225
255,18554.291
256,18551.617
257,18562.482
258,18568.809
259,18603.166
260,18625.367
261,18607.025
262,18558.375
263,18495.883
264,18493.625
265,18516.150
266,18507.482
267,18498.467
268,18507.926
269,18545.725
270,18547.908
271,18526.117
272,18499.533
273,18484.867
274,18498.416
275,18494.375
276,18478.250
277,18470.768
278,18474.584
279,18479.316
280,18496.533
281,18512.033
282,18504.092
283,18530.883
284,18557.309
285,18560.426
286,18583.791
287,18570.125
288,18546.758
289,18543.824
290,18544.301
291,18537.408
292,18514.334
293,18487.268
294,18511.393
295,18536.809
296,18512.775
297,18489.258
298,18520.801
299,18547.875
300,18543.158
301,18535.393
302,18547.441
303,18561.158
304,18557.066
305,18550.768
306,18546.107
307,18530.250
308,18533.041
309,18536.643
310,18524.025
311,18532.025
312,18565.225
313,18622.275
314,18631.459
315,18620.992
316,18598.482
317,18585.666
318,18622.191
319,18616.732
320,18553.975
321,18503.617
322,18455.824
323,18477.176
324,18470.217
325,18491.508
326,18503.242
327,18522.541
328,18534.650
329,18511.617
330,18511.566
331,18508.191
332,18482.041
333,18511.217
334,18507.008
335,18516.809
336,18536.426
337,18498.441
338,18486.459
339,18478.982
340,18461.541
341,18456.324
342,18479.309
343,18425.834
344,18396.500
345,18370.117
346,18407.650
347,18481.041
348,18518.008
349,18529.133
350,18501.250
351,18470.033
352,18482.857
353,18503.758
354,18524.100
355,18535.143
356,18563.467
357,18570.857
358,18513.367
359,18462.008
360,18435.033
361,18416.967
362,18413.283
363,18431.617
364,18447.309
365,18482.133
366,18470.125
367,18462.025
368,18501.291
369,18465.893
370,18437.074
371,18402.434
372,18382.166
373,18408.225
374,18427.949
375,18406.584
376,18400.316
377,18411.607
378,18408.316
379,18407.066
380,18400.600
381,18397.166
382,18398.092
383,18394.434
384,18401.967
385,18430.916
386,18455.900
387,18440.600
388,18451.633
389,18461.867
390,18452.492
391,18413.459
392,18393.926
393,18388.301
394,18389.158
395,18395.350
396,18384.383
397,18331.367
398,18363.742
399,18389.617
400,18421.883
401,18436.375
402,18462.824
403,18449.975
404,18390.475
405,18384.316
406,18398.125
407,18425.309
408,18427.199
409,18429.566
410,18474.018
411,18484.717
412,18529.158
413,18546.426
414,18515.383
415,18473.809
416,18488.559
417,18531.875
418,18514.441
419,18595.426
420,18651.199
421,19134.941
422,21960.518
423,28124.875
424,35745.285
425,44021.434
426,51780.465
427,58675.891
428,63532.898
429,64782.559
430,64776.508
431,64810.367
432,64822.352
433,64838.250
434,64870.602
435,64877.434
436,64867.535
437,64911.516
438,64960.801
439,64953.441
440,64953.367
441,64955.918
442,64955.840
443,64955.758
444,64955.668
445,64955.648
446,64955.758
447,64959.160
448,64966.109
449,64971.242
450,64976.965
451,64979.258
452,64979.352
453,64979.434
454,64979.535
455,64979.609
456,64979.691
457,64981.684
458,64994.418
459,65003.160
460,65003.234
461,65003.324
462,65003.426
463,65003.508
464,65003.590
465,65003.684
466,65004.875
467,64993.441
468,64995.090
469,65000.324
470,65004.125
471,65005.066
472,65012.293
473,65018.301
474,65031.785
475,65040.676
476,65044.617
477,65045.977
478,65046.059
479,65046.148
480,65046.242
481,65046.332
482,65046.418
483,65046.500
484,65046.590
485,65038.582
486,65010.840
487,65003.051
488,65004.441
489,65027.293
490,65056.668
491,65063.074
492,65064.891
493,65068.000
494,65070.750
495,65070.758
496,65072.352
497,65076.090
498,65077.066
499,65079.824
500,65088.074
501,65098.660
502,65102.867
503,65090.457
504,65054.840
505,65057.051
506,65056.785
507,65057.059
508,65058.918
509,65059.008
510,65058.035
511,65057.941
512,65060.566
513,65065.492
514,65062.625
515,65057.375
516,65058.301
517,65077.875
518,65065.332
519,65057.000
520,65016.102
521,65008.566
522,65000.949
523,64997.227
524,64994.484
525,64992.293
526,64982.641
527,64968.309
528,64960.809
529,64960.801
530,64960.801
531,64960.832
532,64971.023
533,64991.742
534,64996.691
535,65007.734
536,65043.426
537,65081.215
538,65084.301
539,65084.301
540,65084.293
541,65083.250
542,65081.707
543,65081.398
544,65078.500
545,65080.332
546,65080.426
547,65063.727
548,65031.133
549,65042.574
550,65038.660
551,65017.523
552,65013.332
553,65005.699
554,65004.391
555,64898.375
556,64807.133
557,64312.160
558,61501.383
559,57970.141
560,54024.023
561,49883.633
562,45710.035
563,41884.809
564,38346.141
565,34990.199
566,32195.459
567,29080.133
568,26267.100
569,23879.541
570,21581.566
571,20123.342
572,20193.742
573,20387.607
574,20552.699
575,20662.316
576,20679.934
577,20665.500
578,20629.883
579,20648.475
580,20661.191
581,20684.250
582,20724.518
583,20731.143
584,20706.842
585,20663.916
586,20612.809
587,20608.949
588,20678.408
589,20698.316
590,20679.643
591,20689.541
592,20676.982
593,20670.209
594,20604.959
595,20566.518
596,20564.699
597,20634.400
598,20632.750
599,20599.982
600,20577.551
601,20591.699
602,20592.500
603,20591.658
604,20620.809
605,20637.732
606,20675.291
607,20694.393
608,20675.941
609,20624.883
610,20592.801
611,20616.717
612,20667.883
613,20689.992
614,20688.383
615,20667.541
616,20651.857
617,20616.676
618,20584.209
619,20570.934
620,20558.084
621,20576.650
622,20606.699
623,20600.691
624,20571.857
625,20582.324
626,20569.342
627,20564.059
628,20579.309
629,20593.199
630,20612.000
631,20644.334
632,20659.309
633,20632.166
634,20639.482
635,20630.768
636,20646.225
637,20680.258
638,20670.350
639,20702.416
640,20730.791
641,20768.441
642,20816.824
643,20854.916
644,20841.508
645,20835.199
646,20795.125
647,20806.684
648,20808.041
649,20816.367
650,20824.268
651,20834.158
652,20842.684
653,20832.551
654,20809.824
655,20832.393
656,20865.176
657,20871.275
658,20838.916
659,20787.191
660,20734.225
661,20693.775
662,20634.584
663,20670.732
664,20720.426
665,20756.783
666,20762.393
667,20749.291
668,20743.775
669,20718.176
670,20675.533
671,20679.908
672,20711.742
673,20739.709
674,20770.143
675,20766.191
676,20736.434
677,20734.283
678,20756.467
679,20732.975
680,20681.225
681,20670.051
682,20678.000
683,20712.600
684,20680.934
685,20633.184
686,20646.459
687,20715.324
688,20729.250
689,20705.309
690,20696.941
691,20709.367
692,20705.893
693,20699.125
694,20737.625
695,20748.018
696,20802.926
697,20824.717
698,20794.650
699,20704.959
700,20717.482
701,20761.566
702,20766.732
703,20755.092
704,20747.500
705,20776.133
706,20804.893
707,20768.676
708,20726.350
709,20739.232
710,20769.316
711,20791.867
712,20760.500
713,20718.176
714,20716.566
715,20718.717
716,20705.617
717,20695.699
718,20691.000
719,20723.475
720,20746.893
721,20738.357
722,20690.250
723,20698.758
724,20733.883
725,20762.051
726,20769.967
727,20762.625
728,20748.949
729,20717.975
730,20706.100
731,20668.025
732,20735.834
733,20730.857
734,20752.551
735,20762.934
736,20760.367
737,20744.309
