Distance_(pixels),Gray_Value
0,35622.414
1,35702.078
2,35733.461
3,35694.844
4,35682.766
5,35627.242
6,35634.484
7,35646.562
8,35682.773
9,35690.016
10,35682.773
11,35663.461
12,35663.445
13,35651.391
14,35641.734
15,35632.078
16,35661.047
17,35685.188
18,35639.320
19,35620.008
20,35595.867
21,35615.180
22,35665.875
23,35677.945
24,35661.039
25,35661.039
26,35658.625
27,35656.219
28,35648.977
29,35648.961
30,35615.180
31,35569.297
32,35540.336
33,35535.500
34,35549.977
35,35559.641
36,35554.805
37,35562.039
38,35518.531
39,35484.750
40,35470.336
41,35494.477
42,35506.531
43,35670.703
44,35605.523
45,35550.000
46,35542.758
47,35506.516
48,35496.852
49,35484.781
50,35528.266
51,35489.594
52,35472.633
53,35484.719
54,35593.453
55,35549.945
56,35518.617
57,35508.961
58,35559.656
59,35586.211
60,35569.312
61,35494.445
62,35477.516
63,35484.773
64,35405.109
65,35426.805
66,35458.242
67,35530.672
68,35463.070
69,35426.852
70,35453.406
71,35441.344
72,35443.766
73,35409.938
74,35347.094
75,35402.641
76,35359.172
77,35361.641
78,35407.484
79,35458.133
80,35438.820
81,35424.336
82,35414.703
83,35424.344
84,35431.547
85,35421.852
86,35578.906
87,35603.055
88,35639.297
89,35619.992
90,35641.719
91,35656.188
92,35653.781
93,35706.906
94,35738.297
95,35716.555
96,35740.695
97,35740.711
98,35728.617
99,35670.703
100,35663.461
101,35670.703
102,35675.531
103,35706.914
104,35697.250
105,35675.508
106,35574.062
107,35564.430
108,35581.336
109,35617.547
110,35723.773
111,35627.250
112,35615.180
113,35605.516
114,35610.344
115,35607.930
116,35615.180
117,35591.031
118,35607.914
119,35576.438
120,35617.500
121,35619.930
122,35591.008
123,35537.867
124,35677.906
125,35675.484
126,35634.430
127,35612.719
128,35619.969
129,35569.211
130,35552.273
131,35569.164
132,35571.562
133,35557.109
134,35513.594
135,35520.852
136,35535.383
137,35501.586
138,35516.109
139,35475.023
140,35448.469
141,35446.117
142,35463.016
143,35496.844
144,35484.672
145,35465.258
146,35433.867
147,35404.891
148,35354.133
149,35349.312
150,35346.883
151,35242.945
152,35252.641
153,35259.898
154,35209.156
155,35156.008
156,35168.062
157,35143.891
158,35073.789
159,35040.023
160,35025.539
161,34924.062
162,34909.547
163,34911.953
164,34940.945
165,34863.617
166,34841.812
167,34834.664
168,34798.398
169,34713.883
170,34682.477
171,34663.141
172,34609.977
173,34472.344
174,34385.422
175,34370.945
176,34313.000
177,34214.023
178,34129.531
179,34011.242
180,33972.617
181,33885.711
182,33803.633
183,33883.297
184,33774.664
185,33612.922
186,33463.250
