Distance_(pixels),Gray_Value
0,35068.820
1,35056.461
2,35065.531
3,35089.500
4,35077.328
5,35076.539
6,35045.961
7,34971.867
8,34945.023
9,34947.207
10,34955.598
11,34966.820
12,34967.516
13,34973.539
14,34969.793
15,34969.305
16,34970.285
17,34970.641
18,34959.051
19,34962.328
20,34970.926
21,34968.164
22,34976.828
23,34989.469
24,35001.180
25,35012.895
26,35025.164
27,35023.875
28,35010.172
29,34975.574
30,34943.469
31,34936.344
32,34938.566
33,34960.516
34,34969.621
35,34983.156
36,34994.426
37,34990.852
38,34972.590
39,34968.516
40,34955.941
41,34946.395
42,34947.695
43,34985.805
44,34974.918
45,34936.625
46,34904.961
47,34887.777
48,34938.402
49,34989.082
50,35051.367
51,35075.320
52,35073.508
53,35106.141
54,35158.797
55,35149.559
56,35131.648
57,35078.633
58,35036.484
59,35016.344
60,35028.992
61,35047.328
62,35076.664
63,35094.566
64,35113.984
65,35063.043
66,34997.664
67,34996.621
68,35008.715
69,34986.887
70,34935.188
71,34903.730
72,34910.043
73,34914.590
74,34886.613
75,34778.531
76,34723.344
77,34673.516
78,34636.762
79,34639.941
80,34617.270
81,34589.625
82,34555.977
83,34526.359
84,34481.395
85,34487.508
86,34512.805
87,34461.961
88,34371.395
89,34293.262
90,34227.961
91,34173.926
92,34117.941
93,34021.344
94,33907.941
95,33852.066
96,33743.582
97,33650.672
98,33545.523
99,33417.746
100,33352.500
101,33328.359
102,33271.285
103,33151.312
104,32979.434
105,32904.344
106,32857.156
107,32762.574
108,32580.873
109,32377.262
110,32146.135
111,31955.381
112,31772.053
113,31545.156
114,31360.902
115,31171.045
116,31019.061
117,30811.709
118,30575.143
119,30407.275
120,30182.312
121,29975.156
122,29787.000
123,29637.561
124,29524.352
125,29401.098
126,29219.738
127,29050.754
128,28904.947
129,28748.693
130,28656.262
131,28526.396
132,28392.193
133,28293.672
134,28246.000
135,28136.082
136,28057.762
137,27987.590
138,27962.604
139,27911.881
140,27825.479
141,27770.574
142,27725.799
143,27682.111
144,27631.230
145,27563.738
146,27515.516
147,27472.066
148,27421.389
149,27405.627
150,27407.381
151,27405.648
152,27396.709
153,27386.648
154,27414.053
155,27389.008
156,27393.775
157,27434.619
158,27471.225
159,27497.896
160,27518.873
161,27498.963
162,27504.344
163,27489.389
164,27469.156
165,27478.896
166,27442.373
167,27410.664
168,27412.791
169,27366.590
170,27295.889
171,27270.775
172,27267.963
173,27230.574
174,27206.275
175,27202.447
176,27196.238
177,27190.439
178,27170.561
179,27118.045
180,27080.820
181,27065.061
182,27073.352
183,27076.648
184,27099.037
185,27098.246
186,27101.352
187,27115.516
188,27128.643
189,27125.426
190,27117.135
191,27109.180
192,27103.918
193,27100.389
194,27091.135
195,27082.836
196,27048.799
197,27021.516
198,27045.447
199,27064.389
200,27042.963
201,27019.521
202,27014.283
203,27023.217
204,27021.947
205,27011.680
206,27015.357
207,27035.693
208,27061.762
209,27064.119
210,27035.045
211,27008.492
212,26986.762
213,26959.426
214,26962.725
215,27008.484
216,27023.910
217,27026.775
218,27015.344
219,26991.635
220,26979.053
221,26976.717
222,26973.254
223,26992.791
224,26972.865
225,26961.521
226,26947.611
227,26979.402
228,27055.492
229,27073.320
230,27062.566
231,27045.357
232,27037.238
233,27041.082
234,27060.217
235,27100.812
236,27121.201
237,27110.762
238,27112.275
239,27128.254
240,27147.053
241,27186.188
242,27196.852
243,27192.352
244,27205.516
245,27191.061
246,27151.598
247,27130.275
248,27116.701
249,27105.807
250,27077.844
251,27053.373
252,27019.902
253,26995.402
254,26981.410
255,26979.738
256,26980.484
257,27005.852
258,26991.947
259,26981.402
260,26933.693
261,26912.455
262,26909.521
263,26926.553
264,26917.889
265,26921.439
266,26891.463
267,26895.664
268,26910.230
269,26909.381
270,26890.066
271,26857.992
272,26881.643
273,26869.291
274,26878.016
275,26856.844
276,26830.783
277,26825.762
278,26843.119
279,26876.111
280,26933.447
281,26961.791
282,26965.672
283,26972.791
284,26982.582
285,26991.193
286,27004.082
287,27001.791
288,26990.148
289,26983.111
290,26991.582
291,26996.225
292,26992.201
293,26996.045
294,26972.582
295,26977.598
296,26953.516
297,26934.746
298,26947.852
299,26958.635
300,26927.812
301,26880.471
302,26872.275
303,26873.791
304,26867.381
305,26854.672
306,26849.619
307,26862.889
308,26860.111
309,26868.217
310,26892.754
311,26898.344
312,26899.180
313,26899.262
314,26903.992
315,26879.352
316,26893.516
317,26899.434
318,26909.066
319,26901.910
320,26937.844
321,26944.180
322,26939.148
323,26936.971
324,26934.979
325,26934.439
326,26925.447
327,26906.582
328,26925.352
329,26922.857
330,26913.426
331,26906.738
332,26914.344
333,26930.648
334,26940.807
335,26961.471
336,26982.709
337,26978.029
338,26966.188
339,26970.283
340,26963.455
341,26951.246
342,26940.217
343,26921.254
344,26920.164
345,26901.230
346,26906.783
347,26905.881
348,26848.098
349,26826.934
350,26859.693
351,26904.164
352,26896.037
353,26893.590
354,26895.418
355,26895.299
356,26884.434
357,26895.791
358,26885.156
359,26854.492
360,26857.852
361,26906.447
362,26929.283
363,26924.648
364,26882.172
365,26882.701
366,26899.889
367,26902.312
368,26901.127
369,26930.217
370,26980.193
371,27016.396
372,26997.688
373,26989.746
374,26972.246
375,26957.127
376,26980.926
377,27013.926
378,27011.730
379,27020.643
380,26999.770
381,26990.574
382,26985.775
383,26981.582
384,26994.447
385,26982.799
386,26962.939
387,26943.770
388,26947.074
389,26934.434
390,26935.656
391,26914.881
392,26904.709
393,26881.500
394,26873.902
395,26853.828
396,26836.418
397,26846.156
398,26840.783
399,26873.971
400,26872.111
401,26867.045
402,26866.857
403,26853.857
404,26846.320
405,26844.947
406,26854.910
407,26865.812
408,26855.312
409,26866.619
410,26885.902
411,26928.000
412,26920.410
413,26912.730
414,26860.225
415,26877.045
416,26892.098
417,26865.307
418,26828.492
419,26848.270
420,26904.484
421,26918.611
422,26898.574
423,26882.717
424,26876.635
425,26859.791
426,26855.396
427,26875.955
428,26892.582
429,26908.566
430,26925.561
431,26900.119
432,26863.119
433,26810.688
434,26729.238
435,26720.508
436,26825.730
437,26818.754
438,26807.201
439,26749.820
440,26729.664
441,26706.111
442,26713.275
443,26721.717
444,26709.984
445,26699.344
446,26690.373
447,26650.381
448,26617.730
449,26608.254
450,26594.320
451,26557.770
452,26540.164
453,26536.053
454,26546.336
455,26550.984
456,26547.971
457,26541.291
458,26537.455
459,26497.799
460,26500.947
461,26501.516
462,26525.934
463,26548.561
464,26596.193
465,26595.725
466,26598.045
467,26591.201
468,26587.455
469,26591.574
470,26583.672
471,26580.561
472,26594.090
473,26591.516
474,26592.717
475,26554.061
476,26535.344
477,26524.836
478,26483.283
479,26469.865
480,26469.754
481,26452.926
482,26431.061
483,26411.627
484,26388.754
485,26408.820
486,26408.098
487,26390.812
488,26386.701
489,26362.098
490,26357.934
491,26355.156
492,26357.627
493,26370.971
494,26386.836
495,26400.029
496,26410.889
497,26409.143
498,26424.598
499,26434.963
500,26484.725
501,26523.029
502,26529.963
503,26520.344
504,26496.230
505,26483.918
506,26484.217
507,26474.910
508,26455.045
509,26451.082
510,26470.516
511,26505.783
512,26523.312
513,26566.656
514,26614.693
515,26623.590
516,26623.164
517,26608.074
518,26579.896
519,26564.418
520,26561.307
521,26554.521
522,26532.791
523,26511.299
524,26485.574
525,26455.098
526,26417.381
527,26402.902
528,26392.725
529,26365.381
530,26315.225
531,26302.135
532,26338.238
533,26367.426
534,26365.045
535,26365.590
536,26384.791
