Distance_(pixels),Gray_Value
0,10336.860
1,10295.806
2,10262.415
3,10243.058
4,10225.711
5,10207.388
6,10197.044
7,10195.245
8,10182.826
9,10162.885
10,10138.146
11,10112.796
12,10086.360
13,10056.551
14,10014.932
15,9960.892
16,9900.918
17,9832.411
18,9749.571
19,9660.823
20,9566.952
21,9473.738
22,9376.184
23,9263.225
24,9134.507
25,9000.207
26,8869.078
27,8737.718
28,8614.404
29,8500.952
30,8381.816
31,8254.530
32,8132.895
33,8030.289
34,7941.857
35,7854.827
36,7772.296
37,7700.251
38,7637.687
39,7567.891
40,7490.962
41,7418.857
42,7360.796
43,7327.725
44,7304.633
45,7278.476
46,7256.949
47,7242.789
48,7221.442
49,7172.561
50,7106.939
51,7062.806
52,7044.153
53,7053.316
54,7077.231
55,7092.820
56,7100.228
57,7093.194
58,7071.007
59,7054.235
60,7064.969
61,7083.459
62,7115.646
63,7166.711
64,7200.265
65,7178.249
66,7116.381
67,7059.936
68,7042.367
69,7045.323
70,7056.541
71,7064.946
72,7072.500
73,7085.575
74,7104.384
75,7121.249
76,7130.990
77,7122.867
78,7109.803
79,7104.541
80,7107.388
81,7119.479
82,7144.102
83,7179.282
84,7210.983
85,7233.085
86,7248.031
87,7265.204
88,7299.446
89,7340.344
90,7373.000
91,7402.854
92,7443.150
93,7498.932
94,7576.813
95,7683.595
96,7799.251
97,7913.789
98,8016.667
99,8100.891
100,8178.395
101,8270.367
102,8384.585
103,8510.200
104,8645.425
105,8791.626
106,8938.483
107,9062.378
108,9167.211
109,9270.810
110,9389.160
111,9510.840
112,9618.310
113,9714.558
114,9809.622
115,9899.956
116,9974.769
117,10023.670
118,10060.755
119,10098.156
120,10137.993
121,10176.140
122,10196.170
123,10203.323
124,10209.068
125,10208.241
