Distance_(pixels),Gray_Value
0,107.7328
1,107.6466
2,107.6379
3,107.6983
4,107.6897
5,107.6207
6,107.5517
7,107.5086
8,107.4569
9,107.5431
10,107.4741
11,107.3879
12,107.4397
13,107.4224
14,107.3534
15,107.0948
16,107.0259
17,107.0948
18,107.0690
19,107.0000
20,106.8448
21,106.8276
22,106.7069
23,106.6810
24,106.5690
25,106.5862
26,106.7155
27,106.6293
28,106.6379
29,106.5345
30,106.1552
31,106.0862
32,106.0431
33,106.0517
34,106.0345
35,106.0862
36,106.1293
37,106.0000
38,105.9828
39,105.9310
40,105.8448
41,105.6983
42,105.5776
43,105.4741
44,105.3103
45,105.1897
46,105.2328
47,105.1466
48,105.1897
49,105.1724
50,105.1034
51,104.9828
52,104.9741
53,105.0172
54,105.0000
55,104.9741
56,105.0431
57,104.9483
58,104.7155
59,104.4914
60,104.2672
61,104.2414
62,104.2586
63,104.1724
64,104.1466
65,103.9569
66,103.8534
67,103.8103
68,103.7155
69,103.5345
70,103.6810
71,103.3966
72,103.0086
73,102.8276
74,102.4914
75,102.2759
76,102.1207
77,102.1724
78,102.3879
79,102.4310
80,101.8966
81,101.3621
82,101.1638
83,101.0086
84,100.6810
85,100.2672
86,100.1897
87,100.1983
88,100.1207
89,100.0517
90,99.9741
91,99.7931
92,99.4052
93,99.0862
94,98.9224
95,98.5259
96,98.2155
97,97.8966
98,97.4828
99,97.1466
100,96.7759
101,96.3276
102,96.3362
103,96.1207
104,95.7155
105,95.1293
106,94.7931
107,94.3879
108,93.8534
109,93.6034
110,93.2155
111,92.5086
112,91.9310
113,91.1638
114,90.5517
115,90.0345
116,89.5603
117,88.8621
118,88.1207
119,87.6983
120,86.7500
121,85.7931
122,85.1207
123,83.0603
124,79.3793
125,77.5431
126,79.3017
127,80.0000
128,79.1638
129,77.5000
130,74.9052
131,75.6810
132,77.1552
133,77.1810
134,76.6638
135,76.1466
136,75.4483
137,74.6121
138,74.0776
139,73.5000
140,72.9741
141,72.1638
142,71.5172
143,71.0776
144,70.5776
145,70.1552
146,69.6552
147,69.1810
148,68.9483
149,68.7672
150,68.5517
151,68.2328
152,68.0431
153,67.7759
154,67.5776
155,67.5431
156,67.5431
157,67.4052
158,67.2069
159,67.2241
160,67.1552
161,66.9655
162,66.8017
163,66.6034
164,66.4741
165,66.2931
166,66.0948
167,65.8879
168,65.8534
169,65.9397
170,66.0690
171,66.0259
172,65.8966
173,65.6466
174,65.5603
175,65.4397
176,65.3276
177,65.2672
178,65.0000
179,64.7586
180,64.6810
181,64.7845
182,64.8448
183,64.7586
184,64.6293
185,64.4914
186,64.5517
187,64.5862
188,64.4310
189,64.2414
190,64.2845
191,64.3017
192,64.2069
193,64.2500
194,64.2328
195,64.1983
196,64.1724
197,64.1724
198,63.9224
199,63.9483
200,63.9224
201,63.8707
202,64.0086
203,64.0431
204,63.7931
205,63.6724
206,63.5948
207,63.5345
208,63.5172
209,63.5086
210,63.4914
211,63.4914
212,63.5086
213,63.5345
214,63.6897
215,63.8793
216,63.8103
217,63.8966
218,63.9483
219,64.1121
220,64.0259
221,64.0776
222,64.0690
223,64.0690
224,64.2500
225,64.2845
226,64.2069
227,64.1466
228,64.3621
229,64.8276
230,64.8707
231,64.8017
232,64.6638
233,64.6379
234,64.7414
235,64.7241
236,64.8190
237,64.8707
238,64.8362
239,64.6810
240,64.3534
241,64.1466
242,64.1379
243,64.1293
244,63.9741
245,63.7759
246,63.8621
247,64.0603
248,64.1466
249,64.0517
250,63.9483
251,63.8966
252,63.9397
253,64.0603
254,63.9655
255,63.8793
256,63.7931
257,63.6293
258,63.5086
259,63.4569
260,63.6552
261,63.7931
262,63.8707
263,63.9483
264,63.9655
265,64.0172
266,64.1121
267,64.1379
268,64.0948
269,63.9397
270,63.8103
271,63.8448
272,63.9914
273,64.0000
274,63.9914
275,64.0172
276,64.0603
277,64.1810
278,64.2414
279,64.2845
280,64.2759
281,64.3362
282,64.3966
283,64.4138
284,64.4052
285,64.4741
286,64.6379
287,64.2931
288,64.2241
289,64.2672
290,64.3017
291,64.3534
292,64.4052
293,64.2672
294,64.2672
295,64.4397
296,64.5345
297,64.7069
298,64.6897
299,64.5603
300,64.5776
301,64.6466
302,64.7241
303,64.6810
304,64.5000
305,64.4052
306,64.4052
307,64.2672
308,64.3190
309,64.4741
310,64.5345
311,64.3621
312,64.2328
313,64.2328
314,64.5345
315,64.5603
316,64.3621
317,64.1810
318,64.1724
319,64.3103
320,64.4397
321,64.6983
322,64.8707
323,64.8103
324,64.8190
325,64.7069
326,64.6810
327,64.5345
328,64.4138
329,64.3017
330,64.2672
331,64.1810
332,64.2155
333,64.2414
334,64.2069
335,64.1552
336,64.0603
337,64.0517
338,64.1983
339,64.3534
340,64.3362
341,64.3621
342,64.4828
343,64.7414
344,64.9310
345,64.8793
346,64.6983
347,64.4914
348,64.4483
349,64.4655
350,64.3362
351,64.4483
352,64.7500
353,65.4397
354,65.0345
355,64.1121
356,63.9397
357,64.1724
358,64.2931
359,64.4655
360,64.4828
361,64.5345
362,64.4483
363,64.4397
364,64.4483
365,64.3190
366,64.2500
367,64.1121
368,64.0000
369,63.9741
370,64.2414
371,64.3448
372,64.2672
373,64.1983
374,64.3362
375,64.3621
376,64.2672
377,64.1207
378,64.0517
379,64.0345
380,64.0862
381,64.2069
382,64.3879
383,64.4655
384,64.2931
385,64.3707
386,64.4138
387,64.2414
388,64.3103
389,64.3966
390,64.2500
391,64.1724
392,64.5776
393,64.7931
394,64.7414
395,64.6638
396,64.6466
397,64.4914
398,64.3534
399,64.4138
400,64.3879
401,64.4138
402,64.5345
403,64.7500
404,64.6379
405,64.5259
406,64.6466
407,64.4828
408,64.3276
409,64.4138
410,64.4138
411,64.3966
412,64.3017
413,64.2241
414,64.3017
415,64.1724
416,64.0776
417,64.1810
418,64.3966
419,64.4138
420,64.2672
421,64.0517
422,63.9914
423,64.2328
424,64.1034
425,64.0431
426,64.1638
427,64.4138
428,64.4914
429,64.3362
430,64.0690
431,64.0345
432,64.2845
433,64.3879
434,64.3621
435,64.2586
436,64.1983
437,64.2328
438,64.2155
439,64.1897
440,64.0517
441,64.0862
442,64.1034
443,64.0345
444,63.9397
445,63.8879
446,63.9655
447,63.7500
448,63.9397
449,64.2328
450,64.3707
451,64.1983
452,64.0948
453,64.0603
454,63.8448
455,63.9483
456,64.0172
457,63.9483
458,63.9052
459,64.0776
460,64.3707
461,64.5948
462,64.6983
463,64.5259
464,64.4397
465,64.5259
