Distance_(pixels),Gray_Value
0,106.5980
1,106.6104
2,106.5822
3,106.5800
4,106.5563
5,106.5237
6,106.5282
7,106.5439
8,106.5766
9,106.5946
10,106.5968
11,106.5709
12,106.4921
13,106.4347
14,106.4358
15,106.4381
16,106.4403
17,106.3863
18,106.4212
19,106.4155
20,106.3232
21,106.2106
22,106.1273
23,106.0000
24,105.9403
25,105.8423
26,105.7455
27,105.6971
28,105.6599
29,105.6160
30,105.5473
31,105.4617
32,105.4020
33,105.3288
34,105.2601
35,105.1993
36,105.1565
37,105.1227
38,105.0552
39,104.9887
40,104.9437
41,104.9313
42,104.8119
43,104.7568
44,104.6802
45,104.6363
46,104.6250
47,104.5709
48,104.4854
49,104.4212
50,104.3164
51,104.2128
52,104.1227
53,104.0349
54,103.9550
55,103.8626
56,103.7782
57,103.7275
58,103.6182
59,103.5428
60,103.4437
61,103.2928
62,103.2151
63,103.1363
64,103.1081
65,103.0315
66,102.8851
67,102.7613
68,102.6092
69,102.4550
70,102.3953
71,102.3604
72,102.3333
73,102.2128
74,102.0800
75,101.8953
76,101.6498
77,101.4369
78,101.1577
79,100.9628
80,100.7996
81,100.6295
82,100.4730
83,100.4077
84,100.3311
85,100.1937
86,100.0991
87,99.8998
88,99.6768
89,99.4043
90,99.1464
91,98.9302
92,98.7354
93,98.4122
94,98.0980
95,97.7894
96,97.4561
97,97.1126
98,96.7748
99,96.6216
100,96.4088
101,96.0935
102,95.6903
103,95.2939
104,94.8356
105,94.4583
106,94.0473
107,93.5923
108,93.0248
109,92.3457
110,91.7658
111,91.2624
112,90.7691
113,90.2883
114,89.7545
115,89.2331
116,88.5743
117,87.8345
118,87.0754
119,86.2511
120,85.4133
121,84.5541
122,83.8367
123,83.2500
124,82.5653
125,81.7691
126,80.9572
127,80.1700
128,79.5507
129,78.9200
130,78.2207
131,77.4696
132,76.8401
133,76.1205
134,75.5574
135,75.0890
136,74.4752
137,73.6757
138,72.9369
139,72.2860
140,71.7872
141,71.3964
142,71.0023
143,70.6194
144,70.3041
145,69.9876
146,69.6351
147,69.2297
148,68.7962
149,68.4820
150,68.2691
151,68.0541
152,67.7872
153,67.5822
154,67.5237
155,67.4437
156,67.3333
157,67.2072
158,67.0315
159,66.8300
160,66.6509
161,66.5113
162,66.3525
163,66.2568
164,66.2185
165,66.1565
166,66.0890
167,66.0901
168,66.0484
169,65.9561
170,65.8615
171,65.7894
172,65.6396
173,65.5383
174,65.4662
175,65.4741
176,65.4324
177,65.3660
178,65.2635
179,65.1937
180,65.1002
181,65.0653
182,65.0135
183,64.9110
184,64.8007
185,64.6700
186,64.6599
187,64.5428
188,64.4809
189,64.5180
190,64.5912
191,64.5754
192,64.4831
193,64.4212
194,64.3896
195,64.3818
196,64.4527
197,64.4459
198,64.4122
199,64.3232
200,64.2140
201,64.2095
202,64.1937
203,64.2815
204,64.3052
205,64.2770
206,64.2275
207,64.2252
208,64.2320
209,64.1689
210,64.1622
211,64.1351
212,64.0687
213,64.0315
214,64.0642
215,64.0957
216,64.1881
217,64.2387
218,64.2331
219,64.1858
220,64.2342
221,64.2185
222,64.1250
223,64.0856
224,64.0777
225,64.0664
226,64.0788
227,64.1059
228,64.1577
229,64.1734
230,64.2230
231,64.1948
232,64.2489
233,64.3311
234,64.5327
235,64.7083
236,64.7917
237,64.6926
238,64.6565
239,64.6655
240,64.5698
241,64.5394
242,64.5878
243,64.5743
244,64.5135
245,64.4730
246,64.4291
247,64.4662
248,64.4403
249,64.4189
250,64.3570
251,64.3097
252,64.2590
253,64.2905
254,64.2883
255,64.2669
256,64.2432
257,64.2263
258,64.1070
259,64.0045
260,63.9279
261,63.9685
262,63.9538
263,63.8491
264,63.8637
265,63.9730
266,63.9043
267,63.9426
268,63.9854
269,64.0315
270,64.0090
271,63.9223
272,63.8998
273,63.8311
274,63.7714
275,63.8097
276,63.7815
277,63.7275
278,63.6881
279,63.7827
280,63.7815
281,63.7297
282,63.7466
283,63.7669
284,63.8232
285,63.8592
286,63.8097
287,63.7725
288,63.7973
289,63.7894
290,63.8412
291,63.9133
292,63.9313
293,63.8345
294,63.7601
295,63.7286
296,63.7455
297,63.8671
298,63.8592
299,63.7849
300,63.7466
301,63.8795
302,63.9764
303,63.9043
304,63.7860
305,63.7793
306,63.7568
307,63.8029
308,63.8536
309,63.8559
310,63.8356
311,63.8604
312,63.9516
313,64.0135
314,63.8773
315,63.8671
316,63.8806
317,63.8851
318,63.8604
319,63.8333
320,63.8345
321,63.8773
322,63.8333
323,63.7342
324,63.6971
325,63.7804
326,63.9381
327,63.9144
328,63.7950
329,63.7646
330,63.7523
331,63.7883
332,63.8660
333,63.8277
334,63.7872
335,63.7984
336,63.8412
337,63.8480
338,63.8806
339,63.8671
340,63.7748
341,63.8131
342,63.9167
343,63.9583
344,63.9336
345,63.8919
346,63.8874
347,63.8953
348,63.9077
349,63.9640
350,63.9955
351,64.0349
352,64.0631
353,63.9910
354,63.8885
355,63.8435
356,63.8964
357,63.9448
358,63.9775
359,63.9673
360,63.9640
361,64.0034
362,63.9617
363,63.9718
364,63.9516
365,63.8446
366,63.8367
367,63.9786
368,64.0191
369,64.0135
370,63.9854
371,63.8784
372,63.9065
373,63.8919
374,63.8682
375,63.8311
376,63.7905
377,63.8412
378,63.9685
379,63.9414
380,63.8705
381,63.8739
382,63.8637
383,63.8863
384,63.8660
385,63.8986
386,63.9268
387,63.8705
388,63.8221
389,63.8547
390,63.9189
391,63.8941
392,63.9426
393,63.9809
394,64.0135
395,64.0372
396,64.0709
397,64.0890
398,64.0293
399,64.0090
400,64.0541
401,64.1340
402,64.1937
403,64.1700
404,64.1047
405,64.0732
406,64.1306
407,64.1892
408,64.1734
409,64.1712
410,64.2365
411,64.2680
412,64.1858
413,64.1115
414,64.0890
415,63.9910
416,63.9820
417,63.9437
418,63.9403
419,63.9797
420,64.0743
421,64.1126
422,64.1160
423,64.1081
424,64.0901
425,64.1194
426,64.1532
427,64.1779
428,64.1430
429,64.1149
430,64.0721
431,64.0507
432,63.9899
433,64.0653
434,64.1633
435,64.1982
436,64.1520
437,64.1363
438,64.1194
439,64.0811
440,64.0203
441,63.9887
442,64.0743
443,64.0642
444,63.9876
445,64.0203
446,64.0507
447,63.9673
448,63.9538
449,64.0113
450,64.1363
451,64.1543
452,64.0968
453,64.1171
454,64.0754
455,64.0777
456,64.0383
457,64.0259
458,64.0496
459,64.0394
460,64.0372
461,64.0191
462,63.9966
463,64.0372
464,64.1205
465,64.2489
466,64.3345
467,64.3615
