Distance_(pixels),Gray_Value
0,105.6951
1,105.6503
2,105.6040
3,105.5607
4,105.5101
5,105.4610
6,105.4855
7,105.4653
8,105.4234
9,105.4133
10,105.3309
11,105.2775
12,105.2832
13,105.2948
14,105.2731
15,105.2731
16,105.2645
17,105.2457
18,105.1908
19,105.1344
20,105.1286
21,105.1243
22,105.1373
23,105.1416
24,105.1373
25,105.0708
26,105.0145
27,105.0014
28,104.9595
29,104.9017
30,104.8512
31,104.8251
32,104.7977
33,104.6980
34,104.5925
35,104.5535
36,104.4957
37,104.4957
38,104.5130
39,104.4538
40,104.3743
41,104.3136
42,104.2572
43,104.1951
44,104.1127
45,104.1257
46,104.1084
47,104.0462
48,103.9465
49,103.8439
50,103.7688
51,103.7355
52,103.6676
53,103.5954
54,103.5303
55,103.4538
56,103.4032
57,103.3512
58,103.2861
59,103.2225
60,103.2081
61,103.1532
62,103.0968
63,103.0116
64,102.9494
65,102.8613
66,102.8194
67,102.7009
68,102.5318
69,102.4566
70,102.4263
71,102.3714
72,102.2659
73,102.1821
74,102.1633
75,102.1301
76,102.0838
77,102.0231
78,101.8815
79,101.7659
80,101.7095
81,101.6069
82,101.4003
83,101.1850
84,100.9971
85,100.8049
86,100.6460
87,100.5780
88,100.4841
89,100.3786
90,100.3945
91,100.3916
92,100.3454
93,100.3309
94,100.2269
95,100.0621
96,99.8309
97,99.6575
98,99.4017
99,99.2341
100,99.0043
101,98.7298
102,98.4581
103,98.2038
104,97.9884
105,97.8266
106,97.5997
107,97.3627
108,97.0853
109,96.7688
110,96.5564
111,96.4220
112,96.2934
113,95.9205
114,95.4971
115,95.1373
116,94.8006
117,94.3295
118,93.8801
119,93.4566
120,93.0014
121,92.4379
122,91.8613
123,91.3960
124,90.8757
125,90.4118
126,89.9249
127,89.3049
128,88.5419
129,87.7905
130,87.0853
131,86.2471
132,85.2023
133,84.2110
134,83.4162
135,82.5405
136,81.7312
137,80.9595
138,80.0896
139,79.1720
140,78.3208
141,77.6055
142,77.0824
143,76.3237
144,75.5809
145,74.9899
146,74.4104
147,73.6069
148,72.8425
149,72.1185
150,71.4697
151,71.0289
152,70.6329
153,70.2399
154,69.8410
155,69.4364
156,69.0173
157,68.5621
158,68.1647
159,67.8902
160,67.6561
161,67.4465
162,67.3179
163,67.2327
164,66.9740
165,66.6460
166,66.3642
167,66.2139
168,66.1720
169,66.1113
170,65.8945
171,65.6806
172,65.6590
173,65.6618
174,65.5723
175,65.4754
176,65.4783
177,65.5087
178,65.5072
179,65.4581
180,65.3844
181,65.2457
182,65.1908
183,65.1994
184,65.1763
185,65.2110
186,65.2514
187,65.2225
188,65.1676
189,65.1098
190,64.9928
191,64.8584
192,64.8092
193,64.8208
194,64.9220
195,64.9928
196,65.0087
197,64.9552
198,64.9350
199,64.9682
200,64.9263
201,64.8410
202,64.7225
203,64.6691
204,64.6012
205,64.5462
206,64.5029
207,64.4436
208,64.3974
209,64.4017
210,64.4697
211,64.4884
212,64.4249
213,64.3772
214,64.3627
215,64.3454
216,64.3049
217,64.2717
218,64.3208
219,64.3223
220,64.3338
221,64.3107
222,64.3223
223,64.3092
224,64.2847
225,64.1676
226,64.0766
227,64.1026
228,64.1532
229,64.1720
230,64.1835
231,64.1705
232,64.1315
233,64.0838
234,64.0217
235,64.0202
236,64.0766
237,64.1127
238,64.1127
239,64.0578
240,64.0477
241,64.1055
242,64.1156
243,64.1272
244,64.1474
245,64.1344
246,64.0983
247,64.1301
248,64.1821
249,64.1835
250,64.1460
251,64.1084
252,64.0939
253,64.1243
254,64.2081
255,64.2384
256,64.1590
257,64.2124
258,64.2746
259,64.2702
260,64.1691
261,64.0202
262,63.9133
263,63.8613
264,63.7717
265,63.7962
266,63.8367
267,63.9364
268,63.9653
269,63.9364
270,63.9032
271,63.8671
272,63.8382
273,63.8497
274,63.9451
275,64.0780
276,64.1127
277,64.2124
278,64.2240
279,64.2587
280,64.2977
281,64.2124
282,64.1546
283,64.0824
284,64.1749
285,64.2818
286,64.3540
287,64.3613
288,64.3223
289,64.2500
290,64.2283
291,64.2803
292,64.3309
293,64.3396
294,64.3194
295,64.2442
296,64.2327
297,64.2529
298,64.3078
299,64.3526
300,64.3338
301,64.3728
302,64.3699
303,64.3382
304,64.3280
305,64.2558
306,64.1980
307,64.1676
308,64.0896
309,64.0188
310,63.9408
311,63.9639
312,63.9509
313,63.9408
314,63.9133
315,63.9465
316,64.0390
317,64.1488
318,64.1633
319,64.0636
320,64.0217
321,64.0419
322,63.9740
323,63.9046
324,63.9913
325,64.0462
326,64.0997
327,64.1171
328,64.0636
329,64.0159
330,63.9292
331,63.9827
332,64.0347
333,64.0188
334,63.9957
335,63.9234
336,63.9610
337,63.9740
338,63.8931
