Distance_(inches),Gray_Value
0.00000,60673.980
0.00333,60670.410
0.00667,60673.133
0.01000,60672.359
0.01333,60673.711
0.01667,60673.168
0.02000,60671.777
0.02333,60674.035
0.02667,60673.762
0.03000,60673.980
0.03333,60674.023
0.03667,60674.070
0.04000,60673.984
0.04333,60672.840
0.04667,60673.570
0.05000,60673.980
0.05333,60672.445
0.05667,60672.688
0.06000,60670.652
0.06333,60669.898
0.06667,60672.652
0.07000,60674.000
0.07333,60671.133
0.07667,60668.641
0.08000,60673.676
0.08333,60673.570
0.08667,60673.996
0.09000,60673.977
0.09333,60672.160
0.09667,60674.070
0.10000,60673.875
0.10333,60660.418
0.10667,60673.617
0.11000,60673.949
0.11333,60671.031
0.11667,60672.703
0.12000,60670.230
0.12333,60666.012
0.12667,60670.309
0.13000,60674.566
0.13333,60671.945
0.13667,60672.969
0.14000,60654.297
0.14333,60673.566
0.14667,60673.746
0.15000,60671.082
0.15333,60675.383
0.15667,60673.762
0.16000,60673.969
0.16333,60673.930
0.16667,60674.090
0.17000,60673.945
0.17333,60674.227
0.17667,60670.254
0.18000,60673.918
0.18333,60674.000
0.18667,60672.500
0.19000,60650.621
0.19333,60670.812
0.19667,60669.156
0.20000,60670.438
0.20333,60673.035
0.20667,60671.035
0.21000,60672.824
0.21333,60673.754
0.21667,60664.355
0.22000,60673.109
0.22333,60664.793
0.22667,60664.188
0.23000,60673.945
0.23333,60673.398
0.23667,60668.828
0.24000,60652.598
0.24333,60649.355
0.24667,60661.879
0.25000,60642.570
0.25333,60655.465
0.25667,60660.660
0.26000,60661.516
0.26333,60647.570
0.26667,60614.438
0.27000,60608.137
0.27333,60633.562
0.27667,60666.293
0.28000,60669.141
0.28333,60672.020
0.28667,60635.816
0.29000,60676.062
0.29333,60674.574
0.29667,60657.258
0.30000,60663.461
0.30333,60670.426
0.30667,60669.840
0.31000,60672.273
0.31333,60664.098
0.31667,60671.141
0.32000,60674.539
0.32333,60647.496
0.32667,60670.828
0.33000,60670.391
0.33333,60668.617
0.33667,60668.570
0.34000,60670.312
