Distance_(inches),Gray_Value
0.00000,60676.578
0.00333,60609.578
0.00667,60685.445
0.01000,60656.715
0.01333,60657.891
0.01667,60662.668
0.02000,60668.652
0.02333,60669.723
0.02667,60667.195
0.03000,60632.391
0.03333,60666.695
0.03667,60623.945
0.04000,60577.141
0.04333,60642.047
0.04667,60631.117
0.05000,60669.922
0.05333,60652.453
0.05667,60628.188
0.06000,60651.473
0.06333,60624.484
0.06667,60661.793
0.07000,60649.609
0.07333,60644.543
0.07667,60650.766
0.08000,60657.145
0.08333,60654.203
0.08667,60649.180
0.09000,60570.703
0.09333,60653.105
0.09667,60655.340
0.10000,60664.367
0.10333,60667.223
0.10667,60657.195
0.11000,60674.930
0.11333,60661.340
0.11667,60666.008
0.12000,60674.082
0.12333,60629.297
0.12667,60609.984
0.13000,60671.527
0.13333,60641.945
0.13667,60651.125
0.14000,60665.152
0.14333,60637.902
0.14667,60658.133
0.15000,60642.133
0.15333,60657.000
0.15667,60666.605
0.16000,60668.297
0.16333,60653.625
0.16667,60630.348
0.17000,60626.945
0.17333,60651.367
0.17667,60614.902
0.18000,60682.223
0.18333,60668.680
0.18667,60668.922
0.19000,60664.945
0.19333,60672.145
0.19667,60639.633
0.20000,60685.570
0.20333,60666.582
0.20667,60655.645
0.21000,60624.383
0.21333,60649.867
0.21667,60650.141
0.22000,60683.910
0.22333,60667.297
0.22667,60659.062
0.23000,60658.402
0.23333,60647.598
0.23667,60668.777
0.24000,60544.855
0.24333,60650.172
0.24667,60651.465
0.25000,60672.047
0.25333,60566.668
0.25667,60615.734
0.26000,60671.660
0.26333,60664.223
0.26667,60662.633
0.27000,60656.465
0.27333,60669.117
0.27667,60662.141
0.28000,60675.797
0.28333,60666.008
0.28667,60665.984
0.29000,60663.785
0.29333,60655.516
0.29667,60659.270
0.30000,60631.117
0.30333,60635.953
0.30667,60631.391
0.31000,60610.930
0.31333,60646.730
0.31667,60667.422
0.32000,60637.930
0.32333,60672.590
0.32667,60667.688
0.33000,60654.172
0.33333,60657.355
0.33667,60666.484
0.34000,60672.328
0.34333,60594.117
0.34667,60652.770
