Distance_(inches),Gray_Value
0.00000,60671.902
0.00333,60670.066
0.00667,60672.059
0.01000,60670.012
0.01333,60673.156
0.01667,60673.168
0.02000,60673.117
0.02333,60672.953
0.02667,60671.746
0.03000,60672.980
0.03333,60669.668
0.03667,60673.066
0.04000,60673.008
0.04333,60673.203
0.04667,60673.254
0.05000,60671.469
0.05333,60666.875
0.05667,60666.531
0.06000,60670.266
0.06333,60670.863
0.06667,60672.352
0.07000,60672.363
0.07333,60660.070
0.07667,60645.551
0.08000,60659.254
0.08333,60671.734
0.08667,60670.684
0.09000,60672.785
0.09333,60673.008
0.09667,60673.176
0.10000,60665.469
0.10333,60673.371
0.10667,60672.129
0.11000,60661.617
0.11333,60672.277
0.11667,60673.773
0.12000,60668.598
0.12333,60668.148
0.12667,60662.164
0.13000,60673.125
0.13333,60668.293
0.13667,60669.895
0.14000,60666.234
0.14333,60672.707
0.14667,60673.148
0.15000,60671.754
0.15333,60670.559
0.15667,60672.148
0.16000,60673.695
0.16333,60671.098
0.16667,60671.531
0.17000,60671.910
0.17333,60672.824
0.17667,60673.008
0.18000,60672.078
0.18333,60671.090
0.18667,60671.051
0.19000,60673.086
0.19333,60676.922
0.19667,60672.805
0.20000,60673.051
0.20333,60656.777
0.20667,60650.488
0.21000,60665.258
0.21333,60671.637
0.21667,60673.148
0.22000,60673.000
0.22333,60672.902
0.22667,60671.145
0.23000,60671.508
0.23333,60670.297
0.23667,60667.305
0.24000,60671.371
0.24333,60672.500
0.24667,60671.953
0.25000,60673.508
0.25333,60671.223
0.25667,60670.570
0.26000,60671.129
0.26333,60672.980
0.26667,60673.008
0.27000,60673.008
0.27333,60673.137
0.27667,60672.910
0.28000,60673.625
0.28333,60670.914
0.28667,60669.816
0.29000,60672.664
0.29333,60649.910
0.29667,60641.590
0.30000,60666.973
0.30333,60664.961
0.30667,60671.992
0.31000,60672.980
0.31333,60668.117
0.31667,60670.324
0.32000,60671.293
0.32333,60672.656
0.32667,60672.363
0.33000,60672.988
0.33333,60673.039
0.33667,60671.855
0.34000,60671.195
0.34333,60666.930
0.34667,60671.312
0.35000,60659.656
0.35333,60651.625
0.35667,60647.605
0.36000,60654.512
0.36333,60654.969
0.36667,60657.129
0.37000,60653.902
0.37333,60655.988
0.37667,60658.297
0.38000,60656.953
0.38333,60649.531
0.38667,60649.125
0.39000,60640.422
0.39333,60636.598
0.39667,60641.746
0.40000,60643.773
0.40333,60654.586
0.40667,60641.527
0.41000,60636.012
0.41333,60643.723
0.41667,60644.930
0.42000,60648.570
0.42333,60642.895
0.42667,60653.527
0.43000,60670.020
0.43333,60672.129
0.43667,60671.227
0.44000,60673.430
0.44333,60673.512
0.44667,60673.000
0.45000,60673.000
0.45333,60672.203
0.45667,60671.363
0.46000,60670.656
0.46333,60672.008
0.46667,60672.492
0.47000,60673.020
0.47333,60672.590
0.47667,60660.156
0.48000,60668.527
0.48333,60669.316
0.48667,60673.277
0.49000,60672.871
0.49333,60670.316
0.49667,60669.395
0.50000,60671.109
0.50333,60662.766
0.50667,60670.664
0.51000,60653.832
0.51333,60669.949
0.51667,60666.527
0.52000,60672.609
0.52333,60672.902
0.52667,60668.066
0.53000,60664.684
0.53333,60671.188
0.53667,60663.742
0.54000,60665.156
0.54333,60674.441
0.54667,60673.098
0.55000,60662.551
0.55333,60667.754
0.55667,60659.551
0.56000,60671.785
0.56333,60670.988
0.56667,60672.344
0.57000,60679.383
0.57333,60672.586
0.57667,60669.527
0.58000,60660.590
0.58333,60670.469
0.58667,60667.844
0.59000,60670.125
0.59333,60664.020
0.59667,60668.148
0.60000,60675.422
0.60333,60666.285
0.60667,60636.922
0.61000,60033.125
0.61333,54077.684
0.61667,40966.324
0.62000,30529.279
0.62333,32801.137
0.62667,38231.414
0.63000,39491.410
0.63333,37975.258
0.63667,38708.746
0.64000,41058.914
0.64333,43934.480
0.64667,46002.352
0.65000,46523.020
0.65333,45960.176
0.65667,44911.684
0.66000,43762.223
0.66333,42914.246
0.66667,42481.695
0.67000,42439.773
0.67333,42186.816
0.67667,42103.797
0.68000,42103.508
0.68333,42026.363
0.68667,41728.070
0.69000,41653.312
0.69333,41943.605
0.69667,41639.609
0.70000,41349.605
0.70333,41097.695
0.70667,40904.605
0.71000,40652.715
0.71333,40623.305
0.71667,40752.137
0.72000,41229.734
0.72333,41964.336
0.72667,42436.863
0.73000,42623.492
0.73333,42860.766
0.73667,42719.344
0.74000,42731.742
0.74333,42317.246
0.74667,42022.254
0.75000,41944.203
0.75333,41638.949
0.75667,41502.844
0.76000,41909.734
0.76333,42478.727
0.76667,43322.734
0.77000,43852.570
0.77333,44591.469
0.77667,45385.215
0.78000,46156.590
0.78333,46723.195
0.78667,47259.352
0.79000,47405.227
0.79333,47546.434
0.79667,47450.336
0.80000,47675.766
0.80333,47497.188
0.80667,47700.375
0.81000,47481.648
0.81333,47487.375
0.81667,47661.488
0.82000,47735.344
0.82333,47615.578
0.82667,47514.531
0.83000,47716.469
0.83333,47412.863
0.83667,47483.973
0.84000,47507.258
0.84333,47566.793
0.84667,47620.363
0.85000,47590.285
0.85333,47574.629
0.85667,47627.332
0.86000,47508.695
0.86333,47578.816
0.86667,47472.117
0.87000,47557.184
0.87333,47634.371
0.87667,47651.215
0.88000,47578.203
0.88333,47570.168
0.88667,47589.988
0.89000,47492.395
0.89333,47537.293
0.89667,47648.352
0.90000,47622.527
0.90333,47457.766
0.90667,47540.688
0.91000,47703.617
0.91333,47443.500
0.91667,47527.559
0.92000,47516.785
0.92333,47487.188
0.92667,47578.277
0.93000,47430.773
0.93333,47531.242
0.93667,47586.836
0.94000,47524.707
0.94333,47392.254
0.94667,47429.207
0.95000,47498.422
0.95333,47414.098
0.95667,47478.668
0.96000,47292.148
0.96333,47489.305
0.96667,47547.223
0.97000,47586.531
0.97333,47496.723
0.97667,47605.012
0.98000,47557.727
0.98333,47407.273
0.98667,47516.758
0.99000,47361.844
0.99333,47497.078
0.99667,47508.008
1.00000,47369.531
1.00333,47405.258
1.00667,47418.520
1.01000,47558.617
1.01333,47453.875
1.01667,47427.324
1.02000,47440.195
1.02333,47514.461
1.02667,47409.629
1.03000,47431.695
1.03333,47312.223
1.03667,47435.336
1.04000,47527.824
1.04333,47492.148
1.04667,47473.312
1.05000,47527.539
1.05333,47491.605
1.05667,47427.812
1.06000,47467.051
1.06333,47380.027
1.06667,47508.684
1.07000,47425.566
1.07333,47480.242
1.07667,47327.297
1.08000,47524.070
1.08333,47422.246
1.08667,47442.816
1.09000,47483.051
1.09333,47364.742
1.09667,47456.805
1.10000,47524.949
1.10333,47254.492
1.10667,47441.586
1.11000,47229.727
1.11333,47531.883
1.11667,47451.020
1.12000,47440.285
1.12333,47477.336
1.12667,47338.871
1.13000,47249.234
1.13333,47304.703
1.13667,47392.039
1.14000,47319.875
1.14333,47423.312
1.14667,47315.805
1.15000,47041.566
1.15333,47287.684
1.15667,47312.246
1.16000,47183.551
1.16333,47359.969
1.16667,47263.844
1.17000,47394.508
1.17333,47310.027
1.17667,47366.480
1.18000,47439.723
1.18333,47295.125
1.18667,47311.988
1.19000,47380.941
1.19333,47289.008
1.19667,47360.453
1.20000,47203.156
1.20333,47436.395
1.20667,47419.105
1.21000,47240.988
1.21333,47307.754
1.21667,47254.668
1.22000,47087.910
1.22333,47303.852
1.22667,47255.453
1.23000,47094.008
1.23333,47253.375
1.23667,47265.469
1.24000,47236.254
1.24333,47396.758
1.24667,47210.832
1.25000,47343.051
1.25333,47193.832
1.25667,47119.207
1.26000,47203.668
1.26333,47244.066
1.26667,47352.258
1.27000,47301.766
1.27333,47182.391
1.27667,47130.391
1.28000,47268.875
1.28333,47275.227
1.28667,47276.480
1.29000,47298.891
1.29333,47158.609
1.29667,47132.871
1.30000,47054.688
1.30333,47153.855
1.30667,47245.332
1.31000,47153.254
1.31333,47232.668
1.31667,47211.297
1.32000,47306.773
1.32333,47185.145
1.32667,47188.168
1.33000,47119.164
1.33333,47199.578
1.33667,47214.871
1.34000,47123.184
1.34333,46986.703
1.34667,47065.203
1.35000,47121.598
1.35333,47060.285
1.35667,47066.234
1.36000,47165.410
1.36333,47011.277
1.36667,47034.609
1.37000,47106.117
1.37333,47054.148
1.37667,47082.480
1.38000,47181.441
1.38333,47104.395
1.38667,47105.605
1.39000,47150.875
1.39333,47095.703
1.39667,47143.305
1.40000,47083.449
1.40333,47033.949
1.40667,47173.086
1.41000,47072.020
1.41333,47147.254
1.41667,47211.098
1.42000,47164.703
1.42333,47158.742
1.42667,47136.992
1.43000,47215.234
1.43333,47011.605
1.43667,47012.090
1.44000,47049.316
1.44333,47139.375
1.44667,47112.305
1.45000,46948.863
1.45333,47125.871
1.45667,47044.605
1.46000,47056.715
1.46333,46965.605
1.46667,47079.168
1.47000,47004.793
1.47333,47057.473
1.47667,47069.875
1.48000,46967.832
1.48333,46983.754
1.48667,47022.797
1.49000,46843.902
1.49333,47061.863
1.49667,46995.754
1.50000,47041.531
1.50333,47003.605
1.50667,47066.176
1.51000,46854.723
1.51333,46869.609
1.51667,46810.793
1.52000,46841.273
1.52333,46934.266
1.52667,46919.785
1.53000,46983.430
1.53333,46914.375
1.53667,46843.961
1.54000,47049.586
1.54333,47023.285
1.54667,46946.539
1.55000,46982.531
1.55333,46928.676
1.55667,46902.344
1.56000,46943.883
1.56333,47009.590
1.56667,46930.410
1.57000,46964.156
1.57333,46749.895
1.57667,46846.031
1.58000,46822.480
1.58333,46813.395
1.58667,46879.105
1.59000,46876.754
1.59333,46855.871
1.59667,46841.844
1.60000,46994.922
1.60333,46929.695
1.60667,46915.746
1.61000,46859.930
1.61333,46896.000
1.61667,46801.688
1.62000,46773.895
1.62333,46832.520
1.62667,46750.547
1.63000,46856.754
1.63333,46721.570
1.63667,46872.805
1.64000,46563.609
1.64333,46864.578
1.64667,46896.832
1.65000,46794.910
1.65333,46764.805
1.65667,46860.637
1.66000,46850.020
1.66333,46618.625
1.66667,46764.031
1.67000,46686.715
1.67333,46784.754
1.67667,46898.727
1.68000,46759.012
1.68333,46890.391
1.68667,46671.875
1.69000,46349.078
1.69333,46609.312
1.69667,46654.605
1.70000,46862.766
1.70333,46579.520
1.70667,46670.668
1.71000,46679.184
1.71333,46699.969
1.71667,46633.473
1.72000,46715.176
1.72333,46422.227
1.72667,46520.000
1.73000,46386.027
1.73333,46480.375
1.73667,46537.020
1.74000,46445.129
1.74333,46476.578
1.74667,46430.684
1.75000,46443.695
1.75333,46495.797
1.75667,46315.766
1.76000,46466.031
1.76333,46310.027
1.76667,46367.805
1.77000,46211.469
1.77333,46279.723
1.77667,46153.961
1.78000,46155.953
1.78333,46326.695
1.78667,46206.434
1.79000,46027.246
1.79333,46322.695
1.79667,46114.129
1.80000,46272.953
1.80333,46259.500
1.80667,46327.031
1.81000,46067.527
1.81333,46012.414
1.81667,46110.742
1.82000,46223.176
1.82333,46070.125
1.82667,45986.000
1.83000,45936.109
1.83333,45985.723
1.83667,45961.285
1.84000,46137.227
1.84333,46011.125
1.84667,45883.863
1.85000,45942.742
1.85333,45890.008
1.85667,45765.184
1.86000,45775.895
1.86333,45731.953
1.86667,45707.168
1.87000,45744.207
1.87333,45642.883
1.87667,45695.414
1.88000,45532.836
1.88333,45685.148
1.88667,45734.941
1.89000,45625.949
1.89333,45523.922
1.89667,45551.105
1.90000,45679.316
1.90333,45493.777
1.90667,45457.086
1.91000,45586.480
1.91333,45479.461
1.91667,45592.520
1.92000,45346.855
1.92333,45387.207
1.92667,45436.578
1.93000,45426.441
1.93333,45349.441
1.93667,45318.617
1.94000,45310.922
1.94333,45298.629
1.94667,45266.098
1.95000,45332.512
1.95333,45257.863
1.95667,45180.988
1.96000,45102.145
1.96333,45262.758
1.96667,45212.020
1.97000,45297.273
1.97333,45064.020
1.97667,45047.383
1.98000,44980.410
1.98333,44895.852
1.98667,45028.297
1.99000,45069.973
1.99333,45114.949
1.99667,45011.422
2.00000,44947.723
2.00333,44943.727
2.00667,44803.746
2.01000,44912.391
2.01333,44799.391
2.01667,44775.703
2.02000,44800.715
2.02333,44697.352
2.02667,44650.000
2.03000,44597.344
2.03333,44444.891
2.03667,44561.020
2.04000,44497.844
2.04333,44670.105
2.04667,44517.371
2.05000,44477.137
2.05333,44322.961
2.05667,44415.492
2.06000,44369.246
2.06333,44250.816
2.06667,44196.090
2.07000,44144.836
2.07333,44236.363
2.07667,44126.695
2.08000,44047.953
2.08333,44044.832
2.08667,44018.676
2.09000,44018.664
2.09333,43977.188
2.09667,43829.527
2.10000,43881.531
2.10333,43782.754
2.10667,43744.184
2.11000,43820.609
2.11333,43651.578
2.11667,43559.727
2.12000,43572.266
2.12333,43488.645
2.12667,43467.527
2.13000,43419.285
2.13333,43328.559
2.13667,43269.195
2.14000,43111.453
2.14333,43225.773
2.14667,43109.734
2.15000,42937.156
2.15333,42975.570
2.15667,42960.855
2.16000,42925.047
2.16333,42871.184
2.16667,42780.285
2.17000,42642.902
2.17333,42615.656
2.17667,42687.168
2.18000,42553.914
2.18333,42414.223
2.18667,42456.422
2.19000,42268.793
2.19333,42242.625
2.19667,42247.000
2.20000,42255.336
2.20333,41982.609
2.20667,41924.727
2.21000,41890.047
2.21333,41908.203
2.21667,41870.059
2.22000,41754.637
2.22333,41787.742
2.22667,41686.020
2.23000,41623.047
2.23333,41487.684
2.23667,41373.797
2.24000,41448.758
2.24333,41218.758
2.24667,41198.246
2.25000,40981.992
2.25333,40979.488
2.25667,40880.410
2.26000,40763.215
2.26333,40814.227
2.26667,40718.020
2.27000,40581.242
2.27333,40512.688
2.27667,40523.934
2.28000,40400.469
2.28333,40399.539
2.28667,40244.246
2.29000,40036.188
2.29333,40105.395
2.29667,39840.797
2.30000,39800.090
2.30333,39745.164
2.30667,39730.727
2.31000,39662.453
2.31333,39439.754
2.31667,39372.949
2.32000,39361.949
2.32333,39373.000
2.32667,39216.051
2.33000,39165.871
2.33333,39250.797
2.33667,39156.312
2.34000,39027.383
2.34333,38980.625
2.34667,38747.109
2.35000,38772.469
2.35333,38801.520
2.35667,38676.391
2.36000,38479.586
2.36333,38392.441
2.36667,38453.566
2.37000,38330.746
2.37333,38213.863
2.37667,38138.293
2.38000,37825.902
2.38333,37880.184
2.38667,37752.383
2.39000,37709.656
2.39333,37761.520
2.39667,37681.375
2.40000,37529.344
2.40333,37428.305
2.40667,37429.527
2.41000,37471.492
2.41333,37409.500
2.41667,37316.137
2.42000,37194.410
2.42333,37155.453
2.42667,36989.664
2.43000,37132.285
2.43333,36918.070
2.43667,36904.590
2.44000,36730.645
2.44333,36836.559
2.44667,36798.414
2.45000,36647.105
2.45333,36557.539
2.45667,36510.664
2.46000,36429.391
2.46333,36287.316
2.46667,36306.316
2.47000,36140.766
2.47333,36007.648
2.47667,36048.051
2.48000,35965.852
2.48333,35891.758
2.48667,35810.891
2.49000,35748.395
2.49333,35656.871
2.49667,35556.148
2.50000,35687.285
2.50333,35506.473
2.50667,35507.344
2.51000,35424.441
2.51333,35492.688
2.51667,35381.953
2.52000,35175.223
2.52333,35271.492
2.52667,35188.797
2.53000,35083.980
2.53333,35197.148
2.53667,35111.039
2.54000,35182.223
2.54333,35116.500
2.54667,35066.434
2.55000,35051.871
2.55333,35068.512
2.55667,35069.027
2.56000,34989.188
2.56333,34962.027
2.56667,34873.703
2.57000,34832.344
2.57333,34900.395
2.57667,34931.410
2.58000,34771.992
2.58333,34760.637
2.58667,34687.227
2.59000,34561.812
2.59333,34770.355
2.59667,34785.617
2.60000,34701.844
2.60333,34569.988
2.60667,34542.488
2.61000,34510.766
2.61333,34368.754
2.61667,34452.559
2.62000,34399.598
2.62333,34277.195
2.62667,34436.480
2.63000,34352.090
2.63333,34260.145
2.63667,34139.188
2.64000,34264.934
2.64333,34196.758
2.64667,34037.566
2.65000,34091.344
2.65333,34165.578
2.65667,34105.273
2.66000,34020.461
2.66333,33881.605
2.66667,34006.891
2.67000,33874.148
2.67333,33799.414
2.67667,33842.027
2.68000,33823.285
2.68333,33856.617
2.68667,33839.078
2.69000,33804.527
2.69333,33748.527
2.69667,33781.570
2.70000,33721.547
2.70333,33725.129
2.70667,33782.676
2.71000,33718.453
2.71333,33583.215
2.71667,33590.039
2.72000,33675.039
2.72333,33704.895
2.72667,33694.066
2.73000,33560.797
2.73333,33546.754
2.73667,33536.078
2.74000,33479.723
2.74333,33482.383
2.74667,33423.625
2.75000,33457.207
2.75333,33652.195
2.75667,33526.051
2.76000,33541.668
2.76333,33564.746
2.76667,33388.605
2.77000,33549.832
2.77333,33490.836
2.77667,33381.203
2.78000,33225.258
2.78333,33427.684
2.78667,33339.324
2.79000,33413.973
2.79333,33334.105
2.79667,33424.441
2.80000,33416.336
2.80333,33386.871
2.80667,33381.312
2.81000,33229.246
2.81333,33323.793
2.81667,33220.941
2.82000,33256.766
2.82333,33277.992
2.82667,33302.734
2.83000,33281.973
2.83333,33223.305
2.83667,33216.934
2.84000,33192.363
2.84333,33239.824
2.84667,33065.688
2.85000,33268.832
2.85333,33185.551
2.85667,33206.273
2.86000,33145.156
2.86333,33096.285
2.86667,33198.598
2.87000,33053.688
2.87333,33185.863
2.87667,33124.129
2.88000,33098.949
2.88333,33126.863
2.88667,33032.949
2.89000,32992.676
2.89333,33109.844
2.89667,33117.383
2.90000,33136.352
2.90333,33059.707
2.90667,32989.176
2.91000,33015.586
2.91333,32989.914
2.91667,33001.258
2.92000,33181.844
2.92333,33037.559
2.92667,33033.000
2.93000,33089.188
2.93333,33050.895
2.93667,33064.148
2.94000,32855.207
2.94333,33005.609
2.94667,33099.723
2.95000,33003.508
2.95333,32979.852
2.95667,33039.992
2.96000,32866.422
2.96333,32949.988
2.96667,33053.480
2.97000,33127.605
2.97333,33042.836
2.97667,33111.059
2.98000,33100.512
2.98333,33085.793
2.98667,33023.664
2.99000,32895.703
2.99333,33046.266
2.99667,32913.551
3.00000,32996.332
3.00333,32846.234
3.00667,33041.258
3.01000,33040.449
3.01333,33028.629
3.01667,33026.785
3.02000,33067.070
3.02333,32921.934
3.02667,32984.492
