Distance_(inches),Gray_Value
0.00000,60673.043
0.00333,60671.836
0.00667,60672.316
0.01000,60672.453
0.01333,60671.891
0.01667,60672.863
0.02000,60672.945
0.02333,60669.395
0.02667,60663.164
0.03000,60666.664
0.03333,60671.363
0.03667,60673.020
0.04000,60671.832
0.04333,60673.387
0.04667,60673.617
0.05000,60662.387
0.05333,60667.902
0.05667,60673.363
0.06000,60672.504
0.06333,60672.676
0.06667,60668.477
0.07000,60673.492
0.07333,60673.160
0.07667,60673.117
0.08000,60674.270
0.08333,60667.492
0.08667,60669.184
0.09000,60673.008
0.09333,60672.527
0.09667,60669.828
0.10000,60673.129
0.10333,60671.004
0.10667,60667.992
0.11000,60672.285
0.11333,60672.609
0.11667,60673.043
0.12000,60673.098
0.12333,60664.340
0.12667,60668.652
0.13000,60672.199
0.13333,60672.727
0.13667,60672.969
0.14000,60673.262
0.14333,60672.902
0.14667,60667.379
0.15000,60672.941
0.15333,60670.559
0.15667,60669.195
0.16000,60665.770
0.16333,60673.047
0.16667,60673.082
0.17000,60676.602
0.17333,60671.121
0.17667,60660.371
0.18000,60660.035
0.18333,60671.633
0.18667,60673.105
0.19000,60673.141
0.19333,60672.738
0.19667,60672.699
0.20000,60673.605
0.20333,60672.691
0.20667,60672.633
0.21000,60671.980
0.21333,60672.137
0.21667,60673.016
0.22000,60673.109
0.22333,60672.742
0.22667,60672.180
0.23000,60673.082
0.23333,60672.801
0.23667,60673.219
0.24000,60673.129
0.24333,60672.926
0.24667,60672.430
0.25000,60673.938
0.25333,60671.930
0.25667,60669.945
0.26000,60647.766
0.26333,60671.297
0.26667,60658.973
0.27000,60655.145
0.27333,60659.102
0.27667,60659.805
0.28000,60673.262
0.28333,60671.355
0.28667,60672.434
0.29000,60671.895
0.29333,60673.281
0.29667,60671.621
0.30000,60673.062
0.30333,60671.988
0.30667,60665.082
0.31000,60659.238
0.31333,60671.734
0.31667,60673.027
0.32000,60671.910
0.32333,60665.617
0.32667,60662.695
0.33000,60660.211
0.33333,60662.457
0.33667,60661.570
0.34000,60661.797
0.34333,60665.602
0.34667,60658.254
0.35000,60663.309
0.35333,60663.180
0.35667,60658.719
0.36000,60659.465
0.36333,60649.617
0.36667,60651.164
0.37000,60657.820
0.37333,60656.516
0.37667,60660.738
0.38000,60660.848
0.38333,60659.391
0.38667,60655.215
0.39000,60655.098
0.39333,60653.305
0.39667,60660.797
0.40000,60660.020
0.40333,60672.219
0.40667,60672.758
0.41000,60672.363
0.41333,60672.488
0.41667,60673.562
0.42000,60672.973
0.42333,60673.758
0.42667,60672.586
0.43000,60673.059
0.43333,60673.059
0.43667,60669.762
0.44000,60672.746
0.44333,60670.781
0.44667,60668.930
0.45000,60668.984
0.45333,60656.973
0.45667,60666.668
0.46000,60668.387
0.46333,60672.375
0.46667,60673.504
0.47000,60661.688
0.47333,60669.301
0.47667,60605.078
0.48000,60075.484
0.48333,57563.160
0.48667,54500.379
0.49000,51927.211
0.49333,50116.117
0.49667,47795.281
0.50000,45299.340
0.50333,42976.098
0.50667,41104.520
0.51000,39456.973
0.51333,39146.582
0.51667,40463.945
0.52000,41835.414
0.52333,42474.133
0.52667,43340.379
0.53000,44432.172
0.53333,45390.262
0.53667,46516.469
0.54000,47069.473
0.54333,47386.320
0.54667,47560.473
0.55000,47752.594
0.55333,47749.320
0.55667,47681.867
0.56000,47716.465
0.56333,47775.402
0.56667,47858.637
0.57000,47911.246
0.57333,47915.445
0.57667,48016.262
0.58000,47563.977
0.58333,47539.707
0.58667,47200.289
0.59000,46852.527
0.59333,46904.590
0.59667,46653.004
0.60000,46453.738
0.60333,46632.996
0.60667,46505.102
0.61000,46303.660
0.61333,46428.840
0.61667,46356.410
0.62000,46078.574
0.62333,46183.508
0.62667,45956.766
0.63000,46156.359
0.63333,45828.773
0.63667,45984.590
0.64000,45965.715
0.64333,46158.129
0.64667,46094.633
0.65000,46021.281
0.65333,46086.891
0.65667,45995.461
0.66000,46015.344
0.66333,45907.688
0.66667,45892.230
0.67000,45980.574
0.67333,45801.863
0.67667,45778.230
0.68000,45978.027
0.68333,45974.223
0.68667,46185.965
0.69000,46480.953
0.69333,46595.227
0.69667,46761.613
0.70000,46863.469
0.70333,46868.457
0.70667,46930.215
0.71000,46953.797
0.71333,46880.082
0.71667,47040.219
0.72000,47187.012
0.72333,47098.082
0.72667,47156.523
0.73000,47209.910
0.73333,46895.742
0.73667,46866.582
0.74000,46951.188
0.74333,46625.535
0.74667,46733.457
0.75000,46819.500
0.75333,46990.863
0.75667,47105.742
0.76000,47174.211
0.76333,47239.785
0.76667,47280.270
0.77000,47396.289
0.77333,47868.070
0.77667,47954.836
0.78000,48106.492
0.78333,47950.379
0.78667,47849.848
0.79000,47998.348
0.79333,47866.004
0.79667,48024.766
0.80000,47972.996
0.80333,47910.781
0.80667,47806.078
0.81000,47813.371
0.81333,47906.273
0.81667,47999.977
