Distance_(inches),Gray_Value
0.00000,60671.676
0.00333,60677.711
0.00667,60660.102
0.01000,60679.785
0.01333,60665.746
0.01667,60661.402
0.02000,60664.961
0.02333,60655.852
0.02667,60666.199
0.03000,60668.266
0.03333,60652.129
0.03667,60668.504
0.04000,60623.176
0.04333,60681.672
0.04667,60664.152
0.05000,60674.391
0.05333,60670.887
0.05667,60672.965
0.06000,60676.164
0.06333,60656.625
0.06667,60641.828
0.07000,60665.664
0.07333,60619.777
0.07667,60632.672
0.08000,60651.059
0.08333,60641.398
0.08667,60684.953
0.09000,60656.691
0.09333,60672.371
0.09667,60667.465
0.10000,60664.316
0.10333,60667.629
0.10667,60655.316
0.11000,60670.410
0.11333,60662.566
0.11667,60671.352
0.12000,60670.566
0.12333,60655.766
0.12667,60658.789
0.13000,60671.266
0.13333,60659.426
0.13667,60662.934
0.14000,60673.836
0.14333,60645.973
0.14667,60620.316
0.15000,60640.926
0.15333,60614.387
0.15667,60607.066
0.16000,60656.848
0.16333,60666.574
0.16667,60624.699
0.17000,60628.875
0.17333,60646.602
0.17667,60653.074
0.18000,60652.562
0.18333,60668.234
0.18667,60665.422
0.19000,60667.336
0.19333,60676.398
0.19667,60658.762
0.20000,60654.137
0.20333,60675.691
0.20667,60672.062
0.21000,60668.750
0.21333,60676.152
0.21667,60670.172
0.22000,60676.887
0.22333,60683.086
0.22667,60662.172
0.23000,60669.211
0.23333,60680.129
0.23667,60662.684
0.24000,60639.496
0.24333,60667.809
0.24667,60665.266
0.25000,60623.176
0.25333,60674.004
0.25667,60699.215
0.26000,60606.637
0.26333,60669.703
0.26667,60670.277
0.27000,60577.977
0.27333,60683.254
0.27667,60668.723
0.28000,60590.773
0.28333,60634.523
0.28667,60640.984
0.29000,60672.453
0.29333,60657.559
0.29667,60668.488
0.30000,60659.266
0.30333,60655.902
0.30667,60655.621
0.31000,60651.512
0.31333,60669.473
0.31667,60667.238
0.32000,60679.766
0.32333,60667.949
0.32667,60667.309
0.33000,60624.574
0.33333,60675.160
0.33667,60575.824
0.34000,60678.262
0.34333,60664.363
0.34667,60674.496
0.35000,60664.875
0.35333,60661.273
0.35667,60667.746
0.36000,60681.609
0.36333,60639.176
0.36667,60651.598
0.37000,60652.465
0.37333,60677.277
0.37667,60620.750
0.38000,60656.598
0.38333,60655.551
0.38667,60669.285
0.39000,60675.875
0.39333,60669.148
0.39667,60672.789
0.40000,60671.496
0.40333,60664.441
0.40667,60674.434
0.41000,60670.641
0.41333,60642.609
0.41667,60644.504
0.42000,60678.359
0.42333,60663.629
0.42667,60662.473
0.43000,60650.676
0.43333,60670.324
0.43667,60667.852
0.44000,60646.426
0.44333,60666.527
0.44667,60672.797
0.45000,60668.746
0.45333,60663.379
0.45667,60654.309
0.46000,60594.547
0.46333,60672.148
0.46667,60650.773
0.47000,60670.648
0.47333,60633.078
0.47667,60649.027
0.48000,60678.246
0.48333,60607.059
0.48667,60647.684
0.49000,60659.348
0.49333,60632.547
0.49667,60659.090
0.50000,60644.246
0.50333,60661.121
0.50667,60666.113
0.51000,60672.613
0.51333,60663.996
0.51667,60621.688
0.52000,60619.312
0.52333,60632.703
0.52667,60667.762
0.53000,60595.277
0.53333,60663.828
0.53667,60641.211
0.54000,60675.562
0.54333,60657.637
0.54667,60606.848
0.55000,60640.922
0.55333,60667.461
0.55667,60661.754
0.56000,60672.809
0.56333,60662.125
0.56667,60651.172
0.57000,60681.785
0.57333,60666.637
0.57667,60651.262
0.58000,60668.641
0.58333,60669.973
0.58667,60651.871
0.59000,60667.324
0.59333,60673.746
0.59667,60669.699
0.60000,60664.074
0.60333,60658.121
0.60667,60654.348
0.61000,60659.051
0.61333,60663.988
0.61667,60668.160
0.62000,60596.422
0.62333,60670.727
0.62667,60668.953
0.63000,60667.598
0.63333,60676.676
0.63667,60671.035
0.64000,60639.402
0.64333,60653.746
0.64667,60669.289
0.65000,60672.172
0.65333,60674.484
0.65667,60641.051
0.66000,60640.312
0.66333,60643.578
0.66667,60665.312
0.67000,60672.859
0.67333,60642.988
0.67667,60666.590
0.68000,60665.414
0.68333,60591.922
0.68667,60670.160
0.69000,60631.664
0.69333,60667.090
0.69667,60665.562
0.70000,60652.871
0.70333,60652.410
0.70667,60608.184
0.71000,60669.516
0.71333,60657.211
0.71667,60674.160
0.72000,60650.426
0.72333,60691.273
0.72667,60625.660
0.73000,60638.184
0.73333,60660.387
0.73667,60618.684
0.74000,60637.934
0.74333,60534.324
0.74667,59993.066
0.75000,57182.348
0.75333,51035.910
0.75667,45848.090
0.76000,41985.953
0.76333,38491.562
0.76667,37798.574
