Distance_(inches),Gray_Value
0.00000,60674.680
0.00333,60674.012
0.00667,60672.574
0.01000,60672.750
0.01333,60674.984
0.01667,60674.203
0.02000,60676.059
0.02333,60669.801
0.02667,60672.988
0.03000,60672.453
0.03333,60667.156
0.03667,60666.949
0.04000,60676.391
0.04333,60669.559
0.04667,60671.359
0.05000,60675.801
0.05333,60673.973
0.05667,60670.523
0.06000,60666.586
0.06333,60664.004
0.06667,60672.879
0.07000,60672.906
0.07333,60672.594
0.07667,60672.953
0.08000,60673.461
0.08333,60672.965
0.08667,60671.465
0.09000,60671.715
0.09333,60653.953
0.09667,60674.605
0.10000,60675.000
0.10333,60675.164
0.10667,60675.000
0.11000,60640.848
0.11333,60673.668
0.11667,60675.051
0.12000,60673.285
0.12333,60666.973
0.12667,60670.812
0.13000,60675.145
0.13333,60669.562
0.13667,60673.461
0.14000,60673.129
0.14333,60677.918
0.14667,60674.406
0.15000,60672.855
0.15333,60673.949
0.15667,60674.062
0.16000,60672.176
0.16333,60671.145
0.16667,60662.664
0.17000,60675.430
0.17333,60675.504
0.17667,60673.191
0.18000,60673.516
0.18333,60673.559
0.18667,60674.215
0.19000,60674.965
0.19333,60674.953
0.19667,60672.844
0.20000,60672.512
0.20333,60673.715
0.20667,60669.855
0.21000,60665.688
0.21333,60670.562
0.21667,60669.691
0.22000,60670.598
0.22333,60666.465
0.22667,60670.414
0.23000,60674.320
0.23333,60674.883
0.23667,60675.129
0.24000,60681.551
0.24333,60613.633
0.24667,60661.012
0.25000,60676.777
0.25333,60668.523
0.25667,60657.973
0.26000,60672.516
0.26333,60674.188
0.26667,60674.965
0.27000,60674.441
0.27333,60654.594
0.27667,60673.609
0.28000,60669.086
0.28333,60673.145
0.28667,60675.461
0.29000,60672.047
0.29333,60657.848
0.29667,60660.105
0.30000,60654.617
0.30333,60663.797
0.30667,60672.414
0.31000,60669.496
0.31333,60669.059
0.31667,60670.938
0.32000,60674.250
0.32333,60675.738
0.32667,60675.000
0.33000,60675.199
0.33333,60667.152
0.33667,60675.051
0.34000,60675.285
0.34333,60675.297
0.34667,60674.570
0.35000,60675.223
0.35333,60672.227
0.35667,60673.867
0.36000,60676.176
0.36333,60672.570
0.36667,60671.547
0.37000,60673.949
0.37333,60671.227
0.37667,60670.312
0.38000,60674.488
0.38333,60664.465
0.38667,60676.129
0.39000,60676.273
0.39333,60669.703
0.39667,60676.203
0.40000,60664.320
0.40333,60672.238
0.40667,60663.754
0.41000,60674.344
0.41333,60674.938
0.41667,60674.391
0.42000,60669.133
0.42333,60674.312
0.42667,60672.738
0.43000,60658.605
0.43333,60668.477
0.43667,60664.188
0.44000,60568.664
0.44333,60672.785
0.44667,60674.883
0.45000,60673.027
0.45333,60672.254
0.45667,60670.855
0.46000,60674.559
0.46333,60675.098
0.46667,60675.430
0.47000,60675.023
0.47333,60675.176
0.47667,60673.586
0.48000,60653.406
0.48333,60665.645
0.48667,60666.691
0.49000,60676.656
0.49333,60671.496
0.49667,60676.133
0.50000,60674.988
0.50333,60674.949
0.50667,60673.500
0.51000,60676.539
0.51333,60665.246
0.51667,60526.797
0.52000,57700.766
0.52333,40655.984
0.52667,29173.012
0.53000,31682.459
0.53333,39635.473
0.53667,38247.203
0.54000,35452.594
0.54333,36267.711
0.54667,38656.109
0.55000,41790.211
0.55333,45275.609
0.55667,47256.449
0.56000,47742.535
0.56333,47703.738
0.56667,47782.367
0.57000,47836.336
0.57333,47870.094
0.57667,47819.809
0.58000,47846.297
0.58333,47674.539
0.58667,47501.859
0.59000,47150.938
0.59333,46904.609
0.59667,46191.094
0.60000,45434.027
0.60333,45554.820
0.60667,45449.391
0.61000,45584.191
0.61333,45241.211
0.61667,45005.273
0.62000,44646.629
0.62333,44467.844
0.62667,44493.789
0.63000,44384.094
0.63333,44502.953
0.63667,44587.453
0.64000,44792.801
0.64333,44830.609
0.64667,44968.680
0.65000,44888.047
0.65333,45038.098
0.65667,45075.688
0.66000,45085.582
0.66333,45329.668
0.66667,45592.797
0.67000,46002.961
0.67333,45915.074
0.67667,45998.395
0.68000,46309.262
0.68333,46419.391
0.68667,46525.668
0.69000,46687.359
0.69333,46489.629
0.69667,46497.336
0.70000,46415.754
0.70333,45657.129
0.70667,45192.188
0.71000,44545.262
0.71333,44150.500
0.71667,43907.500
0.72000,43715.621
0.72333,44438.262
0.72667,45539.570
0.73000,45850.211
0.73333,46272.598
0.73667,46696.965
0.74000,47121.500
0.74333,47376.938
0.74667,47692.152
0.75000,47730.930
0.75333,47783.336
0.75667,47728.215
0.76000,47700.395
0.76333,47635.367
0.76667,47748.121
0.77000,47698.141
0.77333,47810.273
0.77667,47738.004
0.78000,47660.262
0.78333,47810.953
0.78667,47749.996
0.79000,47671.688
0.79333,47768.449
0.79667,47794.344
0.80000,47559.348
0.80333,47696.586
0.80667,47777.801
0.81000,47568.211
0.81333,47665.656
0.81667,47650.098
0.82000,47619.027
0.82333,47822.664
0.82667,47725.527
0.83000,47580.047
0.83333,47809.801
0.83667,47768.285
0.84000,47794.129
0.84333,47829.988
0.84667,47739.652
0.85000,47622.234
0.85333,47690.988
0.85667,47753.359
0.86000,47782.320
0.86333,47659.000
0.86667,47840.883
0.87000,47728.152
0.87333,47754.402
0.87667,47757.273
0.88000,47808.430
0.88333,47898.609
0.88667,47758.629
0.89000,47647.574
0.89333,47820.523
0.89667,47712.438
0.90000,47739.723
0.90333,47744.797
0.90667,47855.109
0.91000,47799.953
0.91333,47822.836
0.91667,47869.156
0.92000,47730.762
0.92333,47599.035
0.92667,47769.535
0.93000,47468.211
0.93333,47597.227
0.93667,47716.855
0.94000,47713.473
0.94333,47728.164
0.94667,47646.812
0.95000,47968.473
0.95333,47699.383
0.95667,47733.953
0.96000,47677.512
0.96333,47638.633
0.96667,47639.371
0.97000,47721.789
0.97333,47843.059
0.97667,47627.211
0.98000,47664.164
0.98333,47764.246
0.98667,47775.391
0.99000,47809.145
0.99333,47665.180
0.99667,47708.273
1.00000,47761.449
1.00333,47652.812
1.00667,47699.512
1.01000,47686.809
1.01333,47552.379
1.01667,47669.836
1.02000,47503.621
1.02333,47551.504
1.02667,47716.277
1.03000,47708.441
1.03333,47701.246
1.03667,47671.766
1.04000,47700.523
1.04333,47767.961
1.04667,47714.117
1.05000,47825.062
1.05333,47634.449
1.05667,47744.629
1.06000,47757.715
1.06333,47671.824
1.06667,47793.586
1.07000,47800.926
1.07333,47771.070
1.07667,47758.098
1.08000,47639.168
1.08333,47758.344
1.08667,47716.777
1.09000,47651.129
1.09333,47778.336
1.09667,47700.547
1.10000,47735.484
1.10333,47757.594
1.10667,47760.215
1.11000,47853.176
1.11333,47689.000
1.11667,47756.141
1.12000,47655.680
1.12333,47681.121
1.12667,47608.750
1.13000,47825.652
1.13333,47561.262
1.13667,47554.605
1.14000,47775.211
1.14333,47722.664
1.14667,47854.570
1.15000,47731.297
1.15333,47518.539
1.15667,47725.168
1.16000,47845.488
1.16333,47632.547
1.16667,47705.496
1.17000,47814.449
1.17333,47609.641
1.17667,47673.777
1.18000,47607.473
1.18333,47682.727
1.18667,47669.297
1.19000,47784.109
1.19333,47593.594
1.19667,47669.574
1.20000,47812.324
1.20333,47619.199
1.20667,47664.285
1.21000,47576.027
1.21333,47811.996
1.21667,47646.238
1.22000,47727.059
1.22333,47665.418
1.22667,47709.656
1.23000,47712.984
1.23333,47609.312
1.23667,47770.762
1.24000,47624.973
1.24333,47713.594
1.24667,47772.344
1.25000,47645.082
1.25333,47630.117
1.25667,47681.188
1.26000,47664.973
1.26333,47631.883
1.26667,47656.582
1.27000,47456.777
1.27333,47532.746
