Distance_(inches),Gray_Value
0.00000,60670.836
0.00333,60662.398
0.00667,60656.020
0.01000,60672.004
0.01333,60672.184
0.01667,60670.691
0.02000,60672.051
0.02333,60672.172
0.02667,60669.902
0.03000,60672.039
0.03333,60671.414
0.03667,60671.875
0.04000,60671.203
0.04333,60672.020
0.04667,60672.297
0.05000,60671.879
0.05333,60669.582
0.05667,60671.180
0.06000,60667.930
0.06333,60671.840
0.06667,60672.043
0.07000,60667.285
0.07333,60671.164
0.07667,60671.688
0.08000,60672.605
0.08333,60667.426
0.08667,60671.945
0.09000,60672.043
0.09333,60672.078
0.09667,60672.078
0.10000,60669.770
0.10333,60672.172
0.10667,60671.652
0.11000,60666.062
0.11333,60664.387
0.11667,60672.430
0.12000,60670.422
0.12333,60671.207
0.12667,60662.812
0.13000,60653.695
0.13333,60663.996
0.13667,60671.598
0.14000,60669.895
0.14333,60671.727
0.14667,60669.660
0.15000,60672.379
0.15333,60670.770
0.15667,60671.742
0.16000,60665.938
0.16333,60663.164
0.16667,60668.656
0.17000,60672.609
0.17333,60672.043
0.17667,60672.098
0.18000,60669.238
0.18333,60670.871
0.18667,60668.004
0.19000,60663.680
0.19333,60672.254
0.19667,60672.008
0.20000,60672.141
0.20333,60672.020
0.20667,60671.988
0.21000,60671.293
0.21333,60666.848
0.21667,60663.934
0.22000,60666.492
0.22333,60670.129
0.22667,60672.238
0.23000,60671.258
0.23333,60670.539
0.23667,60670.879
0.24000,60672.445
0.24333,60667.699
0.24667,60666.441
0.25000,60669.348
0.25333,60670.551
0.25667,60672.371
0.26000,60664.770
0.26333,60672.430
0.26667,60666.500
0.27000,60654.305
0.27333,60663.793
0.27667,60673.578
0.28000,60672.078
0.28333,60670.926
0.28667,60671.215
0.29000,60669.562
0.29333,60669.715
0.29667,60666.754
0.30000,60667.863
0.30333,60671.590
0.30667,60659.867
0.31000,60671.629
0.31333,60672.129
0.31667,60669.734
0.32000,60672.473
0.32333,60664.578
0.32667,60672.238
0.33000,60667.906
0.33333,60671.094
0.33667,60671.984
0.34000,60670.094
0.34333,60663.566
0.34667,60666.066
0.35000,60672.043
0.35333,60672.062
0.35667,60670.844
0.36000,60650.488
0.36333,60638.266
0.36667,60658.828
0.37000,60671.016
0.37333,60669.758
0.37667,60672.137
0.38000,60670.816
0.38333,60671.922
0.38667,60659.160
0.39000,60663.762
0.39333,60671.645
0.39667,60668.340
0.40000,60671.594
0.40333,60669.078
0.40667,60672.172
0.41000,60668.828
0.41333,60669.996
0.41667,60670.070
0.42000,60672.035
0.42333,60653.938
0.42667,60672.223
0.43000,60672.047
0.43333,60670.777
0.43667,60668.578
0.44000,60651.387
0.44333,60671.816
0.44667,60671.988
0.45000,60669.793
0.45333,60663.965
0.45667,60671.410
0.46000,60665.090
0.46333,60669.617
0.46667,60672.633
0.47000,60671.609
0.47333,60657.391
0.47667,60668.285
0.48000,60672.176
0.48333,60670.852
0.48667,60668.738
0.49000,60662.043
0.49333,60668.617
0.49667,60672.160
0.50000,60668.137
0.50333,60669.770
0.50667,60669.598
0.51000,60665.621
0.51333,60666.926
0.51667,60671.465
0.52000,60676.367
0.52333,60670.047
0.52667,60670.312
0.53000,60673.336
0.53333,60670.062
0.53667,60658.312
0.54000,60664.492
0.54333,60670.004
0.54667,60669.414
0.55000,60668.051
0.55333,60665.969
0.55667,60662.977
0.56000,60671.809
0.56333,60663.980
0.56667,60666.496
0.57000,60536.934
0.57333,60669.551
0.57667,60661.414
0.58000,60673.266
0.58333,60665.363
0.58667,60661.590
0.59000,60633.676
0.59333,60669.059
0.59667,60673.074
0.60000,60663.004
0.60333,60670.625
0.60667,60649.539
0.61000,60662.879
0.61333,60662.023
0.61667,60669.398
0.62000,60666.527
0.62333,60598.270
0.62667,60494.023
0.63000,58776.238
0.63333,44608.855
0.63667,31661.035
0.64000,34571.996
0.64333,42175.441
0.64667,39702.207
0.65000,36783.242
0.65333,38219.355
0.65667,40785.539
0.66000,43582.699
0.66333,46269.508
0.66667,47584.359
0.67000,47730.777
0.67333,47710.031
0.67667,47825.188
0.68000,47819.699
0.68333,47958.000
0.68667,47875.426
0.69000,47972.488
0.69333,47886.098
0.69667,47920.309
0.70000,47785.156
0.70333,47870.582
0.70667,47887.199
0.71000,47887.449
0.71333,47960.594
0.71667,47909.969
0.72000,47894.176
0.72333,47983.152
0.72667,48020.773
0.73000,47943.086
0.73333,47984.953
0.73667,47865.324
0.74000,48009.871
0.74333,47750.238
0.74667,47562.066
0.75000,47109.723
0.75333,46824.016
0.75667,46442.758
0.76000,46170.781
0.76333,46179.465
0.76667,45949.965
0.77000,45913.262
0.77333,45664.039
0.77667,45538.363
0.78000,45476.449
0.78333,45528.926
0.78667,45723.535
0.79000,45820.242
0.79333,46002.562
0.79667,45974.180
0.80000,46152.285
0.80333,45997.582
0.80667,45888.617
0.81000,45694.129
0.81333,45705.941
0.81667,45919.348
0.82000,46293.234
0.82333,46361.832
0.82667,46433.652
0.83000,46786.305
0.83333,46868.340
0.83667,46964.723
0.84000,47151.098
0.84333,47030.781
0.84667,47054.332
0.85000,46974.297
0.85333,46898.648
0.85667,47029.074
0.86000,46802.875
0.86333,47080.750
0.86667,47209.359
0.87000,46964.113
0.87333,46681.191
0.87667,46341.285
0.88000,46327.523
0.88333,45990.352
0.88667,45650.723
0.89000,45551.789
0.89333,45302.648
0.89667,44728.723
0.90000,45019.625
0.90333,45563.527
0.90667,46255.629
0.91000,46672.086
0.91333,47152.074
0.91667,47491.578
0.92000,47876.395
0.92333,47834.074
0.92667,47816.367
0.93000,47940.691
0.93333,47854.789
0.93667,47877.547
0.94000,47784.020
0.94333,47812.410
0.94667,47749.586
0.95000,47798.645
0.95333,47929.273
0.95667,47806.508
0.96000,47870.465
0.96333,47753.531
0.96667,47850.430
0.97000,47888.664
0.97333,47818.250
0.97667,47885.375
0.98000,47621.352
0.98333,47788.477
0.98667,47646.066
0.99000,47709.430
0.99333,47706.152
0.99667,47751.977
1.00000,47770.039
1.00333,47772.098
1.00667,47704.598
1.01000,47862.613
1.01333,47798.395
1.01667,47781.633
1.02000,47922.555
1.02333,47862.309
1.02667,47860.020
1.03000,47501.875
1.03333,47748.355
1.03667,47855.711
1.04000,47699.418
1.04333,47856.863
1.04667,47751.168
1.05000,47857.523
1.05333,47899.461
1.05667,47852.496
1.06000,47744.805
1.06333,47782.129
1.06667,47794.820
1.07000,47903.109
1.07333,47837.195
1.07667,47798.336
1.08000,47710.961
1.08333,47858.984
1.08667,47823.727
1.09000,47708.988
1.09333,47794.953
1.09667,47763.516
1.10000,47740.793
1.10333,47801.320
1.10667,47792.605
1.11000,47788.793
1.11333,47821.566
1.11667,47767.680
1.12000,47706.773
1.12333,47792.676
1.12667,47863.891
1.13000,47779.836
1.13333,47838.391
1.13667,47872.598
1.14000,47918.605
1.14333,47796.023
1.14667,47862.773
1.15000,47549.391
1.15333,47785.891
1.15667,47781.324
1.16000,47875.234
1.16333,47829.598
1.16667,47813.242
1.17000,47669.320
1.17333,47850.012
1.17667,47784.328
1.18000,47734.859
1.18333,47741.426
1.18667,47702.410
1.19000,47655.504
1.19333,47808.434
1.19667,47737.496
1.20000,47759.203
1.20333,47694.043
1.20667,47626.867
1.21000,47805.148
1.21333,47718.078
1.21667,47736.156
1.22000,47664.711
1.22333,47877.723
1.22667,47768.027
1.23000,47737.777
1.23333,47659.355
1.23667,47743.918
1.24000,47726.242
1.24333,47638.863
1.24667,47803.484
1.25000,47661.461
1.25333,47744.621
1.25667,47651.773
1.26000,47647.672
1.26333,47766.406
1.26667,47734.141
1.27000,47800.738
1.27333,47739.691
1.27667,47674.910
1.28000,47805.816
1.28333,47799.023
1.28667,47768.262
1.29000,47733.223
1.29333,47683.516
1.29667,47623.043
1.30000,47727.852
1.30333,47696.016
1.30667,47740.055
1.31000,47886.176
1.31333,47762.750
1.31667,47721.961
1.32000,47752.113
1.32333,47718.543
1.32667,47755.238
1.33000,47676.457
1.33333,47644.316
1.33667,47734.141
1.34000,47919.480
1.34333,47750.242
1.34667,47848.918
1.35000,47778.371
1.35333,47826.547
1.35667,47769.684
1.36000,47844.277
