Distance_(inches),Gray_Value
0.00000,60671.871
0.00333,60671.906
0.00667,60670.016
0.01000,60671.594
0.01333,60671.984
0.01667,60671.969
0.02000,60670.293
0.02333,60671.008
0.02667,60671.625
0.03000,60668.191
0.03333,60669.848
0.03667,60668.652
0.04000,60672.617
0.04333,60671.215
0.04667,60670.199
0.05000,60671.855
0.05333,60671.562
0.05667,60670.055
0.06000,60672.086
0.06333,60671.176
0.06667,60671.184
0.07000,60672.309
0.07333,60671.953
0.07667,60671.801
0.08000,60671.770
0.08333,60657.371
0.08667,60654.301
0.09000,60672.961
0.09333,60664.086
0.09667,60645.207
0.10000,60656.125
0.10333,60664.855
0.10667,60662.785
0.11000,60670.629
0.11333,60666.984
0.11667,60671.625
0.12000,60670.438
0.12333,60669.969
0.12667,60670.562
0.13000,60672.371
0.13333,60669.355
0.13667,60671.586
0.14000,60670.363
0.14333,60671.047
0.14667,60671.262
0.15000,60669.430
0.15333,60665.285
0.15667,60670.770
0.16000,60669.629
0.16333,60666.863
0.16667,60670.070
0.17000,60671.992
0.17333,60671.016
0.17667,60665.922
0.18000,60669.691
0.18333,60662.961
0.18667,60665.738
0.19000,60669.617
0.19333,60678.215
0.19667,60670.602
0.20000,60671.953
0.20333,60667.348
0.20667,60670.898
0.21000,60676.875
0.21333,60648.539
0.21667,60652.102
0.22000,60650.238
0.22333,60652.070
0.22667,60648.945
0.23000,60648.562
0.23333,60643.746
0.23667,60630.816
0.24000,60604.961
0.24333,60577.531
0.24667,60580.961
0.25000,60628.930
0.25333,60669.008
0.25667,60662.875
0.26000,60671.793
0.26333,60653.770
0.26667,60669.477
0.27000,60669.070
0.27333,60672.277
0.27667,60672.723
0.28000,60671.660
0.28333,60657.422
0.28667,60667.461
0.29000,60671.723
0.29333,60672.215
0.29667,60673.055
0.30000,60669.176
0.30333,60663.477
0.30667,60669.137
0.31000,60668.953
0.31333,60656.953
0.31667,60672.977
0.32000,60671.699
0.32333,60667.801
0.32667,60670.008
0.33000,60635.547
0.33333,60670.785
0.33667,60661.340
0.34000,60667.062
0.34333,60657.438
0.34667,60667.891
0.35000,60666.332
0.35333,60665.230
0.35667,60653.137
0.36000,60650.875
0.36333,60677.293
0.36667,60668.762
0.37000,60673.883
0.37333,60662.137
0.37667,60664.047
0.38000,60671.914
0.38333,60635.238
0.38667,60623.938
0.39000,60658.246
0.39333,60671.363
0.39667,60670.039
0.40000,60671.262
0.40333,60669.477
0.40667,60670.715
0.41000,60669.461
0.41333,60642.785
0.41667,60679.176
0.42000,60673.016
0.42333,60659.883
0.42667,60660.039
0.43000,60675.176
0.43333,60665.793
0.43667,60666.184
