Distance_(inches),Gray_Value
0.00000,60666.652
0.00333,60670.363
0.00667,60674.117
0.01000,60674.227
0.01333,60664.559
0.01667,60671.852
0.02000,60673.395
0.02333,60671.773
0.02667,60673.738
0.03000,60674.016
0.03333,60674.227
0.03667,60651.254
0.04000,60672.062
0.04333,60669.574
0.04667,60666.078
0.05000,60673.676
0.05333,60674.371
0.05667,60670.605
0.06000,60660.211
0.06333,60671.645
0.06667,60670.355
0.07000,60673.270
0.07333,60673.891
0.07667,60672.820
0.08000,60670.773
0.08333,60673.992
0.08667,60673.961
0.09000,60674.156
0.09333,60674.055
0.09667,60666.598
0.10000,60660.172
0.10333,60674.234
0.10667,60670.566
0.11000,60673.836
0.11333,60672.750
0.11667,60674.277
0.12000,60673.750
0.12333,60667.188
0.12667,60673.473
0.13000,60673.773
0.13333,60668.379
0.13667,60673.637
0.14000,60677.094
0.14333,60672.102
0.14667,60672.723
0.15000,60672.379
0.15333,60673.797
0.15667,60672.812
0.16000,60671.465
0.16333,60667.250
0.16667,60665.738
0.17000,60674.551
0.17333,60659.750
0.17667,60671.441
0.18000,60661.922
0.18333,60668.434
0.18667,60674.000
0.19000,60674.324
0.19333,60672.180
0.19667,60673.738
0.20000,60672.582
0.20333,60672.355
0.20667,60667.836
0.21000,60671.262
0.21333,60668.219
0.21667,60666.395
0.22000,60673.715
0.22333,60665.789
0.22667,60667.637
0.23000,60672.535
0.23333,60674.148
0.23667,60669.449
0.24000,60628.285
0.24333,60682.504
0.24667,60665.355
0.25000,60671.203
0.25333,60670.117
0.25667,60633.449
0.26000,60669.668
0.26333,60677.828
0.26667,60676.984
0.27000,60672.828
0.27333,60671.332
0.27667,60657.188
0.28000,60672.684
0.28333,60664.039
0.28667,60667.852
0.29000,60665.676
0.29333,60672.254
0.29667,60673.480
0.30000,60670.859
0.30333,60672.086
0.30667,60671.504
0.31000,60670.031
0.31333,60648.031
0.31667,60644.195
0.32000,60622.797
0.32333,60653.465
0.32667,60674.094
0.33000,60673.684
0.33333,60672.219
0.33667,60671.441
0.34000,60650.566
0.34333,60674.363
0.34667,60672.598
0.35000,60674.195
0.35333,60670.301
0.35667,60670.730
0.36000,60671.730
0.36333,60673.652
0.36667,60673.340
0.37000,60661.094
0.37333,60667.340
0.37667,60664.227
0.38000,60668.738
0.38333,60673.285
0.38667,60673.766
0.39000,60665.844
0.39333,60671.844
0.39667,60671.613
0.40000,60672.488
0.40333,60676.883
0.40667,60674.676
0.41000,60665.574
0.41333,60645.699
0.41667,60668.219
0.42000,60674.676
0.42333,60656.164
0.42667,60674.070
0.43000,60675.891
0.43333,60674.629
0.43667,60630.410
0.44000,60615.133
0.44333,60666.410
0.44667,60668.156
0.45000,60676.039
0.45333,60664.008
0.45667,60663.613
0.46000,60676.805
0.46333,60650.559
0.46667,60661.410
0.47000,60673.211
0.47333,60114.062
0.47667,56646.457
0.48000,48662.434
0.48333,39517.574
0.48667,35236.781
0.49000,36974.637
0.49333,39182.543
0.49667,39859.691
0.50000,39290.301
0.50333,40531.488
0.50667,43065.953
0.51000,45614.117
0.51333,47035.938
0.51667,47761.859
0.52000,47917.000
0.52333,47778.781
0.52667,47752.805
0.53000,47673.387
0.53333,47651.992
0.53667,47682.945
0.54000,47706.254
0.54333,47826.496
0.54667,47896.094
0.55000,47671.738
0.55333,47702.473
0.55667,47647.613
0.56000,47552.387
0.56333,47354.605
0.56667,47151.875
0.57000,46918.031
0.57333,46128.023
0.57667,45205.141
0.58000,44752.039
0.58333,44295.977
0.58667,43034.457
0.59000,40402.691
0.59333,39871.566
0.59667,39208.660
0.60000,38382.340
0.60333,38469.750
0.60667,39586.340
0.61000,40393.270
0.61333,41402.172
0.61667,42301.605
0.62000,43214.355
0.62333,44739.395
0.62667,45326.676
0.63000,45143.078
0.63333,45137.566
0.63667,45010.195
0.64000,44916.828
0.64333,44605.156
0.64667,44402.668
0.65000,44359.203
0.65333,43936.938
0.65667,43865.480
0.66000,43585.172
0.66333,43568.629
0.66667,43307.094
0.67000,43061.348
0.67333,43091.652
0.67667,42883.715
0.68000,42447.676
0.68333,42429.250
0.68667,42384.195
0.69000,41908.637
0.69333,41885.984
0.69667,41746.961
0.70000,41611.605
0.70333,41339.852
0.70667,41252.410
0.71000,41150.820
0.71333,41467.465
0.71667,41840.426
0.72000,42149.172
0.72333,42626.188
0.72667,43709.008
0.73000,45246.016
0.73333,46977.465
0.73667,47729.621
0.74000,47838.309
0.74333,47949.668
0.74667,47828.332
0.75000,47927.340
0.75333,47928.773
0.75667,47939.938
0.76000,47961.133
0.76333,47946.301
0.76667,47844.332
0.77000,47954.668
0.77333,47859.055
0.77667,47958.242
0.78000,47980.078
0.78333,47979.543
0.78667,47932.559
0.79000,47974.070
