Distance_(inches),Gray_Value
0.00000,60671.965
0.00333,60672.473
0.00667,60674.156
0.01000,60673.934
0.01333,60666.156
0.01667,60671.375
0.02000,60671.551
0.02333,60673.891
0.02667,60673.949
0.03000,60673.820
0.03333,60674.047
0.03667,60656.391
0.04000,60673.547
0.04333,60669.488
0.04667,60669.133
0.05000,60671.816
0.05333,60674.574
0.05667,60673.129
0.06000,60662.578
0.06333,60649.855
0.06667,60639.168
0.07000,60657.320
0.07333,60672.480
0.07667,60673.020
0.08000,60670.852
0.08333,60673.746
0.08667,60673.785
0.09000,60673.492
0.09333,60673.324
0.09667,60669.871
0.10000,60664.168
0.10333,60674.285
0.10667,60673.559
0.11000,60673.898
0.11333,60669.074
0.11667,60672.578
0.12000,60673.824
0.12333,60671.625
0.12667,60672.250
0.13000,60672.914
0.13333,60673.281
0.13667,60673.484
0.14000,60673.961
0.14333,60674.078
0.14667,60672.320
0.15000,60673.844
0.15333,60674.207
0.15667,60674.879
0.16000,60672.281
0.16333,60672.484
0.16667,60674.812
0.17000,60673.988
0.17333,60666.645
0.17667,60672.289
0.18000,60663.508
0.18333,60672.230
0.18667,60672.918
0.19000,60673.914
0.19333,60673.754
0.19667,60673.012
0.20000,60669.277
0.20333,60673.133
0.20667,60671.609
0.21000,60671.070
0.21333,60672.281
0.21667,60669.508
0.22000,60673.438
0.22333,60672.969
0.22667,60673.543
0.23000,60673.645
0.23333,60674.031
0.23667,60671.559
0.24000,60640.461
0.24333,60680.852
0.24667,60672.156
0.25000,60673.031
0.25333,60671.406
0.25667,60658.773
0.26000,60667.340
0.26333,60676.816
0.26667,60676.023
0.27000,60673.926
0.27333,60670.895
0.27667,60653.441
0.28000,60673.504
0.28333,60670.215
0.28667,60671.258
0.29000,60672.512
0.29333,60671.785
0.29667,60673.758
0.30000,60669.238
0.30333,60672.031
0.30667,60673.387
0.31000,60675.180
0.31333,60672.918
0.31667,60672.895
0.32000,60674.562
0.32333,60665.367
0.32667,60673.992
0.33000,60674.074
0.33333,60672.832
0.33667,60672.605
0.34000,60662.203
0.34333,60674.676
0.34667,60670.730
0.35000,60673.977
0.35333,60671.695
0.35667,60673.102
0.36000,60668.531
0.36333,60672.676
0.36667,60672.188
0.37000,60668.137
0.37333,60671.535
0.37667,60668.254
0.38000,60669.164
0.38333,60673.871
0.38667,60673.891
0.39000,60668.438
0.39333,60673.883
0.39667,60673.258
0.40000,60670.297
0.40333,60674.441
0.40667,60674.109
0.41000,60669.895
0.41333,60658.488
0.41667,60672.910
0.42000,60674.270
0.42333,60665.008
0.42667,60674.633
0.43000,60675.531
0.43333,60673.617
0.43667,60663.000
0.44000,60638.867
0.44333,60669.559
0.44667,60673.242
0.45000,60675.066
0.45333,60672.641
0.45667,60671.035
0.46000,60675.352
0.46333,60666.543
0.46667,60673.230
0.47000,60674.922
0.47333,60665.770
0.47667,60662.953
0.48000,60674.531
0.48333,60670.961
0.48667,60672.445
0.49000,60673.898
0.49333,60673.863
0.49667,60673.867
0.50000,60675.383
0.50333,60673.805
0.50667,60670.953
0.51000,60673.523
0.51333,60669.926
0.51667,60670.754
0.52000,60674.008
0.52333,60670.594
0.52667,60671.375
0.53000,60669.715
0.53333,60659.500
0.53667,60669.820
0.54000,60673.020
0.54333,60673.215
0.54667,60674.391
0.55000,60671.797
0.55333,60674.910
0.55667,60675.094
0.56000,60676.887
0.56333,60673.094
0.56667,60671.113
0.57000,60671.984
0.57333,60668.707
0.57667,60669.777
0.58000,60660.660
0.58333,60654.797
0.58667,60669.332
0.59000,60654.340
0.59333,60669.398
0.59667,60670.031
0.60000,60667.562
0.60333,60620.223
0.60667,60654.137
0.61000,60626.402
0.61333,60664.824
0.61667,60673.031
0.62000,60655.332
0.62333,60671.000
0.62667,60671.309
0.63000,60656.324
0.63333,60662.156
0.63667,60666.992
0.64000,60673.227
0.64333,60670.598
0.64667,60671.523
0.65000,60674.805
0.65333,60644.734
0.65667,60674.016
0.66000,60669.500
0.66333,60673.840
0.66667,60672.594
0.67000,60672.480
0.67333,60674.070
0.67667,60670.719
0.68000,60642.633
0.68333,60662.305
0.68667,60675.957
0.69000,60653.469
0.69333,60666.754
0.69667,60666.805
0.70000,60673.227
0.70333,60669.734
0.70667,60672.250
0.71000,60673.496
0.71333,60672.223
