Measurement time:; 2020-12-10 10:08:40 AM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
178.5; 0.0; 20.0; 0.23; 9378.2; 0.20
178.0; 0.0; 20.0; 0.20; 8337.1; 0.20
177.2; 0.0; 20.0; 0.22; 9262.3; 0.22
176.6; 0.0; 20.0; 0.20; 8450.5; 0.20
176.1; 0.0; 20.0; 0.20; 8418.9; 0.20
175.6; 0.0; 20.0; 0.22; 9023.2; 0.21
175.2; 0.0; 20.0; 0.20; 8351.3; 0.20
174.7; 0.0; 20.0; 0.21; 8877.3; 0.21
174.2; 0.0; 20.0; 0.21; 8586.3; 0.20
173.7; 0.0; 20.0; 0.19; 7967.1; 0.19
173.1; 0.0; 20.0; 0.20; 8389.4; 0.20
172.6; 0.0; 20.0; 0.21; 8565.6; 0.20
172.1; 0.0; 20.0; 0.19; 7820.7; 0.19
171.6; 0.0; 20.0; 0.20; 8337.8; 0.20
171.2; 0.0; 20.0; 0.20; 8324.0; 0.20
170.7; 0.0; 20.0; 0.20; 8093.5; 0.19
170.1; 0.0; 20.0; 0.20; 8243.0; 0.19
169.6; 0.0; 20.0; 0.21; 8617.5; 0.20
169.1; 0.0; 20.0; 0.20; 8383.3; 0.20
168.6; 0.0; 20.0; 0.20; 8224.0; 0.20
168.1; 0.0; 20.0; 0.19; 8086.3; 0.19
167.6; 0.0; 20.0; 0.21; 8536.0; 0.20
167.1; 0.0; 20.0; 0.21; 8601.7; 0.20
166.6; 0.0; 20.0; 0.21; 8815.1; 0.21
166.1; 0.0; 20.0; 0.19; 7883.4; 0.19
165.6; 0.0; 20.0; 0.21; 8650.5; 0.20
165.1; 0.0; 20.0; 0.21; 8839.5; 0.21
164.6; 0.0; 20.0; 0.21; 8801.1; 0.21
164.1; 0.0; 20.0; 0.19; 7887.4; 0.19
163.6; 0.0; 20.0; 0.20; 8420.0; 0.20
163.1; 0.0; 20.0; 0.21; 8584.3; 0.20
162.6; 0.0; 20.0; 0.19; 8026.4; 0.19
162.1; 0.0; 20.0; 0.21; 8517.2; 0.20
161.6; 0.0; 20.0; 0.21; 8859.9; 0.21
161.1; 0.0; 20.0; 0.21; 8613.1; 0.21
160.5; 0.0; 20.0; 0.20; 8127.2; 0.19
160.1; 0.0; 20.0; 0.21; 8703.1; 0.21
159.6; 0.0; 20.0; 0.20; 8490.9; 0.20
159.1; 0.0; 20.0; 0.21; 8893.3; 0.21
158.5; 0.0; 20.0; 0.23; 9387.1; 0.22
158.0; 0.0; 20.0; 0.22; 8918.7; 0.21
