Measurement time:; 2020-12-10 10:36:03 AM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 15 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
178.5; 0.0; 20.0; 0.46; 19084.7; 0.54
178.0; 0.0; 20.0; 0.58; 23888.6; 0.55
177.2; 0.0; 20.0; 0.60; 24610.5; 0.57
176.6; 0.0; 20.0; 0.60; 24803.2; 0.57
176.0; 0.0; 20.0; 0.61; 25152.6; 0.58
175.6; 0.0; 20.0; 0.59; 24334.8; 0.55
175.2; 0.0; 20.0; 0.59; 24306.4; 0.56
174.7; 0.0; 20.0; 0.61; 25136.1; 0.57
174.2; 0.0; 20.0; 0.59; 24467.7; 0.57
173.7; 0.0; 20.0; 0.60; 24906.2; 0.57
173.1; 0.0; 20.0; 0.61; 25133.7; 0.57
172.6; 0.0; 20.0; 0.59; 24464.8; 0.56
172.1; 0.0; 20.0; 0.60; 24815.0; 0.57
171.6; 0.0; 20.0; 0.57; 23716.2; 0.54
171.1; 0.0; 20.0; 0.59; 24286.6; 0.56
170.6; 0.0; 20.0; 0.59; 24486.9; 0.56
170.1; 0.0; 20.0; 0.60; 24594.6; 0.56
169.6; 0.0; 20.0; 0.61; 25126.1; 0.58
169.1; 0.0; 20.0; 0.59; 24312.5; 0.56
168.6; 0.0; 20.0; 0.60; 24939.2; 0.57
168.1; 0.0; 20.0; 0.61; 25320.4; 0.58
167.6; 0.0; 20.0; 0.60; 24702.7; 0.56
167.1; 0.0; 20.0; 0.61; 25296.4; 0.58
166.6; 0.0; 20.0; 0.60; 24791.0; 0.57
166.1; 0.0; 20.0; 0.62; 25634.4; 0.58
165.6; 0.0; 20.0; 0.64; 26261.3; 0.60
165.1; 0.0; 20.0; 0.62; 25552.6; 0.58
164.6; 0.0; 20.0; 0.60; 24643.8; 0.57
164.1; 0.0; 20.0; 0.63; 25849.9; 0.59
163.6; 0.0; 20.0; 0.63; 25875.9; 0.59
163.1; 0.0; 20.0; 0.63; 26031.9; 0.59
162.6; 0.0; 20.0; 0.63; 25944.6; 0.59
162.1; 0.0; 20.0; 0.61; 25177.4; 0.58
161.6; 0.0; 20.0; 0.63; 26024.6; 0.60
161.1; 0.0; 20.0; 0.65; 26693.1; 0.61
160.6; 0.0; 20.0; 0.62; 25769.7; 0.59
160.1; 0.0; 20.0; 0.63; 25879.7; 0.59
159.6; 0.0; 20.0; 0.63; 25861.0; 0.60
159.1; 0.0; 20.0; 0.64; 26427.0; 0.61
158.6; 0.0; 20.0; 0.64; 26441.6; 0.60
158.1; 0.0; 20.0; 0.66; 27070.2; 0.62
157.5; 0.0; 20.0; 0.63; 25956.7; 0.60
157.0; 0.0; 20.0; 0.67; 27804.6; 0.64
156.5; 0.0; 20.0; 0.67; 27497.6; 0.63
156.0; 0.0; 20.0; 0.67; 27476.7; 0.63
155.5; 0.0; 20.0; 0.66; 27148.5; 0.62
155.0; 0.0; 20.0; 0.68; 27859.7; 0.65
154.5; 0.0; 20.0; 0.64; 26511.6; 0.61
154.0; 0.0; 20.0; 0.65; 26946.8; 0.62
153.5; 0.0; 20.0; 0.69; 28384.1; 0.65
153.0; 0.0; 20.0; 0.67; 27535.3; 0.63
152.5; 0.0; 20.0; 0.68; 28173.9; 0.65
152.0; 0.0; 20.0; 0.69; 28429.8; 0.65
151.5; 0.0; 20.0; 0.71; 29086.7; 0.66
151.0; 0.0; 20.0; 0.71; 29380.5; 0.67
150.5; 0.0; 20.0; 0.67; 27490.7; 0.63
150.0; 0.0; 20.0; 0.68; 28175.5; 0.64
149.5; 0.0; 20.0; 0.69; 28600.0; 0.65
149.0; 0.0; 20.0; 0.68; 27873.5; 0.64
148.5; 0.0; 20.0; 0.67; 27725.4; 0.63
148.0; 0.0; 20.0; 0.70; 28999.3; 0.66
147.5; 0.0; 20.0; 0.68; 28179.3; 0.65
147.0; 0.0; 20.0; 0.72; 29513.8; 0.67
146.5; 0.0; 20.0; 0.72; 29567.4; 0.67
146.0; 0.0; 20.0; 0.73; 30310.0; 0.70
145.5; 0.0; 20.0; 0.70; 28849.7; 0.66
144.9; 0.0; 20.0; 0.71; 29299.7; 0.67
144.4; 0.0; 20.0; 0.71; 29179.3; 0.66
143.9; 0.0; 20.0; 0.71; 29357.2; 0.67
143.5; 0.0; 20.0; 0.70; 28795.2; 0.67
142.9; 0.0; 20.0; 0.72; 29875.7; 0.68
