Measurement time:; 2020-12-09 2:57:59 PM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 15 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 40 x 40 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
153.0; 0.0; 20.0; 0.59; 24136.3; 0.60
152.5; 0.0; 20.0; 0.61; 24789.6; 0.60
151.6; 0.0; 20.0; 0.59; 24110.0; 0.58
151.1; 0.0; 20.0; 0.58; 23714.7; 0.58
150.6; 0.0; 20.0; 0.60; 24392.2; 0.59
150.1; 0.0; 20.0; 0.62; 25463.4; 0.62
149.7; 0.0; 20.0; 0.60; 24663.5; 0.59
149.2; 0.0; 20.0; 0.58; 23629.3; 0.58
148.7; 0.0; 20.0; 0.61; 24824.2; 0.60
148.2; 0.0; 20.0; 0.59; 24245.5; 0.59
147.7; 0.0; 20.0; 0.59; 24009.2; 0.58
147.2; 0.0; 20.0; 0.61; 24992.1; 0.60
146.6; 0.0; 20.0; 0.60; 24428.7; 0.60
146.1; 0.0; 20.0; 0.59; 24304.9; 0.59
145.6; 0.0; 20.0; 0.62; 25233.4; 0.61
145.1; 0.0; 20.0; 0.61; 24887.1; 0.61
144.7; 0.0; 20.0; 0.61; 25035.4; 0.61
144.1; 0.0; 20.0; 0.59; 24271.1; 0.59
143.6; 0.0; 20.0; 0.60; 24691.3; 0.60
143.1; 0.0; 20.0; 0.62; 25467.8; 0.61
142.6; 0.0; 20.0; 0.63; 25783.9; 0.62
142.1; 0.0; 20.0; 0.60; 24687.6; 0.61
141.6; 0.0; 20.0; 0.61; 24966.4; 0.60
141.1; 0.0; 20.0; 0.63; 25722.4; 0.62
140.6; 0.0; 20.0; 0.61; 24776.7; 0.61
140.1; 0.0; 20.0; 0.62; 25145.1; 0.60
139.6; 0.0; 20.0; 0.63; 25745.1; 0.62
