Measurement time:; 2020-12-10 10:32:52 AM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 15 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0.0; 0.0; 150.0; 2.85; 117651.7; 2.45
0.0; 0.0; 149.5; 2.55; 105259.3; 2.50
0.0; 0.0; 148.7; 2.60; 107460.5; 2.50
0.0; 0.0; 148.0; 2.56; 105414.0; 2.55
0.0; 0.0; 147.4; 2.60; 107417.1; 2.55
0.0; 0.0; 146.9; 2.61; 107615.6; 2.53
0.0; 0.0; 146.5; 2.67; 110030.2; 2.54
0.0; 0.0; 146.0; 2.55; 105024.1; 2.53
0.0; 0.0; 145.6; 2.63; 108472.5; 2.56
0.0; 0.0; 145.2; 2.63; 108681.2; 2.56
0.0; 0.0; 144.7; 2.64; 108891.0; 2.60
0.0; 0.0; 144.1; 2.66; 109621.6; 2.60
0.0; 0.0; 143.6; 2.74; 112841.2; 2.63
0.0; 0.0; 143.1; 2.63; 108707.2; 2.60
0.0; 0.0; 142.5; 2.73; 112530.7; 2.61
0.0; 0.0; 142.0; 2.61; 107501.7; 2.60
0.0; 0.0; 141.6; 2.71; 111965.9; 2.61
0.0; 0.0; 141.1; 2.72; 112173.8; 2.68
0.0; 0.0; 140.6; 2.71; 111876.4; 2.64
0.0; 0.0; 140.1; 2.75; 113560.5; 2.66
0.0; 0.0; 139.5; 2.68; 110464.0; 2.65
0.0; 0.0; 139.1; 2.75; 113293.7; 2.63
0.0; 0.0; 138.6; 2.67; 110091.7; 2.66
0.0; 0.0; 138.1; 2.76; 113779.8; 2.67
0.0; 0.0; 137.6; 2.78; 114817.8; 2.71
0.0; 0.0; 137.1; 2.80; 115392.7; 2.73
0.0; 0.0; 136.5; 2.82; 116235.8; 2.74
0.0; 0.0; 136.0; 2.73; 112645.1; 2.67
0.0; 0.0; 135.5; 2.79; 115050.8; 2.69
0.0; 0.0; 135.0; 2.75; 113611.3; 2.71
0.0; 0.0; 134.5; 2.83; 116799.6; 2.74
0.0; 0.0; 134.0; 2.80; 115571.3; 2.75
0.0; 0.0; 133.5; 2.81; 115809.9; 2.76
0.0; 0.0; 133.0; 2.84; 117172.3; 2.75
0.0; 0.0; 132.5; 2.84; 116999.7; 2.79
0.0; 0.0; 132.0; 2.83; 116867.3; 2.73
0.0; 0.0; 131.5; 2.83; 116574.2; 2.79
0.0; 0.0; 131.0; 2.92; 120511.9; 2.86
0.0; 0.0; 130.5; 2.91; 120022.9; 2.81
0.0; 0.0; 130.0; 2.87; 118198.9; 2.82
0.0; 0.0; 129.5; 2.96; 122256.8; 2.87
0.0; 0.0; 129.0; 2.92; 120410.1; 2.87
0.0; 0.0; 128.5; 2.97; 122715.9; 2.86
0.0; 0.0; 127.9; 2.85; 117600.9; 2.82
0.0; 0.0; 127.4; 2.95; 121778.6; 2.82
0.0; 0.0; 126.9; 2.89; 119320.4; 2.87
0.0; 0.0; 126.5; 2.97; 122632.0; 2.89
0.0; 0.0; 125.9; 2.96; 122148.1; 2.88
0.0; 0.0; 125.4; 2.98; 123022.8; 2.91
0.0; 0.0; 124.9; 2.99; 123165.3; 2.90
0.0; 0.0; 124.4; 2.95; 121691.3; 2.90
0.0; 0.0; 123.9; 3.02; 124699.2; 2.93
0.0; 0.0; 123.4; 3.03; 125104.3; 2.98
0.0; 0.0; 122.9; 3.10; 127810.6; 2.99
0.0; 0.0; 122.4; 2.97; 122486.4; 2.93
0.0; 0.0; 121.9; 3.08; 127103.7; 2.96
0.0; 0.0; 121.4; 2.93; 120981.1; 2.92
0.0; 0.0; 120.9; 3.03; 124808.6; 2.91
0.0; 0.0; 120.4; 3.02; 124563.1; 2.97
0.0; 0.0; 119.9; 3.02; 124705.7; 2.96
0.0; 0.0; 119.4; 3.18; 131296.3; 3.05
0.0; 0.0; 118.9; 3.06; 126301.5; 3.03
0.0; 0.0; 118.4; 3.20; 131940.9; 3.05
0.0; 0.0; 117.9; 3.08; 126883.4; 3.06
