Measurement time:; 2020-12-09 2:55:11 PM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 15 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 40 x 40 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0.0; 0.0; 150.0; 2.24; 91381.3; 2.19
0.0; 0.0; 149.5; 2.22; 90931.4; 2.21
0.0; 0.0; 148.7; 2.25; 92045.3; 2.24
0.0; 0.0; 148.0; 2.23; 91227.0; 2.21
0.0; 0.0; 147.4; 2.30; 93957.3; 2.25
0.0; 0.0; 146.9; 2.31; 94622.3; 2.28
0.0; 0.0; 146.5; 2.27; 92784.2; 2.28
0.0; 0.0; 146.1; 2.34; 95655.7; 2.29
0.0; 0.0; 145.6; 2.30; 94054.7; 2.29
0.0; 0.0; 145.2; 2.30; 93954.3; 2.29
0.0; 0.0; 144.7; 2.32; 95003.2; 2.30
0.0; 0.0; 144.2; 2.28; 93263.6; 2.26
0.0; 0.0; 143.6; 2.30; 94019.8; 2.25
0.0; 0.0; 143.1; 2.30; 93850.9; 2.32
0.0; 0.0; 142.6; 2.36; 96524.2; 2.31
0.0; 0.0; 142.1; 2.29; 93488.6; 2.30
0.0; 0.0; 141.6; 2.34; 95776.1; 2.30
0.0; 0.0; 141.1; 2.38; 97409.2; 2.35
0.0; 0.0; 140.6; 2.35; 96137.1; 2.35
0.0; 0.0; 140.1; 2.41; 98370.5; 2.36
0.0; 0.0; 139.6; 2.39; 97551.4; 2.38
0.0; 0.0; 139.1; 2.38; 97132.2; 2.35
0.0; 0.0; 138.6; 2.45; 100178.3; 2.41
0.0; 0.0; 138.1; 2.37; 96852.0; 2.37
0.0; 0.0; 137.6; 2.41; 98446.0; 2.39
0.0; 0.0; 137.1; 2.45; 100349.2; 2.41
0.0; 0.0; 136.6; 2.40; 98032.5; 2.39
0.0; 0.0; 136.1; 2.40; 98152.7; 2.39
0.0; 0.0; 135.6; 2.50; 102380.8; 2.43
0.0; 0.0; 135.1; 2.43; 99528.9; 2.44
