Distance_(pixels),Gray_Value
0,138.64569
1,138.65501
2,138.68298
3,138.63170
4,138.70396
5,138.64336
6,138.64336
7,138.65501
8,138.64569
9,138.67133
10,138.71095
11,138.75058
12,138.68298
13,138.73193
14,138.73660
15,138.70630
16,138.68997
17,138.65034
18,138.69231
19,138.70163
20,138.77856
21,138.75990
22,138.78088
23,138.68065
24,138.61772
25,138.61305
26,138.58275
27,138.58508
28,138.56410
29,138.48952
30,138.41258
31,138.38928
32,138.44989
33,138.41725
34,138.46620
35,138.46620
36,138.45221
37,138.45921
38,138.50116
39,138.52214
40,138.56644
41,138.53613
42,138.41492
43,138.40326
44,138.34033
45,138.31235
46,138.45221
47,138.49417
48,138.51749
49,138.60606
50,138.57343
51,138.61772
52,138.67133
53,138.68997
54,138.77390
55,138.86946
56,138.85081
57,138.89278
58,138.89743
59,138.85780
60,138.79488
61,138.83916
62,138.91142
63,138.90675
64,138.75291
65,138.77390
66,138.82285
67,138.86481
68,138.81119
69,138.81818
70,138.81818
71,138.89743
72,138.81352
73,138.82750
74,138.86014
75,138.88345
76,138.96970
77,138.97437
78,138.75058
79,138.77156
80,138.76457
81,138.73892
82,138.80420
83,138.74825
84,138.74126
85,138.72028
86,138.66200
87,138.62238
88,138.59908
89,138.54312
90,138.55945
91,138.57809
92,138.74126
93,138.80420
94,138.76224
95,138.70630
96,138.76923
97,138.76923
98,138.76224
99,138.75990
100,138.74593
101,138.76224
102,138.82518
103,138.89511
104,138.83916
105,138.93939
106,139.05362
107,139.02332
108,139.00233
109,139.12820
110,139.25641
111,139.35898
112,139.42192
113,139.47087
114,139.41492
115,139.31702
116,139.32169
117,139.23543
118,139.28671
119,139.31935
120,139.34267
121,139.32401
122,139.31702
123,139.36597
124,139.38229
125,139.36131
126,139.30304
127,139.29837
128,139.44756
129,139.45688
130,139.35664
131,139.32867
132,139.25407
133,139.20746
134,139.23077
135,139.27040
136,139.42657
137,139.42891
138,139.37529
139,139.26807
140,139.11421
141,139.14220
142,139.18881
143,139.27272
144,139.21445
145,139.20047
146,138.96970
147,139.00699
148,138.88345
149,138.85547
150,138.79953
151,138.91608
152,138.89278
153,138.90675
154,138.95338
155,138.86481
156,138.81584
