Distance_(pixels),Gray_Value
0,145.42192
1,145.46620
2,145.52448
3,145.61772
4,145.65036
5,145.62238
6,145.63870
7,145.53847
8,145.47552
9,145.42192
10,145.44989
11,145.51982
12,145.53847
13,145.52914
14,145.58742
15,145.51749
16,145.51749
17,145.50117
18,145.50349
19,145.42192
20,145.33101
21,145.36597
22,145.33101
23,145.24709
24,145.13521
25,145.22610
26,145.26108
27,145.14220
28,145.10023
29,145.05827
30,145.06528
31,145.12122
32,145.11423
33,145.09325
34,145.05827
35,145.09325
36,145.02332
37,145.03731
38,145.02332
39,145.05128
40,145.05827
41,145.10724
42,145.07227
43,145.01633
44,144.97437
45,145.05827
46,145.18416
47,145.26807
48,145.25409
49,145.32867
50,145.30769
51,145.32634
52,145.38461
53,145.39627
54,145.46620
55,145.53148
56,145.58043
57,145.64336
58,145.71329
59,145.67133
60,145.64803
61,145.68999
62,145.75291
63,145.67133
64,145.65501
65,145.77623
66,145.90443
67,145.92542
68,145.81586
69,145.82051
70,145.83450
71,145.85081
72,145.85315
73,145.84850
74,145.77156
75,145.72728
76,145.68298
77,145.69231
78,145.69464
79,145.71796
80,145.65968
81,145.57576
82,145.56410
83,145.38695
84,145.42192
85,145.54080
86,145.69464
87,145.71562
88,145.67366
89,145.56877
90,145.54080
91,145.64104
92,145.63870
93,145.65501
94,145.69464
95,145.81352
96,145.79955
97,145.76457
98,145.75758
99,145.72029
100,145.68066
101,145.67599
102,145.68999
103,145.75992
104,145.80653
105,145.93474
106,146.09325
107,146.12355
108,146.25175
109,146.22844
110,146.17715
111,146.25175
112,146.18416
113,146.17250
114,146.25641
115,146.39627
116,146.48019
117,146.31468
118,146.25175
119,146.28206
120,146.24243
121,146.32634
122,146.50816
123,146.55945
124,146.44289
125,146.26573
126,146.22844
127,146.39394
128,146.56410
129,146.63170
130,146.59441
131,146.57576
132,146.43823
133,146.46854
134,146.52214
135,146.51749
136,146.53146
137,146.49651
138,146.54779
139,146.65034
140,146.67133
141,146.75291
142,146.74126
143,146.67133
144,146.66434
145,146.75525
146,146.91142
147,146.94872
148,146.77623
149,146.72960
150,146.63403
151,146.62704
152,146.61539
153,146.65268
154,146.59207
155,146.47552
156,146.36597
