Distance_(pixels),Gray_Value
0,35672.344
1,35760.887
2,35787.059
3,35768.879
4,35700.805
5,35671.969
6,35648.008
7,35635.215
8,35673.879
9,35644.469
10,35584.395
11,35590.297
12,35593.426
13,35558.633
14,35565.164
15,35577.934
16,35546.895
17,35533.344
18,35518.961
19,35469.508
20,35470.477
21,35460.395
22,35482.715
23,35510.344
24,35521.648
25,35537.715
26,35547.859
27,35544.469
28,35459.613
29,35426.613
30,35457.023
31,35485.066
32,35488.918
33,35475.730
34,35450.387
35,35457.508
36,35466.934
37,35464.215
38,35444.074
39,35425.441
40,35411.434
41,35356.277
42,35356.059
43,35367.621
44,35368.523
45,35386.441
46,35406.113
47,35396.172
48,35370.113
49,35312.949
50,35305.074
51,35260.688
52,35288.984
53,35285.254
54,35274.148
55,35234.805
56,35306.105
57,35330.992
58,35311.918
59,35281.195
60,35275.434
61,35258.051
62,35250.812
63,35220.746
64,35209.238
65,35208.098
66,35180.500
67,35160.680
68,35156.203
69,35144.523
70,35132.352
71,35137.641
72,35134.434
73,35125.148
74,35140.188
75,35144.879
76,35160.492
77,35145.023
78,35187.008
79,35251.828
80,35285.344
81,35307.000
82,35317.090
83,35317.656
84,35378.156
85,35397.836
86,35390.172
87,35356.992
88,35332.320
89,35341.328
90,35372.508
91,35404.590
92,35396.180
93,35387.949
94,35366.188
95,35360.031
96,35331.082
97,35301.574
98,35278.461
99,35299.730
100,35300.164
101,35310.641
102,35304.367
103,35302.426
104,35275.539
105,35262.031
106,35238.105
107,35235.098
108,35260.621
109,35223.230
110,35171.188
111,35126.762
112,35149.910
113,35196.770
114,35198.402
115,35163.551
116,35182.500
117,35260.590
118,35285.910
119,35263.090
120,35230.977
121,35236.188
122,35247.387
123,35243.523
124,35243.664
125,35234.695
126,35207.410
127,35169.320
128,35140.262
129,35120.852
130,35100.961
131,35063.969
132,35028.523
133,35008.613
134,35009.926
135,34994.887
136,35012.566
137,35036.621
138,35030.820
139,34998.754
140,34974.539
141,34978.895
142,34986.074
143,34983.297
144,34955.305
145,34942.297
146,34916.121
147,34861.949
148,34859.961
149,34846.777
150,34798.680
151,34781.613
152,34750.441
153,34691.715
154,34664.941
155,34644.895
156,34664.461
157,34632.941
158,34618.598
159,34570.402
160,34548.082
161,34516.051
