Distance_(pixels),Gray_Value
0,34960.129
1,34994.320
2,35020.117
3,35026.230
4,35030.066
5,35035.914
6,35036.781
7,35037.457
8,35033.543
9,35031.695
10,35027.746
11,35007.324
12,34977.016
13,34957.797
14,34961.281
15,34973.312
16,34983.703
17,34980.137
18,34962.848
19,34960.270
20,34985.840
21,35004.863
22,35017.926
23,35046.109
24,35048.984
25,35024.457
26,35001.152
27,34973.719
28,34929.625
29,34919.797
30,34925.125
31,34925.781
32,34918.324
33,34915.297
34,34937.129
35,34944.406
36,34934.645
37,34930.180
38,34941.066
39,34955.391
40,34957.922
41,34950.875
42,34945.391
43,34951.703
44,34955.730
45,34949.914
46,34943.871
47,34940.137
48,34927.824
49,34915.246
50,34922.617
51,34926.492
52,34924.891
53,34922.789
54,34918.840
55,34915.273
56,34910.617
57,34911.484
58,34909.617
59,34907.434
60,34914.391
61,34918.102
62,34912.414
63,34905.637
64,34902.129
65,34883.516
66,34846.574
67,34820.137
68,34840.492
69,34873.094
70,34861.363
71,34806.477
72,34778.270
73,34781.871
74,34790.883
75,34778.711
76,34764.848
77,34765.719
78,34801.129
79,34844.441
80,34869.711
81,34867.586
82,34858.645
83,34840.406
84,34819.312
85,34792.973
86,34786.176
87,34804.035
88,34815.602
89,34830.434
90,34798.625
91,34730.789
92,34676.348
93,34624.074
94,34574.449
95,34510.891
96,34450.863
97,34420.262
98,34404.363
99,34388.660
100,34377.016
101,34376.984
102,34406.676
103,34425.508
104,34409.078
105,34391.965
106,34390.781
107,34362.609
108,34311.883
109,34267.500
110,34237.855
111,34190.508
112,34124.770
113,34079.180
114,34015.094
115,33921.824
116,33817.078
117,33753.371
118,33695.406
119,33623.688
120,33553.312
121,33484.281
122,33412.492
123,33322.449
124,33233.176
125,33122.051
126,32988.703
127,32841.406
128,32731.289
129,32668.738
130,32547.623
131,32348.232
132,32177.297
133,32047.369
134,31922.262
135,31741.812
136,31500.406
137,31262.615
138,31047.369
139,30838.666
140,30639.928
141,30396.949
142,30125.182
143,29890.746
144,29700.014
145,29534.912
146,29342.789
147,29173.182
148,29039.645
149,28917.594
150,28804.500
151,28683.957
152,28562.564
153,28449.145
154,28348.064
155,28249.088
156,28155.334
157,28079.869
158,27982.783
159,27902.059
160,27819.072
161,27740.986
162,27683.898
163,27643.262
164,27572.486
165,27500.783
166,27454.631
167,27414.348
168,27379.500
169,27350.762
170,27323.014
171,27292.637
172,27254.072
173,27227.609
174,27207.043
175,27179.262
176,27148.348
177,27156.211
178,27175.805
179,27205.986
180,27228.666
181,27256.137
182,27301.059
183,27324.564
184,27318.920
185,27309.920
186,27313.508
187,27314.754
188,27303.115
189,27284.789
190,27278.877
191,27275.941
192,27267.312
193,27246.971
194,27230.283
195,27231.094
196,27235.217
197,27216.059
198,27192.645
199,27173.268
200,27150.615
201,27123.688
202,27073.609
203,27046.406
204,27055.174
205,27056.500
206,27041.037
207,27021.594
208,27019.688
209,27024.246
210,27011.529
211,26990.521
212,26970.008
213,26951.572
214,26939.211
215,26909.312
216,26872.564
217,26865.014
218,26885.869
219,26903.682
220,26913.885
221,26929.898
222,26943.021
223,26939.666
224,26927.471
225,26919.660
226,26911.645
227,26891.754
228,26886.992
229,26908.695
230,26926.109
231,26926.188
232,26918.885
233,26916.725
234,26914.855
235,26911.826
236,26908.326
237,26901.826
238,26892.008
239,26876.912
240,26871.238
241,26877.941
242,26887.391
243,26889.971
244,26891.326
245,26899.152
246,26910.283
247,26914.805
248,26926.123
249,26933.500
250,26949.152
251,26958.059
252,26948.406
253,26927.188
254,26912.479
255,26896.102
256,26887.949
257,26873.268
258,26853.666
259,26844.797
260,26841.428
261,26837.637
262,26834.492
263,26833.449
264,26824.738
265,26814.551
266,26805.898
267,26792.898
268,26781.326
269,26768.840
270,26766.334
271,26757.137
272,26737.717
273,26743.385
274,26749.037
275,26749.521
276,26755.738
277,26755.529
278,26756.521
279,26768.957
280,26776.855
281,26774.783
282,26768.834
