Distance_(pixels),Gray_Value
0,34996.180
1,35061.312
2,35079.246
3,35070.270
4,35099.398
5,35092.695
6,35097.176
7,35085.973
8,35079.262
9,35076.977
10,35059.027
11,35059.027
12,35056.789
13,35056.797
14,35074.770
15,35079.230
16,35052.273
17,35023.137
18,35025.422
19,35034.398
20,35070.305
21,35068.051
22,35085.984
23,35054.578
24,35007.441
25,34976.074
26,35014.227
27,35014.254
28,35018.727
29,34985.102
30,34942.457
31,34893.152
32,34872.992
33,34886.449
34,34902.160
35,34902.137
36,34872.992
37,34848.363
38,34841.629
39,34810.281
40,34805.746
41,34801.246
42,34774.363
43,34743.008
44,34760.934
45,34767.676
46,34740.805
47,34727.324
48,34722.848
49,34691.492
50,34637.730
51,34660.129
52,34633.281
53,34877.500
54,34792.289
55,34729.559
56,34686.984
57,34646.652
58,34671.289
59,34687.016
60,34639.973
61,34431.676
62,34360.023
63,34339.871
64,34301.805
65,34158.500
66,34142.824
67,34167.457
68,33914.434
69,33793.523
70,33737.543
71,33670.371
72,33511.383
73,33408.363
74,33334.465
75,33200.137
76,33021.000
77,32987.391
78,32826.074
79,32644.398
80,32370.768
81,32314.797
82,32115.412
83,31857.912
84,31851.195
85,31741.479
86,31683.262
87,31385.457
88,31150.348
89,30968.979
90,30841.334
91,30715.877
92,30711.326
93,30547.695
94,30213.564
95,30034.268
96,29922.305
97,29799.152
98,29707.348
99,29642.412
100,29581.957
101,29458.805
102,29499.109
103,29478.957
104,29393.869
105,29266.238
106,29149.805
107,29131.891
108,29122.936
109,29084.869
110,29040.088
111,29013.217
112,28952.762
113,28890.064
114,28849.762
115,28903.500
116,28923.652
117,28874.391
118,28856.479
119,28849.762
120,28863.195
121,28885.588
122,28751.238
123,28686.305
124,28686.305
125,28657.195
126,28607.936
127,28603.457
128,28722.131
129,28733.318
130,28724.369
131,28753.479
132,28666.131
133,28625.812
134,28565.391
135,28598.979
136,28547.449
137,28527.326
138,28567.631
139,28560.906
140,28509.398
141,28460.102
142,28439.949
143,28381.623
144,28323.363
145,28274.109
146,28309.949
147,28231.564
148,28245.037
149,28309.992
150,28254.000
151,28184.572
152,28262.949
153,28202.398
154,28231.551
155,28253.971
156,28309.971
157,28352.609
158,28372.738
159,28350.334
160,28370.500
161,28377.225
162,28334.666
163,28303.326
164,28336.912
165,28343.615
166,28285.398
167,28247.326
168,28269.717
169,28254.014
170,28177.805
171,28153.160
172,28242.869
173,28173.377
174,28119.580
175,28162.137
176,28186.783
177,28193.521
178,28083.666
179,28059.014
180,28034.334
181,27967.014
182,27955.855
183,28016.385
184,28045.559
185,28020.848
186,28054.537
187,28043.348
188,28027.660
189,28041.080
190,28023.123
191,28072.500
192,28014.211
193,28000.754
194,28027.645
195,28045.580
196,28092.652
197,28112.885
198,28097.232
199,28079.318
200,28077.037
201,28081.559
202,28097.232
203,28009.660
204,28043.355
205,28023.152
206,28023.145
207,28020.877
208,28005.174
209,27989.486
210,27989.463
211,27962.529
212,27933.348
213,27928.855
214,27922.123
215,27960.262
216,27931.115
217,27854.848
218,27818.957
219,27850.363
220,27870.543
221,27859.289
222,27931.102
223,27926.594
224,27845.834
225,27787.564
226,27792.043
227,27827.869
228,27857.014
229,27848.109
230,27839.094
231,27832.377
232,27825.666
233,27890.717
234,27904.188
235,27827.869
236,27812.195
237,27816.695
238,27834.631
239,27843.615
240,27771.898
241,27859.340
242,27830.174
243,27767.385
244,27774.137
245,27794.348
246,27801.131
247,27821.238
248,27736.137
249,27745.051
250,27794.305
251,27854.762
252,27854.818
253,27875.000
254,27783.145
255,27794.275
256,27805.463
257,27827.885
258,27866.115
259,27859.406
260,27816.768
261,27745.000
262,27740.521
263,27731.564
264,27745.021
265,27751.762
266,27767.428
267,27767.420
268,27776.363
269,27774.088
270,27794.275
271,27798.775
272,27718.109
273,27756.211
274,27780.826
275,27780.805
276,27792.051
277,27805.559
278,27780.898
279,27751.783
280,27724.826
281,27724.834
282,27738.275
283,27767.471
284,27767.500
285,27816.746
286,27816.738
287,27823.449
288,27854.797
289,27850.340
290,27868.268
291,27870.514
292,27861.529
293,27854.805
294,27816.711
295,27803.232
296,27814.412
297,27798.754
298,27745.014
299,27785.283
300,27767.340
301,27724.762
302,27709.137
303,27709.152
304,27774.102
305,27760.615
306,27756.174
307,27756.166
308,27735.957
309,27720.289
310,27807.834
311,27792.088
312,27713.602
313,27702.406
314,27639.666
315,27606.080
316,27599.391
317,27641.906
318,27653.109
319,27664.355
320,27655.334
321,27641.898
322,27664.334
323,27765.238
324,27684.508
325,27655.363
326,27621.725
327,27612.775
328,27608.363
329,27686.826
330,27653.166
331,27615.029
332,27610.559
333,27623.992
334,27680.064
335,27668.805
