Distance_(pixels),Gray_Value
0,35572.387
1,35549.914
2,35601.922
3,35671.922
4,35699.605
5,35714.051
6,35695.992
7,35651.387
8,35647.559
9,35676.309
10,35710.758
11,35716.441
12,35706.285
13,35674.992
14,35650.480
15,35642.734
16,35641.715
17,35666.422
18,35699.094
19,35702.457
20,35723.484
21,35731.363
22,35720.621
23,35658.559
24,35635.320
25,35635.812
26,35631.801
27,35646.871
28,35655.070
29,35659.473
30,35638.449
31,35635.637
32,35579.430
33,35542.086
34,35532.527
35,35545.395
36,35539.230
37,35523.207
38,35537.355
39,35549.199
40,35545.828
41,35542.242
42,35548.387
43,35589.656
44,35574.258
45,35554.973
46,35534.844
47,35549.527
48,35535.449
49,35503.277
50,35523.277
51,35591.734
52,35620.480
53,35599.723
54,35572.906
55,35613.070
56,35605.234
57,35543.570
58,35511.852
59,35491.992
60,35531.551
61,35575.508
62,35550.352
63,35537.312
64,35540.148
65,35569.121
66,35600.293
67,35587.758
68,35576.879
69,35569.801
70,35591.691
71,35609.000
72,35649.250
73,35682.930
74,35689.586
75,35665.215
76,35679.000
77,35683.086
78,35630.777
79,35601.406
80,35626.520
81,35624.293
82,35594.879
83,35569.688
84,35616.465
85,35719.742
86,35791.070
87,35787.027
88,35799.820
89,35810.516
90,35846.480
91,35860.242
92,35884.742
93,35835.430
94,35740.586
95,35752.457
96,35782.672
97,35818.508
98,35797.527
99,35743.578
100,35712.078
101,35706.430
102,35730.809
103,35776.371
104,35835.016
105,35846.645
106,35825.078
107,35806.602
108,35761.535
109,35783.973
110,35813.148
111,35833.852
112,35849.207
113,35731.895
114,35692.258
115,35715.395
116,35742.898
117,35771.809
118,35722.156
119,35676.648
120,35667.605
121,35697.730
122,35726.648
123,35735.293
124,35716.516
125,35712.508
126,35723.234
127,35742.898
128,35750.715
129,35774.355
130,35778.051
131,35743.320
132,35747.758
133,35730.844
134,35712.516
135,35682.484
136,35738.914
137,35758.242
138,35664.059
139,35629.430
140,35631.180
141,35664.793
142,35732.258
143,35752.570
144,35724.723
145,35659.438
146,35633.121
147,35683.508
148,35686.680
149,35678.562
150,35707.258
151,35670.457
152,35606.016
153,35561.078
154,35553.559
155,35556.371
156,35529.145
157,35492.941
158,35469.605
159,35471.730
160,35460.164
161,35427.938
162,35399.648
163,35325.414
164,35263.852
165,35199.016
166,35147.414
167,35125.473
168,35166.656
169,35198.043
170,35202.801
171,35142.301
172,35095.578
173,35053.793
174,35074.266
175,35113.949
176,35098.812
177,35058.379
178,35020.191
179,34992.520
180,35014.473
181,34979.266
182,34919.855
183,34860.164
184,34795.270
185,34769.215
186,34687.766
187,34736.188
188,34744.188
189,34668.516
190,34566.605
191,34504.578
192,34462.266
193,34380.629
194,34320.199
195,34165.887
196,33884.965
197,33692.164
198,33618.293
199,33533.570
200,33453.734
201,33335.078
202,33125.027
203,32926.395
204,32753.264
205,32615.457
206,32559.779
207,32433.836
208,32091.678
209,31897.457
210,31714.293
211,31609.264
212,31627.406
213,31569.992
214,31436.121
215,31339.150
216,31236.029
217,31137.406
218,31056.285
219,30987.021
220,30949.350
221,30987.801
222,31062.844
223,31000.264
224,30860.979
225,30723.893
226,30655.900
227,30601.000
228,30575.365
229,30538.078
230,30494.914
231,30487.236
232,30500.193
233,30495.615
234,30469.629
235,30439.457
236,30354.199
237,30313.086
238,30284.242
239,30266.414
240,30255.414
241,30270.186
242,30274.850
243,30272.107
244,30225.578
245,30164.572
246,30156.828
247,30147.100
248,30141.242
249,30176.971
250,30259.750
251,30267.686
252,30236.465
253,30214.121
254,30189.607
255,30219.572
256,30218.500
257,30182.301
258,30118.857
259,30097.000
260,30070.857
261,30058.801
262,30074.664
263,30065.979
264,30018.086
265,29982.164
266,29973.543
267,29962.586
268,29959.586
269,29964.914
270,29976.486
271,29967.258
272,29922.172
273,29870.143
274,29890.529
275,29908.443
276,29886.078
277,29895.521
278,29896.072
279,29890.943
280,29881.586
281,29867.457
282,29858.586
283,29855.400
284,29844.543
285,29848.535
286,29859.285
287,29847.664
288,29867.635
289,29870.850
290,29854.193
291,29850.449
292,29848.986
293,29832.428
294,29843.443
295,29841.629
296,29744.107
297,29718.699
298,29703.922
299,29681.557
300,29752.457
301,29739.607
302,29696.957
303,29665.457
304,29639.350
305,29650.322
306,29684.365
307,29644.043
308,29599.107
309,29548.221
310,29517.014
311,29531.471
312,29544.500
313,29567.229
314,29556.285
315,29550.957
316,29575.900
317,29608.801
318,29597.693
319,29569.543
320,29571.414
321,29571.750
322,29571.279
323,29553.336
324,29593.850
325,29590.328
326,29544.215
327,29505.199
328,29495.400
329,29535.301
330,29560.578
331,29506.729
332,29467.643
333,29468.350
334,29479.543
335,29404.029
336,29354.328
337,29450.121
338,29559.957
339,29571.850
340,29554.178
341,29580.479
342,29629.035
343,29594.500
344,29507.172
345,29480.986
346,29496.850
347,29492.900
348,29468.379
349,29464.336
350,29463.107
351,29427.229
352,29414.301
353,29413.057
354,29424.594
355,29420.164
356,29434.486
357,29426.029
358,29412.350
359,29399.428
360,29395.322
361,29391.971
362,29378.758
363,29331.629
364,29302.443
365,29293.678
366,29279.664
367,29275.801
368,29267.264
369,29294.729
370,29319.193
371,29304.350
372,29299.850
373,29307.100
374,29352.422
375,29383.328
376,29381.000
377,29392.008
378,29389.621
379,29399.607
380,29378.857
381,29331.656
382,29322.514
383,29296.928
384,29285.457
385,29262.221
386,29251.771
387,29264.314
388,29283.857
389,29272.514
390,29261.771
391,29259.514
392,29242.629
393,29182.979
394,29202.600
395,29206.008
396,29156.150
397,29135.322
398,29110.715
399,29107.943
400,29107.457
401,29122.264
402,29123.607
403,29106.371
404,29088.021
405,29072.051
406,29091.742
407,29090.279
408,29077.578
409,29060.650
410,29085.271
411,29100.943
412,29062.186
413,29049.764
414,29052.801
415,29046.414
416,29033.100
417,29033.557
418,29045.221
419,29060.400
420,29073.750
421,29069.064
422,29057.785
423,29058.949
424,29052.643
425,29048.371
426,29044.014
427,29032.250
428,29050.035
429,29042.707
430,29008.521
431,28995.500
432,28976.150
433,28919.535
434,28888.057
435,28901.250
436,28916.078
437,28949.215
438,28996.135
439,29006.043
440,28974.992
441,28953.615
442,28958.100
443,28949.000
444,28891.350
445,28847.758
446,28789.635
447,28783.457
448,28791.936
449,28817.729
450,28852.949
451,28847.822
452,28838.850
453,28854.600
454,28852.578
455,28839.385
456,28820.029
457,28785.992
458,28763.156
459,28773.150
460,28775.479
461,28778.664
462,28784.465
463,28755.186
464,28774.564
465,28810.336
466,28788.928
467,28772.008
468,28802.578
469,28820.742
470,28814.129
471,28812.715
472,28807.801
473,28804.529
474,28808.008
475,28749.564
476,28781.193
477,28758.393
478,28741.764
479,28730.607
480,28709.865
481,28685.535
482,28615.621
483,28586.928
484,28608.094
485,28612.578
486,28588.586
487,28596.400
488,28574.443
489,28564.471
490,28562.043
491,28566.500
492,28580.957
493,28572.586
494,28530.258
495,28508.936
496,28514.986
497,28491.271
498,28486.586
499,28541.836
500,28581.328
501,28603.715
502,28575.793
503,28541.449
504,28516.057
505,28509.143
506,28589.328
507,28603.107
508,28555.221
509,28535.264
510,28533.322
511,28545.307
512,28561.607
513,28539.578
514,28533.436
515,28497.564
516,28488.586
517,28475.742
518,28469.393
519,28485.107
520,28490.471
521,28484.607
522,28483.107
523,28516.436
524,28526.199
525,28525.793
526,28551.449
527,28528.650
528,28512.699
529,28506.721
530,28493.936
531,28479.906
532,28433.857
533,28381.801
534,28371.893
535,28399.957
536,28392.729
537,28417.949
538,28419.879
539,28443.535
540,28423.035
541,28396.922
542,28400.156
543,28427.814
544,28437.078
545,28458.943
546,28411.742
547,28379.729
548,28392.621
549,28435.965
550,28486.557
551,28495.350
552,28484.742
553,28498.029
554,28515.236
555,28566.822
556,28556.543
557,28581.635
558,28576.508
559,28531.422
560,28476.721
561,28432.729
562,28474.029
563,28479.699
564,28440.635
565,28401.807
566,28408.885
567,28458.379
568,28515.656
569,28518.871
570,28494.885
571,28441.686
572,28402.293
573,28393.029
574,28413.115
575,28465.922
576,28433.043
577,28397.521
578,28381.979
579,28378.900
580,28382.199
581,28371.607
582,28338.285
583,28334.172
584,28341.242
585,28317.686
586,28300.379
587,28337.586
588,28485.121
589,28553.385
590,28529.057
591,28493.836
592,28474.457
593,28457.164
594,28516.156
595,28543.250
596,28536.328
597,28535.906
598,28540.035
599,28531.078
600,28525.586
601,28533.078
602,28569.979
603,28540.635
604,28548.115
605,28539.250
606,28520.707
607,28506.656
608,28472.186
609,28464.156
610,28460.857
611,28460.293
612,28463.121
613,28491.871
614,28494.922
615,28481.715
616,28465.457
617,28447.992
618,28454.600
619,28427.936
620,28408.557
621,28391.621
622,28380.979
623,28374.121
624,28352.879
625,28387.301
626,28459.807
627,28468.221
628,28462.379
629,28440.850
630,28433.564
631,28421.664
632,28378.107
633,28363.629
634,28345.914
635,28279.336
636,28298.043
637,28376.328
638,28413.801
639,28445.971
640,28405.822
641,28357.215
642,28362.600
643,28377.086
644,28410.865
645,28405.279
646,28348.949
647,28287.094
648,28256.029
649,28321.393
650,28328.279
651,28303.879
652,28341.115
653,28355.764
654,28319.307
655,28288.365
656,28268.629
657,28303.350
658,28333.199
659,28276.350
660,28251.072
661,28261.072
662,28230.578
663,28247.508
664,28288.600
665,28258.379
666,28233.486
667,28227.436
668,28229.100
669,28238.236
670,28230.814
671,28233.064
672,28208.615
673,28172.264
674,28149.607
675,28141.572
676,28145.008
677,28231.199
678,28254.215
679,28238.344
680,28196.699
681,28196.072
682,28191.514
683,28180.936
684,28201.879
685,28193.928
686,28173.029
687,28159.314
688,28170.914
689,28199.014
690,28179.129
691,28158.707
692,28172.406
693,28172.707
694,28170.758
695,28225.543
696,28207.736
697,28189.078
698,28182.164
699,28167.107
700,28138.307
701,28118.236
702,28120.922
703,28153.807
704,28158.656
705,28141.029
706,28104.635
707,28134.457
708,28136.900
709,28105.850
710,28094.906
711,28096.936
712,28107.693
713,28081.906
714,28073.072
715,28073.594
716,28078.564
717,28071.922
718,28076.758
719,28069.156
720,28038.029
721,28009.094
722,28018.057
723,28028.643
724,28029.336
725,28008.072
726,27977.578
727,27928.057
728,27961.314
729,27986.879
730,27994.508
731,28006.949
732,28047.143
733,28133.086
734,28143.221
735,28057.094
736,28010.322
737,27984.949
738,27983.322
739,27955.836
740,27921.014
741,27903.365
742,27921.264
743,27933.664
744,27986.449
745,27974.715
746,27978.607
747,27982.807
748,27951.250
749,27914.250
750,27906.436
751,27903.172
752,27892.156
753,27883.543
754,27870.236
755,27882.129
756,27895.779
757,27865.258
758,27895.393
759,27871.742
760,27852.686
761,27863.021
762,27884.021
763,27916.086
764,27895.051
765,27861.600
766,27849.836
767,27822.486
768,27789.150
769,27787.828
770,27823.129
771,27880.729
772,27880.543
773,27879.229
774,27864.285
775,27828.885
776,27830.371
777,27891.406
778,27881.264
779,27846.729
780,27837.557
781,27867.014
782,27920.564
783,27907.699
784,27865.121
785,27853.344
786,27835.051
787,27849.057
788,27835.221
789,27815.508
790,27869.492
791,27894.357
792,27831.721
793,27793.699
794,27779.072
795,27802.258
796,27807.971
797,27809.793
798,27797.949
799,27783.406
800,27778.572
801,27807.307
802,27867.064
803,27861.150
804,27818.129
805,27804.428
806,27785.199
807,27787.250
808,27822.992
809,27817.949
810,27789.600
811,27746.857
812,27743.385
813,27752.344
814,27769.135
815,27801.021
816,27818.721
817,27793.635
818,27803.621
819,27810.971
820,27849.322
821,27863.293
822,27854.121
823,27862.150
824,27860.156
825,27853.879
826,27844.365
827,27837.365
828,27829.650
829,27818.064
830,27833.121
831,27836.572
832,27802.893
833,27822.371
834,27872.051
835,27890.836
836,27880.164
837,27865.965
838,27871.465
839,27854.564
840,27837.051
841,27835.871
842,27839.471
843,27841.742
844,27856.742
845,27826.865
846,27762.385
847,27769.885
848,27839.436
849,27863.301
850,27820.572
851,27757.514
852,27779.014
853,27782.422
854,27775.121
855,27754.229
856,27754.764
857,27757.543
858,27708.064
859,27641.428
860,27656.436
861,27666.271
862,27640.879
863,27609.678
864,27573.258
865,27620.094
866,27626.449
867,27642.514
868,27642.385
869,27624.178
870,27626.801
871,27670.107
872,27616.635
873,27532.664
874,27478.678
875,27471.871
876,27511.521
877,27656.064
878,27677.965
879,27690.771
880,27732.879
881,27705.121
882,27744.164
883,27777.207
884,27773.385
885,27768.186
886,27729.344
887,27694.656
888,27660.543
889,27670.643
890,27690.164
891,27689.215
892,27652.779
893,27646.207
894,27662.072
895,27699.051
