Distance_(pixels),Gray_Value
0,35593.078
1,35608.230
2,35595.422
3,35592.191
4,35559.309
5,35542.176
6,35523.410
7,35533.535
8,35540.000
9,35562.105
10,35493.000
11,35433.879
12,35449.086
13,35521.867
14,35560.516
15,35549.410
16,35504.016
17,35422.027
18,35422.703
19,35443.781
20,35510.359
21,35555.297
22,35560.113
23,35555.449
24,35516.141
25,35493.938
26,35507.113
27,35545.660
28,35566.387
29,35566.641
30,35572.809
31,35574.957
32,35564.508
33,35576.121
34,35615.000
35,35611.500
36,35608.746
37,35611.676
38,35620.352
39,35607.773
40,35581.875
41,35553.051
42,35559.754
43,35568.914
44,35572.754
45,35586.297
46,35670.449
47,35685.055
48,35635.340
49,35620.121
50,35628.359
51,35661.160
52,35688.168
53,35685.980
54,35664.090
55,35645.500
56,35638.148
57,35609.125
58,35581.914
59,35608.797
60,35596.816
61,35609.121
62,35636.938
63,35618.957
64,35593.055
65,35558.156
66,35546.676
67,35547.367
68,35540.621
69,35547.895
70,35538.508
71,35521.359
72,35571.578
73,35592.992
74,35600.727
75,35596.465
76,35628.238
77,35662.887
78,35708.238
79,35667.555
80,35646.727
81,35634.520
82,35660.562
83,35726.613
84,35682.078
85,35633.551
86,35628.590
87,35671.520
88,35682.457
89,35638.176
90,35657.340
91,35672.051
92,35656.375
93,35651.086
94,35687.055
95,35704.281
96,35698.590
97,35666.543
98,35636.414
99,35605.805
100,35600.930
101,35630.633
102,35668.949
103,35654.727
104,35579.543
105,35562.914
106,35555.590
107,35559.887
108,35544.727
109,35568.984
110,35587.121
111,35540.414
112,35554.105
113,35592.641
114,35629.879
115,35621.070
116,35663.500
117,35641.160
118,35566.086
119,35557.105
120,35555.332
121,35511.141
122,35593.480
123,35586.379
124,35544.016
125,35535.367
126,35531.895
127,35543.211
128,35528.914
129,35521.859
130,35544.090
131,35541.773
132,35533.297
133,35480.684
134,35406.410
135,35406.984
136,35413.586
137,35402.449
138,35403.430
139,35394.910
140,35362.875
141,35318.770
142,35289.465
143,35257.621
144,35228.090
145,35206.121
146,35213.086
147,35220.016
148,35175.148
149,35095.625
150,35014.156
151,34964.043
152,34945.035
153,35008.297
154,34950.762
155,34841.367
156,34785.633
157,34772.840
158,34762.590
159,34763.410
160,34816.465
161,34775.562
162,34642.055
163,34487.445
164,34277.191
165,34347.809
166,34361.344
167,34309.125
168,34220.156
169,34059.465
170,33926.324
171,33896.430
172,33748.648
173,33584.309
174,33470.070
175,33353.402
176,33221.395
177,33082.625
178,32922.055
179,32839.762
180,32947.719
181,32733.662
182,32543.316
183,32408.219
184,32258.395
185,32168.049
186,32061.219
187,31877.795
188,31630.027
189,31534.000
190,31478.725
191,31398.211
192,31289.881
193,31200.584
194,31075.402
195,30916.373
196,30878.648
197,30924.979
198,30943.527
199,30940.754
200,30846.162
201,30774.373
202,30697.508
203,30705.295
204,30707.365
205,30669.527
206,30504.746
207,30468.402
208,30471.451
209,30437.570
210,30355.627
211,30291.184
212,30257.008
213,30215.205
214,30203.387
215,30191.197
216,30148.078
217,30109.973
218,30076.760
219,30052.508
220,30035.395
221,30016.092
222,30115.965
223,30173.281
224,30163.760
225,30154.846
226,30134.295
227,30088.662
228,30055.557
229,30098.176
230,30110.803
231,30100.422
232,30069.486
233,30034.543
234,29964.951
235,29946.859
236,29964.689
237,29966.938
238,29961.465
239,29936.473
240,29945.057
241,29982.338
242,29997.697
243,30006.562
244,30007.605
245,29973.113
246,29909.578
247,29868.592
248,29869.240
249,29936.154
250,29957.957
251,29956.311
252,29937.205
253,29904.473
254,29880.000
255,29900.670
256,29905.162
257,29901.078
258,29890.170
259,29876.908
260,29851.795
261,29850.113
262,29911.922
263,29959.789
264,29941.824
265,29948.021
266,30059.246
267,29981.951
268,29876.697
269,29896.521
270,29954.000
271,29939.684
272,29928.570
273,29935.705
274,29936.422
275,29894.957
276,29884.887
277,29939.627
278,29965.514
279,29930.627
280,29917.451
281,29890.014
282,29886.957
283,29888.070
284,29880.768
285,29854.189
286,29843.438
287,29838.049
288,29816.184
289,29829.465
290,29875.852
291,29858.225
292,29820.711
