Distance_(pixels),Gray_Value
0,35865.621
1,35863.414
2,35892.105
3,35819.266
4,35788.363
5,35750.852
6,35770.715
7,35759.680
8,35755.266
9,35733.188
10,35702.270
11,35700.070
12,35686.836
13,35730.984
14,35748.645
15,35724.363
16,35631.621
17,35618.414
18,35651.527
19,35644.906
20,35640.480
21,35651.516
22,35572.043
23,35514.648
24,35483.730
25,35508.016
26,35598.559
27,35711.121
28,35817.062
29,35792.785
30,35783.941
31,35788.371
32,35801.613
33,35777.320
34,35715.516
35,35770.691
36,35772.922
37,35768.500
38,35781.750
39,35847.965
40,35847.965
41,35730.980
42,35596.344
43,35538.938
44,35554.395
45,35649.320
46,35781.734
47,35775.113
48,35728.777
49,35662.559
50,35655.930
51,35666.965
52,35697.844
53,35887.691
54,35892.105
55,35898.730
56,35794.992
57,35733.164
58,35728.777
59,35742.020
60,35742.008
61,35803.820
62,35819.270
63,35810.441
64,35797.199
65,35759.664
66,35726.562
67,35693.457
68,35768.508
69,35768.508
70,35742.020
71,35689.051
72,35726.570
73,35717.742
74,35671.395
75,35675.809
76,35684.637
77,35715.535
78,35708.898
79,35764.086
80,35724.363
81,35691.250
82,35702.293
83,35724.363
84,35757.473
85,35839.137
86,35790.570
87,35755.250
88,35726.559
89,35757.473
90,35775.129
91,35768.500
92,35715.527
93,35724.355
94,35768.500
95,35772.914
96,35719.930
97,35748.637
98,35733.188
99,35680.207
100,35649.312
101,35653.730
102,35662.559
103,35611.793
104,35719.949
105,35728.777
106,35724.363
107,35708.914
108,35693.457
109,35697.871
110,35629.457
111,35596.328
112,35591.938
113,35607.387
114,35627.242
115,35686.836
116,35746.438
117,35739.812
118,35750.852
119,35759.680
120,35759.680
121,35726.570
122,35759.680
123,35753.059
124,35750.844
125,35673.594
126,35715.535
127,35728.777
128,35675.809
129,35611.785
130,35625.043
131,35602.973
132,35600.758
133,35640.492
134,35671.395
135,35519.086
136,35497.000
137,35483.777
138,35477.156
139,35490.398
140,35466.113
141,35289.449
142,35265.148
143,35132.535
144,35172.301
145,35203.223
146,35271.766
147,35194.406
148,35181.148
149,35167.887
150,35116.984
151,35024.016
152,35024.000
153,35008.508
154,35240.730
155,35141.320
156,35070.621
157,34966.707
158,34787.648
159,34988.707
160,34882.605
161,34747.855
162,34577.863
163,34542.562
164,34471.914
165,34441.016
166,34313.000
167,34240.164
168,34103.320
169,33871.570
170,33763.422
171,33703.828
172,33496.355
173,33421.312
174,33352.895
175,33213.844
176,33110.102
177,32968.820
178,32891.543
179,32818.664
180,32730.264
181,32535.572
182,32511.285
183,32535.500
184,32548.793
185,32513.508
186,32433.879
187,32182.121
188,32140.178
189,32104.857
190,32111.479
191,32213.014
192,32188.742
193,32062.922
194,31859.865
195,31820.135
196,31833.379
197,31840.000
198,31793.650
199,31793.650
200,31798.064
201,31778.199
202,31709.779
203,31678.879
204,31689.914
205,31665.635
206,31621.492
207,31553.072
208,31528.793
209,31484.650
210,31555.279
211,31537.621
212,31542.035
213,31517.758
214,31491.271
215,31451.543
216,31407.400
217,31460.371
218,31444.922
219,31394.156
220,31409.594
221,31431.672
222,31466.992
223,31473.615
224,31409.607
225,31378.707
226,31365.465
227,31350.014
228,31378.707
229,31440.508
230,31409.607
231,31292.629
232,31263.936
233,31237.449
234,31228.621
235,31332.357
236,31336.771
237,31334.564
238,31268.350
239,31252.900
240,31257.314
241,31270.557
242,31319.107
243,31299.242
244,31268.350
245,31261.721
246,31210.943
247,31111.572
248,30934.949
249,30881.949
250,31098.344
251,31188.865
252,31217.586
253,31188.893
254,31345.600
255,31374.293
256,31380.914
257,31416.229
258,31409.607
259,31350.014
260,31334.557
261,31374.293
262,31389.742
263,31389.742
264,31414.021
265,31407.400
266,31374.293
267,31378.707
268,31407.400
269,31425.057
270,31436.094
271,31427.264
272,31422.850
273,31431.678
274,31400.779
275,31394.156
276,31414.021
277,31429.471
278,31420.643
279,31288.215
280,31305.871
281,31308.078
282,31332.357
283,31323.529
284,31321.322
285,31239.656
286,31237.449
287,31248.486
288,31235.242
289,31188.893
290,31204.344
291,31210.965
292,31173.422
293,31166.801
294,31155.779
295,31124.871
296,31082.943
297,31127.094
298,31279.385
299,31226.414
300,31160.199
301,31146.949
302,31166.814
303,31215.379
304,31235.242
305,31188.879
306,31144.742
307,31105.014
308,31153.578
309,31206.543
310,31233.035
311,31180.064
312,31193.307
313,31184.479
314,31155.779
315,31080.742
316,31047.629
317,31138.129
318,31096.193
319,31080.742
320,31091.779
321,31135.922
322,31180.057
323,31149.150
324,31149.156
325,31140.336
326,31127.064
327,31135.885
328,31149.156
329,30999.072
330,30992.436
331,30999.072
332,30990.242
333,30970.379
334,30926.207
335,30882.043
336,30959.336
337,30974.785
338,30968.143
339,30950.471
340,30932.844
341,30937.242
342,30935.051
343,30912.986
344,30857.764
345,30857.764
346,30875.465
347,30928.449
348,30919.600
349,30875.436
350,30844.535
351,30780.551
352,30793.758
353,30844.557
354,30875.457
355,30912.979
356,30924.021
357,30926.236
358,30932.857
359,30941.678
360,30932.828
361,30868.814
362,30895.307
363,30901.922
364,30893.094
365,30886.492
