Distance_(pixels),Gray_Value
0,31611.865
1,31616.527
2,31600.223
3,31582.803
4,31538.938
5,31515.322
6,31505.482
7,31496.107
8,31475.965
9,31513.260
10,31533.857
11,31532.330
12,31544.893
13,31571.938
14,31597.607
15,31604.455
16,31546.260
17,31490.615
18,31494.785
19,31545.340
20,31526.928
21,31480.232
22,31506.928
23,31549.625
24,31562.312
25,31559.635
26,31550.053
27,31541.232
28,31517.928
29,31530.482
30,31572.277
31,31607.670
32,31608.482
33,31603.410
34,31579.553
35,31536.965
36,31523.535
37,31502.107
38,31512.865
39,31547.178
40,31564.705
41,31537.268
42,31549.322
43,31571.053
44,31573.295
45,31535.080
46,31491.803
47,31509.822
48,31491.688
49,31456.348
50,31434.357
51,31431.812
52,31447.170
53,31509.840
54,31506.840
55,31494.678
56,31478.750
57,31468.268
58,31467.705
59,31482.545
60,31457.490
61,31415.812
62,31363.947
63,31335.018
64,31345.312
65,31341.803
66,31342.465
67,31349.098
68,31363.973
69,31389.732
70,31355.018
71,31341.080
72,31342.830
73,31325.785
74,31313.697
75,31316.053
76,31314.723
77,31316.973
78,31291.160
79,31272.857
80,31277.500
81,31271.027
82,31255.795
83,31240.260
84,31237.678
85,31239.812
86,31250.990
87,31250.062
88,31206.830
89,31164.170
90,31145.072
91,31126.598
92,31118.750
93,31076.223
94,31043.615
95,30999.955
96,30965.893
97,30958.795
98,30990.607
99,30999.393
100,30990.938
101,31010.990
102,31041.107
103,31061.322
104,31078.115
105,31054.652
106,31027.402
107,30975.973
108,30873.152
109,30924.947
110,31024.857
111,31071.705
112,31070.590
113,31074.740
114,31092.393
115,31107.910
116,31143.902
117,31170.410
118,31183.277
119,31180.607
120,31179.188
121,31168.420
122,31132.697
123,31088.455
124,31032.893
125,31010.232
126,31005.455
127,31020.197
128,31026.072
129,30985.107
130,30971.178
131,30967.178
132,30960.973
133,30928.518
134,30928.572
135,30920.955
136,30856.553
137,30819.215
138,30840.660
139,30839.080
140,30796.098
141,30786.500
142,30812.848
143,30846.027
144,30854.875
145,30810.090
146,30768.348
147,30775.018
148,30793.268
149,30815.303
150,30803.268
151,30822.447
152,30856.885
153,30877.115
154,30861.410
155,30850.490
156,30824.768
157,30813.670
158,30821.830
159,30823.312
160,30810.160
161,30786.340
162,30754.670
163,30735.365
164,30772.178
165,30747.840
166,30707.812
167,30618.562
168,30632.705
169,30690.438
170,30672.045
171,30647.375
172,30636.510
173,30610.607
174,30617.188
175,30645.062
176,30682.760
177,30702.643
178,30695.527
179,30681.723
180,30695.000
181,30722.553
182,30760.830
183,30762.893
184,30737.848
185,30720.660
186,30697.125
187,30688.062
188,30712.188
189,30708.143
190,30699.590
