Distance_(pixels),Gray_Value
0,11753.124
1,11766.568
2,11771.347
3,11752.172
4,11720.503
5,11682.556
6,11662.183
7,11646.831
8,11626.574
9,11608.439
10,11605.989
11,11610.193
12,11614.746
13,11610.486
14,11596.029
15,11577.604
16,11536.370
17,11482.352
18,11425.678
19,11369.396
20,11309.796
21,11239.717
22,11171.810
23,11109.320
24,11042.574
25,10949.997
26,10859.751
27,10764.119
28,10629.389
29,10479.159
30,10327.622
31,10185.333
32,10040.344
33,9891.023
34,9737.979
35,9581.995
36,9430.232
37,9310.071
38,9202.857
39,9106.966
40,9011.516
41,8904.511
42,8785.944
43,8634.077
44,8472.426
45,8332.016
46,8209.214
47,8104.204
48,8013.402
49,7939.489
50,7872.175
51,7796.132
52,7733.310
53,7694.892
54,7675.090
55,7675.098
56,7658.820
57,7613.629
58,7569.349
59,7527.207
60,7489.378
61,7451.974
62,7425.558
63,7413.937
64,7413.587
65,7413.103
66,7391.897
67,7359.778
68,7349.452
69,7349.198
70,7366.577
71,7381.762
72,7387.101
73,7447.910
74,7492.918
75,7506.857
76,7455.167
77,7415.857
78,7406.265
79,7384.984
80,7379.844
81,7379.717
82,7390.267
83,7395.717
84,7397.405
85,7406.402
86,7421.862
87,7433.759
88,7448.132
89,7455.249
90,7472.815
91,7511.629
92,7572.802
93,7645.793
94,7709.680
95,7749.786
96,7786.521
97,7849.714
98,7915.873
99,7981.172
100,8045.180
101,8121.209
102,8217.725
103,8318.659
104,8422.704
105,8532.537
106,8651.709
107,8783.590
108,8938.918
109,9088.686
110,9246.138
111,9402.690
112,9562.630
113,9726.884
114,9878.989
115,10024.161
116,10177.111
117,10339.799
118,10496.344
119,10652.452
120,10791.212
121,10904.812
122,11005.376
123,11093.683
124,11185.757
125,11299.347
126,11405.802
127,11498.664
128,11581.082
129,11649.678
130,11720.249
131,11801.063
132,11860.521
133,11907.339
134,11931.765
135,11965.680
136,12016.688
137,12065.932
138,12121.873
139,12164.384
140,12187.061
141,12186.418
142,12164.019
143,12146.268
144,12132.777
145,12128.791
146,12129.135
147,12118.876
148,12097.814
149,12077.725
