Distance_(pixels),Gray_Value
0,107.3723
1,107.2847
2,107.2774
3,107.3029
4,107.2920
5,107.2810
6,107.1569
7,107.0511
8,106.9964
9,107.0876
10,107.1277
11,107.0985
12,107.0803
13,107.0876
14,107.1204
15,107.0912
16,106.9234
17,106.7226
18,106.4964
19,106.4380
20,106.5401
21,106.5474
22,106.5292
23,106.3978
24,106.3358
25,106.2555
26,106.2372
27,106.1569
28,106.1058
29,106.1314
30,106.1131
31,105.9854
32,105.8796
33,105.8212
34,105.7628
35,105.7080
36,105.6752
37,105.5328
38,105.4270
39,105.3869
40,105.3212
41,105.2664
42,105.1825
43,105.0766
44,104.9380
45,104.8723
46,104.8759
47,104.7737
48,104.7372
49,104.6715
50,104.6569
51,104.6423
52,104.5803
53,104.5292
54,104.4927
55,104.3796
56,104.2482
57,104.1788
58,104.1131
59,104.0000
60,103.8175
61,103.6861
62,103.6314
63,103.5730
64,103.5256
65,103.3577
66,103.1788
67,103.0693
68,103.0073
69,102.8467
70,102.7117
71,102.5949
72,102.4380
73,102.4416
74,102.3358
75,102.2080
76,102.0876
77,101.9744
78,101.7080
79,101.5073
80,101.2372
81,100.9562
82,100.8394
83,100.6934
84,100.5620
85,100.4635
86,100.3759
87,100.2774
88,100.0985
89,99.8102
90,99.4562
91,99.1204
92,98.8175
93,98.4744
94,98.2591
95,98.0474
96,97.6423
97,97.2409
98,96.7810
99,96.4891
100,96.4635
101,96.3832
102,95.9672
103,95.3577
104,94.7555
105,94.2664
106,93.6569
107,93.0693
108,92.6460
109,92.0036
110,91.5292
111,90.8796
112,90.4015
113,89.8358
114,89.2847
115,88.6241
116,87.9051
117,86.9964
118,86.0985
119,85.1022
120,83.8759
121,82.1934
122,80.6934
123,79.5584
124,78.6095
125,78.4708
126,79.0219
127,79.3577
128,78.9562
129,78.3248
130,77.7737
131,77.0693
132,76.4051
133,75.7044
134,75.1204
135,74.5949
136,74.0182
137,73.4526
138,72.8139
139,72.1679
140,71.6496
141,71.3321
142,71.0000
143,70.5109
144,69.9927
145,69.4453
146,69.2117
147,68.9453
148,68.7372
149,68.5438
150,68.1460
151,67.7737
152,67.5146
153,67.3942
154,67.3248
155,67.0803
156,66.9051
157,66.7664
158,66.6314
159,66.5839
160,66.3102
161,66.0584
162,65.9416
163,65.8102
164,65.5985
165,65.6277
166,65.6642
167,65.5219
168,65.4234
169,65.4380
170,65.4307
171,65.4015
172,65.3504
173,65.2701
174,65.2591
175,65.3029
176,65.2409
177,65.2153
178,65.3029
179,65.3066
180,65.0985
181,64.9891
182,65.0511
183,65.1387
184,65.2482
185,65.2664
186,65.1642
187,65.1898
188,65.1752
189,65.1022
190,65.0000
191,64.9015
192,64.8577
193,64.8613
194,64.9891
195,65.0182
196,65.1168
197,65.0839
198,65.0803
199,65.2263
200,65.3248
201,65.3212
202,65.3321
203,65.1569
204,65.0912
205,65.1496
206,65.2591
207,65.2409
208,65.3723
209,65.4599
210,65.3613
211,65.2007
212,65.0401
213,64.8212
214,64.6642
215,64.5985
216,64.5766
217,64.5657
218,64.4635
219,64.4781
220,64.6898
221,64.7555
222,64.6934
223,64.6387
224,64.5584
225,64.4891
226,64.5292
227,64.4854
228,64.3869
229,64.4015
230,64.4124
231,64.3212
232,64.2445
233,64.3066
234,64.2956
235,64.2701
236,64.3394
237,64.3869
238,64.4234
239,64.4197
240,64.4416
241,64.5474
242,64.4927
243,64.5109
244,64.4343
245,64.3540
246,64.3504
247,64.2336
248,64.2445
249,64.1277
250,64.0985
251,64.0693
252,64.0365
253,64.0766
254,63.9927
255,63.8467
256,63.7737
257,63.7555
258,63.7737
259,63.6387
260,63.5219
261,63.5949
262,63.5803
263,63.3650
264,63.2007
265,63.4015
266,63.3759
267,63.2482
268,63.2555
269,63.3467
270,63.2518
271,63.0730
272,63.0219
273,63.1350
274,63.3358
275,63.2774
276,63.1496
277,63.0693
278,63.0693
279,63.0730
280,63.1898
281,63.1460
282,63.1204
283,63.1204
284,63.1788
285,63.3723
286,63.4161
287,63.4197
288,63.3869
289,63.3613
290,63.3723
291,63.4051
292,63.4927
293,63.4562
294,63.4343
295,63.3285
296,63.3832
297,63.4745
298,63.3759
299,63.4307
300,63.4635
301,63.4635
302,63.5037
303,63.5146
304,63.3650
305,63.3102
306,63.2774
307,63.2336
308,63.1496
309,63.0620
310,63.0584
311,63.1387
312,63.1934
313,63.1606
314,63.0985
315,63.1861
316,63.2263
317,63.1934
318,63.0912
319,63.0693
320,63.1168
321,63.1204
322,63.2044
323,63.1642
324,63.0438
325,63.0985
326,63.1496
327,63.1350
328,63.0657
329,63.1314
330,63.0474
331,63.0620
332,63.0766
333,63.0073
334,62.8905
335,62.8759
336,62.9161
337,62.9307
338,62.8212
339,62.7336
340,62.7737
341,62.8686
342,62.8504
343,62.7482
344,62.7263
345,62.8613
346,62.8869
347,62.8321
348,62.9234
349,63.0255
350,63.1095
351,63.6168
352,64.1496
353,63.6496
354,63.1642
355,63.2774
356,63.4270
357,63.3796
358,63.3139
359,63.2956
360,63.3467
361,63.3467
362,63.2920
363,63.1788
364,63.0730
365,63.0803
366,63.2299
367,63.2555
368,63.2226
369,63.1642
370,63.0949
371,63.0401
372,63.0292
373,62.9963
374,62.9161
375,62.8686
376,62.8905
377,62.8175
378,62.8139
379,62.9708
380,62.9745
381,62.8796
382,62.8066
383,62.8431
384,62.8248
385,62.9015
386,63.0219
387,62.9745
388,62.9489
389,62.9270
390,62.9854
391,62.9270
392,62.7628
393,62.6752
394,62.7664
395,62.7117
396,62.7007
397,62.7774
398,62.9051
399,62.9343
400,62.8212
401,62.7664
402,62.7920
403,62.8321
404,62.8029
405,62.9161
406,62.9270
407,62.8613
408,62.9453
409,62.9051
410,62.8394
411,62.7445
412,62.7226
413,62.8175
414,62.9745
415,62.9234
416,62.8431
417,62.7226
418,62.7299
419,62.7190
420,62.7774
421,62.8066
422,62.7956
423,62.7664
424,62.7737
425,62.7518
426,62.7190
427,62.7664
428,62.8577
429,62.8066
430,62.6679
431,62.7701
432,62.8212
433,62.6934
434,62.5620
435,62.6606
436,62.6460
437,62.6204
438,62.5073
439,62.5547
440,62.5876
441,62.4745
442,62.2920
443,62.3285
444,62.4453
445,62.4891
446,62.4489
447,62.4963
448,62.5219
449,62.4197
450,62.4051
451,62.4416
452,62.4672
453,62.5693
454,62.6314
455,62.6898
456,62.7336
457,62.7190
458,62.7190
459,62.7409
460,62.8285
461,62.7336
462,62.7847
463,62.8504
464,62.7737
465,62.8613
466,62.7774
467,62.7299
468,62.8321
469,62.8285
470,62.7299
471,62.7190
472,62.7956
473,62.9453
474,63.0037
475,63.0365
476,62.9818
477,62.9599
478,63.0037
479,63.0219
480,62.8978
481,62.9270
482,63.0219
483,63.0620
484,62.9416
485,62.9489
486,62.9854
487,62.8869
488,62.9307
489,63.0693
490,63.0803
491,63.0182
492,62.9380
493,62.9416
494,62.9562
495,62.8686
496,62.9416
497,62.9818
498,63.0219
499,63.0182
500,63.1131
501,63.1569
502,63.1934
503,63.2883
504,63.4635
505,63.6314
506,63.5219
507,63.4927
508,63.5438
509,63.5839
510,63.8139
511,63.9891
512,64.0839
513,64.0256
514,64.0256
515,64.0146
516,63.9343
517,63.6788
518,63.4599
519,63.2591
520,63.2555
521,63.0584
522,62.8905
523,62.7847
524,62.7810
525,62.7956
526,62.8212
527,62.8175
528,62.7445
529,62.7993
530,62.8175
531,62.7117
532,62.6861
533,62.6314
534,62.6241
535,62.6314
536,62.6569
537,62.7336
538,62.8978
539,62.8905
540,62.9051
541,62.8905
542,62.9307
543,62.8723
544,62.8102
545,62.7336
546,62.7190
547,62.6606
548,62.5839
549,62.5365
550,62.6460
551,62.7263
552,62.8759
553,63.0073
554,62.9124
555,62.8358
556,62.7810
557,62.8102
558,62.8905
559,62.8832
560,62.8248
561,62.6752
562,62.6788
563,62.6715
564,62.7044
565,62.6825
566,62.8248
567,62.7774
568,62.7190
569,62.7336
570,62.7920
571,62.7847
572,62.7774
573,62.8029
574,62.7847
575,62.6314
576,62.5182
577,62.5438
578,62.6788
579,62.7518
580,62.6934
581,62.6496
582,62.6460
583,62.7701
584,62.9124
585,63.0766
586,63.1825
587,63.3686
588,63.2591
589,63.1898
590,63.2190
591,63.0839
592,62.8978
593,62.7555
594,62.7810
595,62.8613
596,62.7628
597,62.6460
598,62.7044
599,62.8613
600,62.9927
601,63.2299
602,63.2810
603,63.2445
604,63.1642
605,63.1825
606,63.2701
607,63.2190
608,63.1095
609,63.1277
610,63.1314
611,63.0365
612,62.8978
613,62.8686
614,63.0912
615,63.2664
616,63.3175
617,63.3212
618,63.1460
619,63.0876
620,63.1387
621,63.2737
622,63.3832
623,63.3102
624,63.1460
625,63.1095
626,63.1095
627,63.0803
628,63.2518
629,63.3102
630,63.2774
631,63.3504
632,63.5182
633,63.4708
634,63.4562
635,63.5511
636,63.5839
637,63.5438
638,63.5182
639,63.6095
640,63.4489
641,63.2956
642,63.3102
643,63.3102
644,63.2847
645,63.1350
646,63.1168
647,63.1715
648,63.3504
649,63.4161
650,63.4124
651,63.4380
652,63.4270
653,63.4307
654,63.3978
655,63.2956
656,63.2628
657,63.5328
658,63.6241
659,63.6095
660,63.3248
661,63.1350
662,63.2518
663,63.4197
664,63.4818
665,63.6350
666,63.8467
667,63.7555
668,63.4599
669,63.3686
670,63.3613
671,63.3540
672,63.2409
673,63.1642
674,63.0803
675,63.1387
676,63.1679
677,63.0730
678,62.9708
679,63.1131
680,63.1788
681,63.2920
682,63.3285
683,63.2226
684,63.2372
685,63.4051
686,63.4635
687,63.3832
688,63.2299
689,63.2664
690,63.3358
691,63.4343
692,63.3358
693,63.3431
694,63.3650
695,63.4526
696,63.5365
697,63.6058
698,63.7956
699,63.8102
700,63.7482
701,63.7044
702,63.6679
703,63.6350
704,63.7336
705,63.6277
706,63.4526
707,63.4015
708,63.4051
709,63.4891
710,63.4854
711,63.4489
712,63.4234
713,63.4854
714,63.5803
715,63.6496
716,63.7810
