Distance_(pixels),Gray_Value
0,106.0811
1,105.9459
2,105.8581
3,105.7568
4,105.6622
5,105.6351
6,105.5405
7,105.5743
8,105.5811
9,105.4730
10,105.4392
11,105.3987
12,105.3513
13,105.2703
14,105.2703
15,105.3378
16,105.3784
17,105.2095
18,105.1824
19,105.1689
20,105.2230
21,105.2770
22,105.3243
23,105.4189
24,105.2297
25,105.2027
26,105.1892
27,105.1622
28,105.1487
29,104.9932
30,104.8649
31,104.8446
32,105.0135
33,105.0405
34,104.9865
35,104.9730
36,104.9122
37,104.7703
38,104.5338
39,104.4730
40,104.5608
41,104.5541
42,104.4932
43,104.4392
44,104.4122
45,104.2973
46,104.2162
47,104.1824
48,104.1284
49,104.0473
50,103.9459
51,103.8311
52,103.6487
53,103.5878
54,103.5541
55,103.6757
56,103.6824
57,103.5811
58,103.5068
59,103.4122
60,103.3378
61,103.2500
62,103.1959
63,103.0743
64,103.0743
65,102.9324
66,102.9257
67,102.8784
68,102.8378
69,102.6959
70,102.6013
71,102.5608
72,102.5405
73,102.7230
74,102.6351
75,102.3581
76,102.1959
77,102.1081
78,101.9932
79,101.6689
80,101.4797
81,101.3581
82,101.3513
83,101.2770
84,101.0743
85,100.9324
86,100.8108
87,100.7568
88,100.6757
89,100.7095
90,100.5135
91,100.3513
92,100.2905
93,100.4257
94,100.3311
95,100.0068
96,99.7297
97,99.4865
98,99.2027
99,98.9595
100,98.7095
101,98.7568
102,98.6013
103,98.4797
104,98.3378
105,97.9865
106,97.8378
107,97.3513
108,96.9527
109,96.7162
110,96.5068
111,96.3311
112,96.1959
113,96.0000
114,95.7365
115,95.3581
116,95.0676
117,94.7162
118,94.2838
119,93.6892
120,93.0270
121,92.4122
122,91.9392
123,91.4527
124,90.9730
125,90.3919
126,89.9189
127,89.3784
128,88.6554
129,88.1554
130,87.4730
131,86.6892
132,85.8446
133,83.7500
134,80.1689
135,76.9595
136,75.7365
137,76.9189
138,78.5473
139,79.0405
140,78.4932
141,77.6689
142,76.7297
143,75.9932
144,75.3649
145,74.4189
146,72.7973
147,70.8919
148,70.5473
149,71.4865
150,71.8311
151,71.3108
152,70.8716
153,70.5135
154,70.1689
155,69.7230
156,69.2297
157,69.0608
158,68.9054
159,68.6013
160,68.5270
161,68.0338
162,67.5135
163,67.0676
164,66.9189
165,66.9730
166,66.9392
167,66.9324
168,66.9797
169,66.9459
170,66.7432
171,66.5405
172,66.2838
173,66.1487
174,66.1689
175,66.0946
176,65.8919
177,65.6149
178,65.5608
179,65.4324
180,65.3446
181,65.2703
182,65.1419
183,65.1419
184,65.3581
185,65.1622
186,65.0338
187,65.0135
188,65.0878
189,65.0203
190,64.9527
191,64.7905
192,64.8649
193,64.8176
194,64.7027
195,64.6081
196,64.5676
197,64.5811
198,64.7432
199,64.7365
200,64.6284
201,64.5676
202,64.5135
203,64.4797
204,64.3784
205,64.1824
206,64.1487
207,64.2365
208,64.4054
209,64.2838
210,64.3987
211,64.4459
212,64.3378
213,64.1959
214,64.1757
215,64.0878
216,64.0338
217,64.0676
218,64.0541
219,64.0000
220,63.9730
221,64.0405
222,64.0405
223,63.8649
224,63.7905
225,63.9122
226,63.7703
227,63.6486
228,63.3919
229,63.2162
230,63.1081
231,63.0541
232,62.9527
233,62.7838
234,62.6622
235,62.6486
236,62.6757
237,62.6689
238,62.6149
239,62.7365
240,62.6419
241,62.4865
242,62.3784
243,62.3243
244,62.3176
245,62.5068
246,62.5811
247,62.5473
248,62.5270
249,62.6419
250,62.7500
251,62.6014
252,62.4527
253,62.3784
254,62.4797
255,62.6622
256,62.7297
257,62.6824
258,62.6216
259,62.6622
260,62.7297
261,62.8986
262,62.8851
263,62.9122
264,62.8986
265,62.8581
266,62.7703
267,62.6081
268,62.5270
269,62.5000
270,62.6014
271,62.7973
272,62.9054
273,62.9257
274,63.0743
275,63.1419
276,63.1622
277,63.1284
278,63.2230
279,63.0676
280,63.1486
281,63.2770
282,63.3243
283,63.2568
284,63.4122
285,63.4392
286,63.6149
287,63.7973
288,63.7635
289,63.7230
290,63.9595
291,64.1554
292,64.4527
293,64.5878
294,64.6689
295,64.6284
296,64.6351
297,64.5068
298,64.4595
299,64.5000
300,64.5608
301,64.6487
302,64.7162
303,64.8108
304,64.6554
305,64.5541
306,64.5000
307,64.4662
308,64.3581
309,64.3311
310,64.3108
311,64.2973
312,64.2432
313,64.2027
314,64.2500
315,64.3649
316,64.3919
317,64.4595
318,64.4662
319,64.4324
320,64.4257
321,64.4257
322,64.3446
323,64.3649
324,64.3851
325,64.4392
326,64.3784
327,64.3513
328,64.2838
329,64.1013
330,63.9595
331,63.8851
332,63.8108
333,63.6824
334,63.7027
335,63.7973
336,63.9257
337,63.8986
338,63.9054
339,63.8446
340,63.8919
341,63.8514
342,63.7973
343,63.6419
344,63.5135
345,63.3446
346,63.2973
347,63.2568
348,63.2635
349,63.1892
350,63.1351
351,63.0743
352,63.1149
353,63.2432
354,63.3446
355,63.3649
356,63.2500
357,63.1689
358,63.2297
359,63.4595
360,63.4257
361,63.5405
362,63.5743
363,63.3784
364,63.2500
365,63.1486
366,63.1892
367,63.3716
368,63.4595
369,63.6419
370,63.6419
371,63.5946
372,63.5608
373,63.5068
374,63.4324
375,63.3041
376,63.3041
377,63.1216
378,63.1824
379,63.2635
380,63.3514
381,63.2635
382,63.1554
383,63.2095
384,63.3446
385,63.3243
386,63.2973
387,63.1959
388,63.1622
389,63.1081
390,63.2027
391,63.2365
392,63.3378
393,63.2568
394,63.3041
395,63.3581
396,63.4054
397,63.2703
398,63.1554
399,63.2432
400,63.2027
401,63.0135
402,62.8649
403,62.7568
404,62.7770
405,62.8446
406,62.9054
407,62.9459
408,62.8919
409,62.9730
410,63.0068
411,63.0270
412,63.0676
413,63.0878
414,62.9527
415,63.0946
416,63.1892
417,63.2838
418,63.1149
419,62.9324
420,62.8514
421,62.7432
422,62.8919
423,63.1081
424,63.2500
425,63.3243
426,63.4392
427,63.3041
