Distance_(pixels),Gray_Value
0,105.8500
1,105.8227
2,105.8091
3,105.8636
4,105.9045
5,105.9682
6,105.9545
7,105.9682
8,105.9818
9,105.8455
10,105.6500
11,105.5318
12,105.4818
13,105.3909
14,105.4227
15,105.5636
16,105.4909
17,105.4227
18,105.3818
19,105.3091
20,105.3000
21,105.2909
22,105.2818
23,105.2636
24,105.2227
25,105.2545
26,105.2182
27,105.1409
28,105.0455
29,105.0545
30,105.1000
31,105.1955
32,105.1545
33,105.1682
34,105.1455
35,105.1182
36,105.0045
37,104.9227
38,104.8045
39,104.7455
40,104.5864
41,104.6091
42,104.7045
43,104.6409
44,104.4227
45,104.2182
46,104.0909
47,104.0864
48,104.2273
49,104.4227
50,104.3909
51,104.2318
52,104.1636
53,104.0636
54,104.0136
55,103.8364
56,103.7000
57,103.6455
58,103.5545
59,103.4091
60,103.3864
61,103.3273
62,103.3091
63,103.3045
64,103.2364
65,103.1591
66,103.1182
67,103.0045
68,102.9318
69,102.6682
70,102.5682
71,102.3636
72,102.3773
73,102.5818
74,102.4591
75,102.2955
76,102.0636
77,101.9455
78,101.8955
79,101.8864
80,101.8545
81,101.5636
82,101.3909
83,101.3000
84,101.2364
85,101.2091
86,101.1136
87,100.9182
88,100.8364
89,100.5909
90,100.4545
91,100.2955
92,100.2409
93,100.0909
94,100.2227
95,100.1773
96,99.8591
97,99.5136
98,99.0909
99,98.6818
100,98.5136
101,98.4500
102,98.3182
103,98.1773
104,98.1136
105,97.9909
106,97.6364
107,97.3273
108,97.0182
109,96.6182
110,96.3818
111,96.2682
112,96.2045
113,96.1091
114,95.8500
115,95.4500
116,95.0227
117,94.5455
118,94.1000
119,93.5773
120,93.0000
121,92.2318
122,91.4455
123,91.0591
124,90.5682
125,90.0455
126,89.4409
127,88.7773
128,88.3045
129,87.6682
130,86.7500
131,85.8409
132,84.5591
133,82.6136
134,80.1773
135,78.1227
136,76.6273
137,75.8273
138,76.4636
139,75.9682
140,74.9727
141,75.0318
142,75.7636
143,75.4091
144,74.8227
145,74.3727
146,73.8409
147,73.1273
148,72.6000
149,72.1136
150,71.5682
151,71.0864
152,70.7636
153,70.3091
154,69.8545
155,69.4273
156,69.0636
157,68.8045
158,68.6000
159,68.2727
160,67.9045
161,67.6318
162,67.3364
163,67.0318
164,66.8364
165,66.8136
166,66.7455
167,66.6545
168,66.5409
169,66.3727
170,66.2273
171,66.2000
172,66.1773
173,66.2500
174,66.1682
175,66.0818
176,65.9545
177,66.0409
178,66.0818
179,65.8727
180,65.6182
181,65.5227
182,65.5545
183,65.5409
184,65.5682
185,65.3364
186,65.2545
187,65.0682
188,65.0227
189,65.1636
190,65.1818
191,64.9864
192,64.8727
193,64.9000
194,64.9364
195,64.9591
196,65.0318
197,65.0273
198,65.1182
199,65.0318
200,64.9091
201,64.9455
202,64.8955
203,64.8045
204,64.7091
205,64.6727
206,64.6955
207,64.7227
208,64.6909
209,64.7545
210,64.8955
211,64.8182
212,64.7364
213,64.6182
214,64.5227
215,64.5136
216,64.5136
217,64.4591
218,64.4227
219,64.4818
220,64.5818
221,64.6682
222,64.7136
223,64.5500
224,64.4636
225,64.4045
226,64.3591
227,64.3909
228,64.4045
229,64.3500
230,64.3091
231,64.2091
232,64.2318
233,64.4409
234,64.5182
235,64.5318
236,64.4727
237,64.3818
238,64.2773
239,64.4364
240,64.5136
241,64.5091
242,64.3455
243,64.1455
244,64.1273
245,64.1818
246,64.3500
247,64.4091
248,64.3364
249,64.2182
250,64.1682
251,64.3227
252,64.3909
253,64.4409
254,64.3500
255,64.2591
256,64.4182
257,64.3591
258,64.1318
259,64.0682
260,63.9727
261,63.9955
262,63.9091
263,63.8773
264,64.0000
265,64.1091
266,64.1545
267,64.1182
